r1,weight
input.InexpC2.gz,5.061353254100137
input.InexpC2QE.gz,5.098562741753003
input.MU03rob01.gz,4.931188263622342
input.MU03rob02.gz,5.0852661853762555
input.MU03rob04.gz,5.303673042729985
input.MU03rob05.gz,4.9706997126224195
input.UIUC03Rd1.gz,5.259366305810999
input.UIUC03Rd2.gz,5.212996643456547
input.UIUC03Rd3.gz,5.303899253643537
input.UIUC03Rt1.gz,4.989913587659916
input.UIUC03Rtd1.gz,5.413980325135304
input.aplrob03a.gz,6.054147885201664
input.aplrob03b.gz,5.472360549361339
input.aplrob03c.gz,5.476308701754143
input.aplrob03d.gz,5.572943439376714
input.aplrob03e.gz,5.415182196112593
input.fub03IeOLKe3.gz,5.283442813253139
input.fub03InB2e3.gz,5.232920202784892
input.fub03InOLe3.gz,5.31063816063594
input.fub03IneOBu3.gz,5.106605969027037
input.fub03IneOLe3.gz,5.273013128436231
input.humR03d.gz,5.2478909377450105
input.humR03de.gz,5.561018461557572
