r1,weight
input.InexpC2.gz,4.804273079942
input.InexpC2QE.gz,4.95509006040228
input.MU03rob01.gz,4.503488769493807
input.MU03rob02.gz,4.727117862511158
input.MU03rob04.gz,4.943496383234872
input.MU03rob05.gz,4.552398779717152
input.UIUC03Rd1.gz,3.3352083397810546
input.UIUC03Rd2.gz,3.4819564510976826
input.UIUC03Rd3.gz,3.3934894323092424
input.UIUC03Rt1.gz,2.9522331444212213
input.UIUC03Rtd1.gz,3.045818441207617
input.aplrob03a.gz,6.039071962178435
input.aplrob03b.gz,4.462929245329022
input.aplrob03c.gz,5.42587699169976
input.aplrob03d.gz,5.561708522113808
input.aplrob03e.gz,4.4658732492144635
input.fub03IeOLKe3.gz,5.179272476770176
input.fub03InB2e3.gz,5.060101085155208
input.fub03InOLe3.gz,5.175073004958761
input.fub03IneOBu3.gz,4.828994545273771
input.fub03IneOLe3.gz,5.1741490829939725
input.humR03d.gz,4.6468749587800104
input.humR03de.gz,5.298911340176412
