r1,weight
input.InexpC2.gz,9.30125
input.InexpC2QE.gz,9.11375
input.MU03rob01.gz,9.157499999999999
input.MU03rob02.gz,9.65875
input.MU03rob04.gz,10.02375
input.MU03rob05.gz,9.235
input.UIUC03Rd1.gz,9.411249999999999
input.UIUC03Rd2.gz,9.36375
input.UIUC03Rd3.gz,9.487499999999999
input.UIUC03Rt1.gz,9.25
input.UIUC03Rtd1.gz,9.723749999999999
input.aplrob03a.gz,10.40875
input.aplrob03b.gz,9.2675
input.aplrob03c.gz,9.67
input.aplrob03d.gz,9.4925
input.aplrob03e.gz,9.268749999999999
input.fub03IeOLKe3.gz,9.459999999999999
input.fub03InB2e3.gz,9.6075
input.fub03InOLe3.gz,9.52625
input.fub03IneOBu3.gz,9.415
input.fub03IneOLe3.gz,9.397499999999999
input.humR03d.gz,9.47
input.humR03de.gz,9.76375
