r1,weight
input.InexpC2.gz,8.81875
input.InexpC2QE.gz,8.89875
input.MU03rob01.gz,8.5925
input.MU03rob02.gz,9.35125
input.MU03rob04.gz,9.47625
input.MU03rob05.gz,8.695
input.UIUC03Rd1.gz,6.4487499999999995
input.UIUC03Rd2.gz,6.5562499999999995
input.UIUC03Rd3.gz,6.4487499999999995
input.UIUC03Rt1.gz,5.755
input.UIUC03Rtd1.gz,5.92875
input.aplrob03a.gz,10.3875
input.aplrob03b.gz,7.9312499999999995
input.aplrob03c.gz,9.325
input.aplrob03d.gz,9.3075
input.aplrob03e.gz,7.953749999999999
input.fub03IeOLKe3.gz,9.331249999999999
input.fub03InB2e3.gz,9.38125
input.fub03InOLe3.gz,9.344999999999999
input.fub03IneOBu3.gz,8.98125
input.fub03IneOLe3.gz,9.2925
input.humR03d.gz,8.372499999999999
input.humR03de.gz,9.405
