r1,weight
input.InexpC2.gz,9.30125
input.InexpC2QE.gz,9.264999999999999
input.MU03rob01.gz,9.20875
input.MU03rob02.gz,9.8725
input.MU03rob04.gz,10.24875
input.MU03rob05.gz,9.53
input.UIUC03Rd1.gz,9.35375
input.UIUC03Rd2.gz,9.427499999999998
input.UIUC03Rd3.gz,9.569999999999999
input.UIUC03Rt1.gz,9.52875
input.UIUC03Rtd1.gz,9.89
input.aplrob03a.gz,10.661249999999999
input.aplrob03b.gz,9.552499999999998
input.aplrob03c.gz,9.795
input.aplrob03d.gz,9.80625
input.aplrob03e.gz,9.72125
input.fub03IeOLKe3.gz,9.7625
input.fub03InB2e3.gz,9.7875
input.fub03InOLe3.gz,9.825
input.fub03IneOBu3.gz,9.555
input.fub03IneOLe3.gz,9.73875
input.humR03d.gz,9.3875
input.humR03de.gz,9.87125
