r1,weight
input.InexpC2.gz,4.511443647114999
input.InexpC2QE.gz,4.60151947892529
input.MU03rob01.gz,4.247118797225405
input.MU03rob02.gz,4.464857054819227
input.MU03rob04.gz,4.609774412789139
input.MU03rob05.gz,4.2984184264926615
input.UIUC03Rd1.gz,4.6829529131581555
input.UIUC03Rd2.gz,4.650965953870532
input.UIUC03Rd3.gz,4.754689429331495
input.UIUC03Rt1.gz,4.325769978282886
input.UIUC03Rtd1.gz,4.7936992653914725
input.aplrob03a.gz,5.239883923283063
input.aplrob03b.gz,4.9027042151448885
input.aplrob03c.gz,4.898339543593295
input.aplrob03d.gz,4.965753779786133
input.aplrob03e.gz,4.975931803372408
input.fub03IeOLKe3.gz,4.664734118391244
input.fub03InB2e3.gz,4.742536206886258
input.fub03InOLe3.gz,4.741476069939597
input.fub03IneOBu3.gz,4.563091245511032
input.fub03IneOLe3.gz,4.628098048960899
input.humR03d.gz,4.68657904825244
input.humR03de.gz,4.918449550403584
