r1,weight
input.InexpC2.gz,9.482499999999998
input.InexpC2QE.gz,9.559999999999999
input.MU03rob01.gz,9.424999999999999
input.MU03rob02.gz,9.979999999999999
input.MU03rob04.gz,10.245
input.MU03rob05.gz,9.645
input.UIUC03Rd1.gz,9.52625
input.UIUC03Rd2.gz,9.536249999999999
input.UIUC03Rd3.gz,9.661249999999999
input.UIUC03Rt1.gz,9.35875
input.UIUC03Rtd1.gz,9.827499999999999
input.aplrob03a.gz,10.486249999999998
input.aplrob03b.gz,9.573749999999999
input.aplrob03c.gz,9.8225
input.aplrob03d.gz,9.69
input.aplrob03e.gz,9.70125
input.fub03IeOLKe3.gz,9.563749999999999
input.fub03InB2e3.gz,9.98125
input.fub03InOLe3.gz,9.75625
input.fub03IneOBu3.gz,9.559999999999999
input.fub03IneOLe3.gz,9.5125
input.humR03d.gz,9.59375
input.humR03de.gz,9.875
