,score
input.acqnt2.gz,0.16320633209148044
input.brkly8.gz,0.227872453097764
input.cityi1.gz,0.13378831585724127
input.cityr1.gz,0.26624598263276616
input.cityr2.gz,0.22384920115469412
input.clarta.gz,0.1961714976692742
input.crnlqr.gz,0.22060983459987865
input.crnlrr.gz,0.22025944705467676
input.dortr1.gz,0.22888907661865182
input.erimr1.gz,0.14953736489769787
input.eth003.gz,0.18435598840668593
input.eth004.gz,0.18645133496241964
input.fdf1.gz,0.1877352431811175
input.fdf2.gz,0.18833537961331875
input.inq103.gz,0.22588831472230023
input.inq104.gz,0.22023393135576397
input.losPA1.gz,0.19352528010064893
input.lsir1.gz,0.1667337835915534
input.lsir2.gz,0.23408234204295447
input.nyuir1.gz,0.14651445540880226
input.nyuir2.gz,0.17260936795475965
input.pircs3.gz,0.22086167401901716
input.pircs4.gz,0.21721903941494167
input.rutfur1.gz,0.10136462651156261
input.rutfur2.gz,0.10026119192027953
input.ucf101.gz,0.1910977932974684
input.westp2.gz,0.20233851827073898
input.xerox1.gz,0.13968524572620714
input.xerox2.gz,0.15543200316128217
