,score
input.acqnt2.gz,0.5725
input.brkly8.gz,0.6275000000000001
input.cityi1.gz,0.49749999999999994
input.cityr1.gz,0.6599999999999999
input.cityr2.gz,0.6174999999999999
input.clarta.gz,0.5974999999999999
input.crnlqr.gz,0.615
input.crnlrr.gz,0.5925
input.dortr1.gz,0.62
input.erimr1.gz,0.43499999999999994
input.eth003.gz,0.49749999999999994
input.eth004.gz,0.5375
input.fdf1.gz,0.6025
input.fdf2.gz,0.615
input.inq103.gz,0.6375
input.inq104.gz,0.605
input.losPA1.gz,0.5825
input.lsir1.gz,0.43249999999999994
input.lsir2.gz,0.6725000000000001
input.nyuir1.gz,0.47000000000000003
input.nyuir2.gz,0.5549999999999999
input.pircs3.gz,0.6375
input.pircs4.gz,0.615
input.rutfur1.gz,0.3725
input.rutfur2.gz,0.3725
input.ucf101.gz,0.5825000000000001
input.westp2.gz,0.5975
input.xerox1.gz,0.4625
input.xerox2.gz,0.49749999999999994
