query,q0,docid,rank,score,system
114,Q0,AP900125-0078,1,508043.20999999996,borda
114,Q0,AP900221-0155,2,504361.7650000001,borda
114,Q0,SJMN91-06330076,3,497364.0324999999,borda
114,Q0,AP900125-0042,4,496407.2975,borda
114,Q0,AP901113-0020,5,495658.04500000004,borda
114,Q0,AP900608-0120,6,494057.57250000007,borda
114,Q0,AP900228-0041,7,493522.8450000001,borda
114,Q0,AP900608-0033,8,491632.5474999999,borda
114,Q0,AP900125-0187,9,487952.75500000006,borda
114,Q0,AP900414-0027,10,487508.665,borda
114,Q0,AP900623-0109,11,486817.65,borda
114,Q0,AP900225-0009,12,486751.22250000003,borda
114,Q0,AP901116-0077,13,484996.2575,borda
114,Q0,SJMN91-06216087,14,484536.66000000003,borda
114,Q0,SJMN91-06330055,15,483266.19250000006,borda
114,Q0,AP900411-0108,16,483117.51249999995,borda
114,Q0,AP901001-0005,17,480670.1074999999,borda
114,Q0,AP900124-0106,18,480623.5599999999,borda
114,Q0,AP900317-0030,19,479843.19000000006,borda
114,Q0,AP900411-0090,20,479739.2375,borda
114,Q0,AP900301-0139,21,479259.98250000004,borda
114,Q0,AP900724-0193,22,479201.12249999994,borda
114,Q0,AP901116-0150,23,478486.58249999996,borda
114,Q0,AP900228-0097,24,478041.7275,borda
114,Q0,AP901115-0156,25,476994.4125,borda
114,Q0,AP900317-0088,26,476152.885,borda
114,Q0,AP900314-0095,27,475640.30749999994,borda
114,Q0,AP900224-0065,28,475605.63249999995,borda
114,Q0,AP901009-0137,29,472802.93000000005,borda
114,Q0,AP900325-0071,30,471255.725,borda
114,Q0,AP900313-0139,31,470300.655,borda
114,Q0,AP900303-0140,32,469946.26500000013,borda
114,Q0,AP900301-0074,33,469466.9825,borda
114,Q0,AP900316-0152,34,469137.58,borda
114,Q0,AP900221-0129,35,466137.62999999995,borda
114,Q0,AP900403-0061,36,464640.5225000001,borda
114,Q0,SJMN91-06324095,37,464333.11249999993,borda
114,Q0,SJMN91-06331092,38,463745.6750000001,borda
114,Q0,AP900106-0098,39,462562.74,borda
114,Q0,AP900403-0109,40,460995.34,borda
114,Q0,AP900109-0084,41,460698.9275,borda
114,Q0,SJMN91-06113207,42,460542.18499999994,borda
114,Q0,AP900316-0213,43,460043.9900000001,borda
114,Q0,AP901117-0084,44,459909.2725,borda
114,Q0,AP900623-0076,45,459312.85750000004,borda
114,Q0,AP900317-0017,46,458879.98,borda
114,Q0,AP900314-0130,47,458639.12,borda
114,Q0,AP900304-0064,48,457412.43749999994,borda
114,Q0,AP900219-0092,49,456965.80249999993,borda
114,Q0,AP900723-0070,50,456711.4375,borda
114,Q0,AP900802-0105,51,455870.5000000001,borda
114,Q0,AP900223-0086,52,455824.26000000007,borda
114,Q0,AP900405-0177,53,453364.225,borda
114,Q0,AP900124-0160,54,452936.4824999999,borda
114,Q0,AP900123-0067,55,452803.2775,borda
114,Q0,AP900321-0197,56,450902.3025,borda
114,Q0,SJMN91-06324025,57,449295.07749999996,borda
114,Q0,AP901011-0085,58,448640.49000000005,borda
114,Q0,AP901019-0172,59,448327.22000000003,borda
114,Q0,AP900303-0065,60,445864.5649999999,borda
114,Q0,AP901007-0067,61,445108.0350000001,borda
114,Q0,AP900228-0102,62,445006.9775,borda
114,Q0,AP900323-0031,63,444080.625,borda
114,Q0,AP900210-0107,64,443166.07499999995,borda
114,Q0,AP900904-0025,65,442804.225,borda
114,Q0,SJMN91-06323126,66,442367.52249999996,borda
114,Q0,AP900222-0104,67,441874.2425,borda
114,Q0,AP900301-0001,68,441434.10000000003,borda
114,Q0,AP900108-0087,69,441380.53500000003,borda
114,Q0,SJMN91-06215017,70,440625.605,borda
114,Q0,AP900109-0130,71,437393.6025,borda
114,Q0,AP900123-0115,72,436661.2975,borda
114,Q0,AP901126-0151,73,434864.09500000003,borda
114,Q0,AP900329-0089,74,434670.80000000005,borda
114,Q0,AP901031-0046,75,433758.3499999999,borda
114,Q0,AP901008-0080,76,433541.0750000001,borda
114,Q0,AP900214-0098,77,431890.10250000004,borda
114,Q0,AP900223-0049,78,431368.66500000015,borda
114,Q0,AP900104-0006,79,431033.52249999996,borda
114,Q0,AP900121-0056,80,430920.1925,borda
114,Q0,SJMN91-06215073,81,429258.84750000003,borda
114,Q0,AP901101-0079,82,428736.2925,borda
114,Q0,AP901031-0061,83,427337.5299999999,borda
114,Q0,SJMN91-06206165,84,427174.445,borda
114,Q0,AP900818-0030,85,427020.06749999995,borda
114,Q0,AP900130-0162,86,426796.92250000004,borda
114,Q0,AP900321-0027,87,426700.8149999999,borda
114,Q0,AP900109-0035,88,426632.89499999996,borda
114,Q0,AP900302-0142,89,424554.67999999993,borda
114,Q0,SJMN91-06194260,90,423390.6,borda
114,Q0,AP900122-0100,91,423273.735,borda
114,Q0,AP900516-0021,92,423229.3375,borda
114,Q0,AP900612-0038,93,422806.93999999994,borda
114,Q0,AP900613-0117,94,422171.76,borda
114,Q0,AP900226-0031,95,419956.3649999999,borda
114,Q0,AP901120-0130,96,419470.5999999999,borda
114,Q0,SJMN91-06262251,97,418448.9,borda
114,Q0,AP900929-0113,98,418338.5775,borda
114,Q0,AP900816-0117,99,418056.6974999999,borda
114,Q0,AP900220-0124,100,417691.8225,borda
114,Q0,AP900724-0047,101,417030.89249999996,borda
114,Q0,AP900725-0057,102,416882.77249999996,borda
114,Q0,AP900226-0145,103,416477.25250000006,borda
114,Q0,AP900111-0169,104,414856.5075000002,borda
114,Q0,AP900111-0101,105,414538.30999999994,borda
114,Q0,AP900122-0054,106,414198.155,borda
114,Q0,AP901201-0011,107,413512.4125,borda
114,Q0,AP900726-0040,108,413501.6499999999,borda
114,Q0,AP900904-0124,109,413001.855,borda
114,Q0,SJMN91-06143024,110,412046.9275,borda
114,Q0,AP900223-0126,111,411501.53500000003,borda
114,Q0,AP900611-0095,112,411283.94000000006,borda
114,Q0,AP901107-0197,113,410926.2949999999,borda
114,Q0,SJMN91-06207185,114,410048.9875,borda
114,Q0,AP900222-0144,115,409760.68250000005,borda
114,Q0,AP900329-0124,116,407282.535,borda
114,Q0,AP900720-0097,117,406709.67500000005,borda
114,Q0,AP900709-0148,118,405189.065,borda
114,Q0,AP900121-0073,119,402959.1875,borda
114,Q0,AP900119-0058,120,402881.92999999993,borda
114,Q0,AP901111-0046,121,402133.75749999995,borda
114,Q0,SJMN91-06225008,122,399570.00999999995,borda
114,Q0,AP901002-0086,123,398746.69,borda
114,Q0,AP900313-0152,124,396648.4775,borda
114,Q0,AP901004-0132,125,396195.41750000004,borda
114,Q0,AP900102-0066,126,396058.94999999995,borda
114,Q0,AP900403-0095,127,395756.3474999999,borda
114,Q0,AP900120-0085,128,395625.25999999995,borda
114,Q0,AP900301-0004,129,395599.2825,borda
114,Q0,AP901012-0001,130,394250.015,borda
114,Q0,AP901117-0024,131,394128.71249999997,borda
114,Q0,AP900112-0118,132,393813.88,borda
114,Q0,AP900223-0134,133,393050.5175000001,borda
114,Q0,AP900110-0083,134,391029.0374999999,borda
114,Q0,AP900320-0140,135,390669.6125,borda
114,Q0,AP900723-0003,136,388843.58249999996,borda
114,Q0,AP901024-0006,137,388732.2675000001,borda
114,Q0,AP900226-0067,138,387981.6425,borda
114,Q0,AP900104-0128,139,386947.1975,borda
114,Q0,AP900105-0033,140,386931.6375,borda
114,Q0,AP900222-0196,141,386129.4975,borda
114,Q0,AP900830-0167,142,385952.39499999996,borda
114,Q0,SJMN91-06242218,143,385356.715,borda
114,Q0,AP900410-0099,144,384598.0275,borda
114,Q0,AP900717-0003,145,384216.13249999995,borda
114,Q0,AP900318-0079,146,383500.16250000003,borda
114,Q0,SJMN91-06093217,147,382860.39499999996,borda
114,Q0,AP901005-0021,148,382742.5900000001,borda
114,Q0,AP901110-0042,149,380986.37750000006,borda
114,Q0,AP900330-0186,150,380123.01249999995,borda
114,Q0,ZF32-240-321,151,379254.31249999994,borda
114,Q0,AP900321-0205,152,378923.12499999994,borda
114,Q0,AP900605-0036,153,378021.14249999996,borda
114,Q0,AP900228-0065,154,377950.39499999996,borda
114,Q0,AP900204-0063,155,377560.2325,borda
114,Q0,AP900215-0046,156,376969.1324999999,borda
114,Q0,AP901126-0195,157,376963.1875,borda
114,Q0,SJMN91-06124123,158,376837.66500000004,borda
114,Q0,AP900907-0012,159,376352.01999999996,borda
114,Q0,AP900430-0052,160,376025.12,borda
114,Q0,AP901120-0165,161,375411.9424999999,borda
114,Q0,AP901211-0017,162,374925.2375,borda
114,Q0,AP900907-0142,163,374470.17749999993,borda
114,Q0,SJMN91-06257265,164,373417.2075000001,borda
114,Q0,AP901210-0125,165,372078.82250000007,borda
114,Q0,AP900227-0033,166,371497.3474999999,borda
114,Q0,AP900407-0051,167,370423.02,borda
114,Q0,AP900107-0078,168,368896.8,borda
114,Q0,SJMN91-06099220,169,367667.27749999997,borda
114,Q0,AP900710-0251,170,367516.80000000005,borda
114,Q0,SJMN91-06219018,171,367474.6225,borda
114,Q0,AP901006-0043,172,367264.3375,borda
114,Q0,AP901006-0044,173,365764.25,borda
114,Q0,AP900602-0014,174,364648.115,borda
114,Q0,AP900911-0151,175,364577.3625,borda
114,Q0,AP900228-0148,176,364380.885,borda
114,Q0,AP900305-0028,177,361870.56999999995,borda
114,Q0,AP900203-0092,178,360976.02,borda
114,Q0,AP900406-0194,179,360764.1675,borda
114,Q0,SJMN91-06256111,180,359601.3300000001,borda
114,Q0,AP900223-0088,181,358891.9975,borda
114,Q0,AP900717-0074,182,358466.6,borda
114,Q0,AP900901-0126,183,358062.5374999999,borda
114,Q0,AP901004-0068,184,357513.74,borda
114,Q0,AP900110-0121,185,356899.7300000001,borda
114,Q0,SJMN91-06224004,186,356265.4825,borda
114,Q0,AP900626-0151,187,355806.81500000006,borda
114,Q0,SJMN91-06036057,188,354971.48250000004,borda
114,Q0,AP900716-0039,189,354716.87,borda
114,Q0,AP900731-0226,190,354109.33,borda
114,Q0,AP900905-0154,191,353821.3375,borda
114,Q0,AP900101-0011,192,351125.615,borda
114,Q0,AP900130-0049,193,350351.365,borda
114,Q0,AP901211-0096,194,349989.75,borda
114,Q0,AP900405-0072,195,349782.86750000005,borda
114,Q0,AP901120-0174,196,349034.755,borda
114,Q0,AP900509-0049,197,347668.48,borda
114,Q0,AP900113-0052,198,346865.8875,borda
114,Q0,AP900407-0078,199,346627.99249999993,borda
114,Q0,PT3-05178347,200,346072.3025,borda
