query,q0,docid,rank,score,system
114,Q0,AP900228-0041,1,0.6053764125493897,reciprocal_rank_fusion_k=60
114,Q0,AP901115-0156,2,0.5822953877836586,reciprocal_rank_fusion_k=60
114,Q0,AP900301-0001,3,0.5799283888725904,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06330055,4,0.5788839674620677,reciprocal_rank_fusion_k=60
114,Q0,AP900221-0155,5,0.5738959947892088,reciprocal_rank_fusion_k=60
114,Q0,AP900608-0120,6,0.5732816829696248,reciprocal_rank_fusion_k=60
114,Q0,AP900225-0009,7,0.5631903245076607,reciprocal_rank_fusion_k=60
114,Q0,AP900608-0033,8,0.5562966604788695,reciprocal_rank_fusion_k=60
114,Q0,AP900125-0078,9,0.5545059938349775,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06330076,10,0.55281960255503,reciprocal_rank_fusion_k=60
114,Q0,AP900301-0139,11,0.5506268044685907,reciprocal_rank_fusion_k=60
114,Q0,AP901116-0150,12,0.5504201427256659,reciprocal_rank_fusion_k=60
114,Q0,AP901113-0020,13,0.5444621998983027,reciprocal_rank_fusion_k=60
114,Q0,AP900623-0109,14,0.5340531857634568,reciprocal_rank_fusion_k=60
114,Q0,AP900224-0065,15,0.5310978739725501,reciprocal_rank_fusion_k=60
114,Q0,AP900219-0092,16,0.5220370778494582,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06216087,17,0.49490564198308024,reciprocal_rank_fusion_k=60
114,Q0,AP900301-0074,18,0.49277930603131836,reciprocal_rank_fusion_k=60
114,Q0,AP900303-0065,19,0.49010188049036374,reciprocal_rank_fusion_k=60
114,Q0,AP900125-0187,20,0.48426897571823335,reciprocal_rank_fusion_k=60
114,Q0,AP900228-0097,21,0.4748394578051345,reciprocal_rank_fusion_k=60
114,Q0,AP900302-0142,22,0.4736803193131437,reciprocal_rank_fusion_k=60
114,Q0,AP900221-0129,23,0.47293658697675267,reciprocal_rank_fusion_k=60
114,Q0,AP900228-0102,24,0.4644272157924517,reciprocal_rank_fusion_k=60
114,Q0,AP900316-0152,25,0.45846790184465264,reciprocal_rank_fusion_k=60
114,Q0,AP900220-0124,26,0.45383870693643097,reciprocal_rank_fusion_k=60
114,Q0,AP900414-0027,27,0.45343137911989395,reciprocal_rank_fusion_k=60
114,Q0,AP900303-0140,28,0.4506739671981279,reciprocal_rank_fusion_k=60
114,Q0,AP900304-0064,29,0.44385249535406124,reciprocal_rank_fusion_k=60
114,Q0,AP901116-0077,30,0.44383506662903244,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06113207,31,0.44192280137255613,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06324095,32,0.4387352142366223,reciprocal_rank_fusion_k=60
114,Q0,AP900125-0042,33,0.43515178109571195,reciprocal_rank_fusion_k=60
114,Q0,AP900210-0107,34,0.43403359302836736,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06323126,35,0.42840657867051357,reciprocal_rank_fusion_k=60
114,Q0,AP900314-0130,36,0.4229701466987644,reciprocal_rank_fusion_k=60
114,Q0,AP900314-0095,37,0.4194340058591623,reciprocal_rank_fusion_k=60
114,Q0,AP900317-0017,38,0.4183427279411462,reciprocal_rank_fusion_k=60
114,Q0,AP900316-0213,39,0.41752749331845407,reciprocal_rank_fusion_k=60
114,Q0,AP900317-0088,40,0.41564877067995565,reciprocal_rank_fusion_k=60
114,Q0,AP900222-0104,41,0.4153285928356383,reciprocal_rank_fusion_k=60
114,Q0,AP901009-0137,42,0.4138531695306586,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06215017,43,0.4075464515546847,reciprocal_rank_fusion_k=60
114,Q0,AP900313-0139,44,0.40657739876513543,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06215073,45,0.4024643919514136,reciprocal_rank_fusion_k=60
114,Q0,AP900323-0031,46,0.39285105294016653,reciprocal_rank_fusion_k=60
114,Q0,AP900223-0086,47,0.3921086762419354,reciprocal_rank_fusion_k=60
114,Q0,AP900124-0106,48,0.3912844854808336,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06324025,49,0.38713233180942036,reciprocal_rank_fusion_k=60
114,Q0,AP900317-0030,50,0.3859822107020629,reciprocal_rank_fusion_k=60
114,Q0,AP901120-0130,51,0.3829588593297237,reciprocal_rank_fusion_k=60
114,Q0,AP901117-0084,52,0.3816521195205042,reciprocal_rank_fusion_k=60
114,Q0,AP900411-0090,53,0.37889709967054,reciprocal_rank_fusion_k=60
114,Q0,AP900623-0076,54,0.36813178784395284,reciprocal_rank_fusion_k=60
114,Q0,AP900411-0108,55,0.3659480979781701,reciprocal_rank_fusion_k=60
114,Q0,AP901008-0080,56,0.3600353385592859,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06331092,57,0.35876651760367895,reciprocal_rank_fusion_k=60
114,Q0,AP900516-0021,58,0.3569368991462049,reciprocal_rank_fusion_k=60
114,Q0,AP900405-0177,59,0.355449020362541,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06206165,60,0.34879912448272343,reciprocal_rank_fusion_k=60
114,Q0,AP901001-0005,61,0.3460046271033908,reciprocal_rank_fusion_k=60
114,Q0,AP900124-0160,62,0.33790731912850375,reciprocal_rank_fusion_k=60
114,Q0,AP901117-0024,63,0.33651016632427744,reciprocal_rank_fusion_k=60
114,Q0,AP901007-0067,64,0.33418278824628905,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06262251,65,0.32763227542214685,reciprocal_rank_fusion_k=60
114,Q0,AP900325-0071,66,0.32716633833973835,reciprocal_rank_fusion_k=60
114,Q0,AP900613-0117,67,0.3206894642301407,reciprocal_rank_fusion_k=60
114,Q0,AP900723-0070,68,0.3206883269145767,reciprocal_rank_fusion_k=60
114,Q0,AP901101-0079,69,0.319515107249116,reciprocal_rank_fusion_k=60
114,Q0,AP901019-0172,70,0.31779110888329676,reciprocal_rank_fusion_k=60
114,Q0,AP900724-0193,71,0.3161519155308064,reciprocal_rank_fusion_k=60
114,Q0,AP901121-0023,72,0.314741653986884,reciprocal_rank_fusion_k=60
114,Q0,AP900123-0115,73,0.31429242168601473,reciprocal_rank_fusion_k=60
114,Q0,AP900109-0084,74,0.3126624000630027,reciprocal_rank_fusion_k=60
114,Q0,AP900104-0006,75,0.3121856870321928,reciprocal_rank_fusion_k=60
114,Q0,AP900321-0197,76,0.31058244039591776,reciprocal_rank_fusion_k=60
114,Q0,AP900321-0027,77,0.3103377197727724,reciprocal_rank_fusion_k=60
114,Q0,AP900223-0126,78,0.3097335034659127,reciprocal_rank_fusion_k=60
114,Q0,AP900403-0061,79,0.3089888279522596,reciprocal_rank_fusion_k=60
114,Q0,AP900226-0031,80,0.3069254212744032,reciprocal_rank_fusion_k=60
114,Q0,AP900403-0109,81,0.3009630889688773,reciprocal_rank_fusion_k=60
114,Q0,AP900313-0152,82,0.29870152650423987,reciprocal_rank_fusion_k=60
114,Q0,AP900226-0067,83,0.2973959433569799,reciprocal_rank_fusion_k=60
114,Q0,AP900720-0097,84,0.2938129763644948,reciprocal_rank_fusion_k=60
114,Q0,AP900108-0087,85,0.2922273393508089,reciprocal_rank_fusion_k=60
114,Q0,AP900122-0100,86,0.2912149825933054,reciprocal_rank_fusion_k=60
114,Q0,AP900106-0098,87,0.29070856519261246,reciprocal_rank_fusion_k=60
114,Q0,AP900123-0067,88,0.28662039834129227,reciprocal_rank_fusion_k=60
114,Q0,AP901107-0197,89,0.2851094687940077,reciprocal_rank_fusion_k=60
114,Q0,AP900109-0035,90,0.28221286332310747,reciprocal_rank_fusion_k=60
114,Q0,AP900226-0145,91,0.2821946244090027,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06225008,92,0.28003780270178397,reciprocal_rank_fusion_k=60
114,Q0,AP901110-0042,93,0.27983509689046376,reciprocal_rank_fusion_k=60
114,Q0,AP901111-0046,94,0.27886923510644296,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06194260,95,0.27784499988493205,reciprocal_rank_fusion_k=60
114,Q0,AP900904-0124,96,0.27769613927629544,reciprocal_rank_fusion_k=60
114,Q0,AP900112-0118,97,0.2771966276328868,reciprocal_rank_fusion_k=60
114,Q0,AP900818-0030,98,0.274322807028089,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06093217,99,0.272323365126718,reciprocal_rank_fusion_k=60
114,Q0,AP900130-0162,100,0.2722773205657685,reciprocal_rank_fusion_k=60
114,Q0,AP900802-0105,101,0.26663254936291536,reciprocal_rank_fusion_k=60
114,Q0,AP900907-0142,102,0.26604037826288063,reciprocal_rank_fusion_k=60
114,Q0,AP900222-0144,103,0.265912481264264,reciprocal_rank_fusion_k=60
114,Q0,AP900329-0124,104,0.26564393105502687,reciprocal_rank_fusion_k=60
114,Q0,AP900305-0026,105,0.26254407946383734,reciprocal_rank_fusion_k=60
114,Q0,AP900228-0065,106,0.2624824428176819,reciprocal_rank_fusion_k=60
114,Q0,AP901211-0017,107,0.26107042068890784,reciprocal_rank_fusion_k=60
114,Q0,AP900904-0025,108,0.25723641829870236,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06207185,109,0.25675416724129746,reciprocal_rank_fusion_k=60
114,Q0,AP901120-0174,110,0.2545010640543932,reciprocal_rank_fusion_k=60
114,Q0,AP901006-0043,111,0.2516510835152988,reciprocal_rank_fusion_k=60
114,Q0,AP901201-0011,112,0.25105221696702984,reciprocal_rank_fusion_k=60
114,Q0,AP901011-0085,113,0.2502370839871841,reciprocal_rank_fusion_k=60
114,Q0,AP900329-0089,114,0.24937794038081715,reciprocal_rank_fusion_k=60
114,Q0,AP901031-0061,115,0.24861596291080362,reciprocal_rank_fusion_k=60
114,Q0,AP901031-0046,116,0.24836928237268968,reciprocal_rank_fusion_k=60
114,Q0,AP900228-0148,117,0.24697869083616472,reciprocal_rank_fusion_k=60
114,Q0,AP900104-0128,118,0.24524654700927256,reciprocal_rank_fusion_k=60
114,Q0,AP900929-0113,119,0.24519936945223975,reciprocal_rank_fusion_k=60
114,Q0,AP900301-0004,120,0.24513522267302754,reciprocal_rank_fusion_k=60
114,Q0,AP900109-0130,121,0.24270276855942816,reciprocal_rank_fusion_k=60
114,Q0,AP900911-0151,122,0.24250404949708615,reciprocal_rank_fusion_k=60
114,Q0,AP900612-0038,123,0.2417641856734294,reciprocal_rank_fusion_k=60
114,Q0,AP900726-0040,124,0.24131121595426808,reciprocal_rank_fusion_k=60
114,Q0,AP900320-0140,125,0.24113621731612941,reciprocal_rank_fusion_k=60
114,Q0,AP901126-0151,126,0.24092533379000924,reciprocal_rank_fusion_k=60
114,Q0,AP900223-0049,127,0.24082750054686042,reciprocal_rank_fusion_k=60
114,Q0,AP900709-0148,128,0.24016283099566532,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06219018,129,0.240117476067518,reciprocal_rank_fusion_k=60
114,Q0,AP901024-0006,130,0.23927900727931814,reciprocal_rank_fusion_k=60
114,Q0,AP901126-0195,131,0.23866472303721736,reciprocal_rank_fusion_k=60
114,Q0,AP900102-0066,132,0.23628655042015353,reciprocal_rank_fusion_k=60
114,Q0,AP900105-0033,133,0.23493512033129008,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06096254,134,0.23468579627961003,reciprocal_rank_fusion_k=60
114,Q0,AP900611-0095,135,0.2336163870727423,reciprocal_rank_fusion_k=60
