query,q0,docid,rank,score,system
114,Q0,AP900228-0041,1,0.19708139995657012,reciprocal_rank_fusion_k=60
114,Q0,AP900608-0120,2,0.19026247296724333,reciprocal_rank_fusion_k=60
114,Q0,AP900221-0155,3,0.18964028967055707,reciprocal_rank_fusion_k=60
114,Q0,AP900608-0033,4,0.18582082218727353,reciprocal_rank_fusion_k=60
114,Q0,AP901115-0156,5,0.18501352178153735,reciprocal_rank_fusion_k=60
114,Q0,AP900225-0009,6,0.18486016752713558,reciprocal_rank_fusion_k=60
114,Q0,AP900623-0109,7,0.18340160473853623,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06330055,8,0.18209712031634936,reciprocal_rank_fusion_k=60
114,Q0,AP900125-0078,9,0.18073926774087898,reciprocal_rank_fusion_k=60
114,Q0,AP901113-0020,10,0.17948511056830763,reciprocal_rank_fusion_k=60
114,Q0,AP900301-0001,11,0.17778868320380276,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06330076,12,0.1758303435352879,reciprocal_rank_fusion_k=60
114,Q0,AP901116-0150,13,0.17505211448274374,reciprocal_rank_fusion_k=60
114,Q0,AP900301-0139,14,0.1707721232357453,reciprocal_rank_fusion_k=60
114,Q0,AP900224-0065,15,0.16541203062519755,reciprocal_rank_fusion_k=60
114,Q0,AP900219-0092,16,0.1630807396959141,reciprocal_rank_fusion_k=60
114,Q0,AP900316-0152,17,0.16177547788524774,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06216087,18,0.1599324932989917,reciprocal_rank_fusion_k=60
114,Q0,AP900414-0027,19,0.15900805087423112,reciprocal_rank_fusion_k=60
114,Q0,AP900228-0097,20,0.15515872153483484,reciprocal_rank_fusion_k=60
114,Q0,AP900125-0187,21,0.15487790993620532,reciprocal_rank_fusion_k=60
114,Q0,AP900125-0042,22,0.15409804095267035,reciprocal_rank_fusion_k=60
114,Q0,AP900301-0074,23,0.15257976200446452,reciprocal_rank_fusion_k=60
114,Q0,AP900303-0065,24,0.15204357688194206,reciprocal_rank_fusion_k=60
114,Q0,AP900314-0095,25,0.1518713536929977,reciprocal_rank_fusion_k=60
114,Q0,AP900221-0129,26,0.15023138077297718,reciprocal_rank_fusion_k=60
114,Q0,AP900314-0130,27,0.15019538660353993,reciprocal_rank_fusion_k=60
114,Q0,AP900316-0213,28,0.14989645270613158,reciprocal_rank_fusion_k=60
114,Q0,AP900317-0017,29,0.14977811548069433,reciprocal_rank_fusion_k=60
114,Q0,AP901116-0077,30,0.14602327805506785,reciprocal_rank_fusion_k=60
114,Q0,AP900228-0102,31,0.1459802359455129,reciprocal_rank_fusion_k=60
114,Q0,AP900317-0088,32,0.14597632420953863,reciprocal_rank_fusion_k=60
114,Q0,AP900302-0142,33,0.14524009794913714,reciprocal_rank_fusion_k=60
114,Q0,AP900313-0139,34,0.1442477533359802,reciprocal_rank_fusion_k=60
114,Q0,AP900303-0140,35,0.14307549543937256,reciprocal_rank_fusion_k=60
114,Q0,AP900304-0064,36,0.1428448064964292,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06113207,37,0.14211764646935382,reciprocal_rank_fusion_k=60
114,Q0,AP900220-0124,38,0.13994762752621256,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06324095,39,0.13975490492297205,reciprocal_rank_fusion_k=60
114,Q0,AP901009-0137,40,0.13914573169804312,reciprocal_rank_fusion_k=60
114,Q0,AP900323-0031,41,0.13796954290389885,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06323126,42,0.13570187872075273,reciprocal_rank_fusion_k=60
114,Q0,AP900210-0107,43,0.13489167577097058,reciprocal_rank_fusion_k=60
114,Q0,AP900124-0106,44,0.132820640908819,reciprocal_rank_fusion_k=60
114,Q0,AP900411-0090,45,0.13188906433008826,reciprocal_rank_fusion_k=60
114,Q0,AP900222-0104,46,0.13122678025117607,reciprocal_rank_fusion_k=60
114,Q0,AP900317-0030,47,0.130615337940802,reciprocal_rank_fusion_k=60
114,Q0,AP900623-0076,48,0.129881936080487,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06215017,49,0.1291560384405675,reciprocal_rank_fusion_k=60
114,Q0,AP900516-0021,50,0.12910165144160254,reciprocal_rank_fusion_k=60
114,Q0,AP900411-0108,51,0.1264733744638435,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06215073,52,0.12536110954595694,reciprocal_rank_fusion_k=60
114,Q0,AP900223-0086,53,0.12437944478826364,reciprocal_rank_fusion_k=60
114,Q0,AP901001-0005,54,0.12412039917441649,reciprocal_rank_fusion_k=60
114,Q0,AP901120-0130,55,0.12260156594964151,reciprocal_rank_fusion_k=60
