query,q0,docid,rank,score,system
114,Q0,AP900228-0041,1,0.32845119088887237,reciprocal_rank_fusion_k=60
114,Q0,AP900608-0120,2,0.3153339519822056,reciprocal_rank_fusion_k=60
114,Q0,AP900221-0155,3,0.3151389150862307,reciprocal_rank_fusion_k=60
114,Q0,AP900225-0009,4,0.3077822031021816,reciprocal_rank_fusion_k=60
114,Q0,AP900608-0033,5,0.3037789051973641,reciprocal_rank_fusion_k=60
114,Q0,AP900623-0109,6,0.30209218383405034,reciprocal_rank_fusion_k=60
114,Q0,AP901115-0156,7,0.3015690469345557,reciprocal_rank_fusion_k=60
114,Q0,AP900125-0078,8,0.29860749605913617,reciprocal_rank_fusion_k=60
114,Q0,AP901113-0020,9,0.2970190631103373,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06330055,10,0.29590122239561606,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06330076,11,0.28744590665626596,reciprocal_rank_fusion_k=60
114,Q0,AP900301-0001,12,0.28519101045044626,reciprocal_rank_fusion_k=60
114,Q0,AP901116-0150,13,0.2843911757236226,reciprocal_rank_fusion_k=60
114,Q0,AP900301-0139,14,0.2767361194462758,reciprocal_rank_fusion_k=60
114,Q0,AP900316-0152,15,0.26856961442265653,reciprocal_rank_fusion_k=60
114,Q0,AP900224-0065,16,0.26798360666678345,reciprocal_rank_fusion_k=60
114,Q0,AP900414-0027,17,0.26670510960214017,reciprocal_rank_fusion_k=60
114,Q0,AP900125-0042,18,0.2662943214309075,reciprocal_rank_fusion_k=60
114,Q0,AP900219-0092,19,0.2634141609952939,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06216087,20,0.2631729169588077,reciprocal_rank_fusion_k=60
114,Q0,AP900228-0097,21,0.25679125681875004,reciprocal_rank_fusion_k=60
114,Q0,AP900314-0095,22,0.2566192670440703,reciprocal_rank_fusion_k=60
114,Q0,AP900125-0187,23,0.25326232306849283,reciprocal_rank_fusion_k=60
114,Q0,AP900314-0130,24,0.25061337140238255,reciprocal_rank_fusion_k=60
114,Q0,AP900317-0017,25,0.24974367940329556,reciprocal_rank_fusion_k=60
114,Q0,AP900316-0213,26,0.24897169186788812,reciprocal_rank_fusion_k=60
114,Q0,AP900301-0074,27,0.2484544163327202,reciprocal_rank_fusion_k=60
114,Q0,AP900303-0065,28,0.24439502880457842,reciprocal_rank_fusion_k=60
114,Q0,AP900221-0129,29,0.24322453279362707,reciprocal_rank_fusion_k=60
114,Q0,AP900317-0088,30,0.24221413117150822,reciprocal_rank_fusion_k=60
114,Q0,AP901116-0077,31,0.24213446763796015,reciprocal_rank_fusion_k=60
114,Q0,AP900313-0139,32,0.24059345599171147,reciprocal_rank_fusion_k=60
114,Q0,AP900228-0102,33,0.23691435980943887,reciprocal_rank_fusion_k=60
114,Q0,AP900304-0064,34,0.2367126008725032,reciprocal_rank_fusion_k=60
114,Q0,AP900303-0140,35,0.23577703127674055,reciprocal_rank_fusion_k=60
114,Q0,AP900302-0142,36,0.23305902341715093,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06113207,37,0.23021351960174463,reciprocal_rank_fusion_k=60
114,Q0,AP901009-0137,38,0.22807999650776858,reciprocal_rank_fusion_k=60
114,Q0,AP900323-0031,39,0.22771737495158786,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06324095,40,0.22697949407828583,reciprocal_rank_fusion_k=60
114,Q0,AP900220-0124,41,0.22475543608074885,reciprocal_rank_fusion_k=60
114,Q0,AP900411-0090,42,0.22321200088667922,reciprocal_rank_fusion_k=60
114,Q0,AP900124-0106,43,0.22219865273230907,reciprocal_rank_fusion_k=60
114,Q0,AP900317-0030,44,0.2208792881625969,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06323126,45,0.21961653252631247,reciprocal_rank_fusion_k=60
114,Q0,AP900210-0107,46,0.21843345573188538,reciprocal_rank_fusion_k=60
114,Q0,AP900623-0076,47,0.21561146611593318,reciprocal_rank_fusion_k=60
114,Q0,AP900516-0021,48,0.21424793002190487,reciprocal_rank_fusion_k=60
114,Q0,AP901001-0005,49,0.21395196992654353,reciprocal_rank_fusion_k=60
114,Q0,AP900411-0108,50,0.21308049754252992,reciprocal_rank_fusion_k=60
114,Q0,AP900222-0104,51,0.21275978572450582,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06215017,52,0.20929185440617526,reciprocal_rank_fusion_k=60
114,Q0,AP900223-0086,53,0.20336630589867147,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06215073,54,0.20278407391669237,reciprocal_rank_fusion_k=60
114,Q0,AP900403-0061,55,0.20271706534814296,reciprocal_rank_fusion_k=60
114,Q0,AP901120-0130,56,0.20207374221458943,reciprocal_rank_fusion_k=60
114,Q0,AP900403-0109,57,0.20153667674425263,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06324025,58,0.19812088398740904,reciprocal_rank_fusion_k=60
114,Q0,AP901117-0084,59,0.1973420023808403,reciprocal_rank_fusion_k=60
114,Q0,AP900724-0193,60,0.1971009255820554,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06331092,61,0.19291326897876118,reciprocal_rank_fusion_k=60
114,Q0,AP900325-0071,62,0.19290543664963303,reciprocal_rank_fusion_k=60
114,Q0,AP900321-0027,63,0.19046858731317654,reciprocal_rank_fusion_k=60
114,Q0,AP900613-0117,64,0.1891816861384503,reciprocal_rank_fusion_k=60
114,Q0,AP901008-0080,65,0.18780273641366235,reciprocal_rank_fusion_k=60
114,Q0,AP900321-0197,66,0.18629811243542602,reciprocal_rank_fusion_k=60
114,Q0,AP900405-0177,67,0.18609735743917477,reciprocal_rank_fusion_k=60
114,Q0,AP900124-0160,68,0.18478684515920077,reciprocal_rank_fusion_k=60
114,Q0,AP901019-0172,69,0.18225685451022874,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06206165,70,0.18104902881409674,reciprocal_rank_fusion_k=60
114,Q0,AP900904-0124,71,0.17966878004016903,reciprocal_rank_fusion_k=60
114,Q0,AP900723-0070,72,0.17890008968711016,reciprocal_rank_fusion_k=60
114,Q0,AP901007-0067,73,0.17879226863736417,reciprocal_rank_fusion_k=60
114,Q0,AP900106-0098,74,0.178791748722714,reciprocal_rank_fusion_k=60
114,Q0,AP900109-0084,75,0.17381283320971275,reciprocal_rank_fusion_k=60
114,Q0,AP900122-0100,76,0.17154745423099294,reciprocal_rank_fusion_k=60
114,Q0,AP900904-0025,77,0.17099397746954817,reciprocal_rank_fusion_k=60
114,Q0,AP900123-0067,78,0.16915855478928904,reciprocal_rank_fusion_k=60
114,Q0,AP900802-0105,79,0.1685495288509923,reciprocal_rank_fusion_k=60
114,Q0,AP900226-0031,80,0.16824139453816137,reciprocal_rank_fusion_k=60
114,Q0,SJMN91-06262251,81,0.16611082834668267,reciprocal_rank_fusion_k=60
114,Q0,AP900329-0124,82,0.16560200282884602,reciprocal_rank_fusion_k=60
114,Q0,AP900123-0115,83,0.16525479912656615,reciprocal_rank_fusion_k=60
114,Q0,AP900104-0006,84,0.16502257101698514,reciprocal_rank_fusion_k=60
114,Q0,AP900709-0148,85,0.1624267384726727,reciprocal_rank_fusion_k=60
114,Q0,AP900818-0030,86,0.15960422457275916,reciprocal_rank_fusion_k=60
114,Q0,AP901117-0024,87,0.1592452439287539,reciprocal_rank_fusion_k=60
114,Q0,AP901101-0079,88,0.15738169822303055,reciprocal_rank_fusion_k=60
114,Q0,AP901011-0085,89,0.15609286235002667,reciprocal_rank_fusion_k=60
114,Q0,AP900112-0118,90,0.15599575290122253,reciprocal_rank_fusion_k=60
114,Q0,AP900108-0087,91,0.15594382054077022,reciprocal_rank_fusion_k=60
114,Q0,AP901031-0046,92,0.15583839046475872,reciprocal_rank_fusion_k=60
114,Q0,AP900223-0126,93,0.1554269264359255,reciprocal_rank_fusion_k=60
