query,q0,docid,rank,score,system
114,Q0,AP900301-0001,1,0.39392204737557335,minmaxnorm
114,Q0,AP900608-0120,2,0.38620105587178366,minmaxnorm
114,Q0,AP900225-0009,3,0.3846243422665344,minmaxnorm
114,Q0,AP900125-0078,4,0.38259018504567766,minmaxnorm
114,Q0,AP900608-0033,5,0.38151890836511465,minmaxnorm
114,Q0,SJMN91-06330055,6,0.3810684020085722,minmaxnorm
114,Q0,AP900301-0139,7,0.38059658387783396,minmaxnorm
114,Q0,AP901115-0156,8,0.38020546671621,minmaxnorm
114,Q0,AP900228-0041,9,0.37818516250323236,minmaxnorm
114,Q0,AP901116-0150,10,0.3768735814640757,minmaxnorm
114,Q0,AP900221-0155,11,0.37530511331793004,minmaxnorm
114,Q0,AP900623-0109,12,0.374838854944452,minmaxnorm
114,Q0,SJMN91-06330076,13,0.3717753775158981,minmaxnorm
114,Q0,AP900303-0065,14,0.37046089199118193,minmaxnorm
114,Q0,AP900219-0092,15,0.36846300113844144,minmaxnorm
114,Q0,AP900224-0065,16,0.3679378946352338,minmaxnorm
114,Q0,AP901113-0020,17,0.3677387897174227,minmaxnorm
114,Q0,AP900301-0074,18,0.3645453903493522,minmaxnorm
114,Q0,AP900302-0142,19,0.3639931893407649,minmaxnorm
114,Q0,AP900125-0187,20,0.3568273012210238,minmaxnorm
114,Q0,AP900220-0124,21,0.35530376504771793,minmaxnorm
114,Q0,AP900221-0129,22,0.3541261428561718,minmaxnorm
114,Q0,SJMN91-06216087,23,0.35331554505829194,minmaxnorm
114,Q0,AP900414-0027,24,0.35312721528436847,minmaxnorm
114,Q0,AP900228-0102,25,0.3523048526926633,minmaxnorm
114,Q0,AP900210-0107,26,0.3507068567470169,minmaxnorm
114,Q0,AP900228-0097,27,0.3498293873676263,minmaxnorm
114,Q0,AP900303-0140,28,0.34679179562283413,minmaxnorm
114,Q0,SJMN91-06113207,29,0.34661795216745306,minmaxnorm
114,Q0,AP900314-0130,30,0.345674026838617,minmaxnorm
114,Q0,AP900222-0104,31,0.3451851425046763,minmaxnorm
114,Q0,AP901116-0077,32,0.34483684159317013,minmaxnorm
114,Q0,SJMN91-06324095,33,0.34472530443392624,minmaxnorm
114,Q0,AP900313-0139,34,0.3420439996494581,minmaxnorm
114,Q0,AP900316-0152,35,0.3420414874667012,minmaxnorm
114,Q0,AP900323-0031,36,0.3416843508447365,minmaxnorm
114,Q0,AP900124-0106,37,0.3411062057875154,minmaxnorm
114,Q0,AP901009-0137,38,0.3410174195114507,minmaxnorm
114,Q0,AP900314-0095,39,0.34046256112843093,minmaxnorm
114,Q0,SJMN91-06323126,40,0.3396521394193671,minmaxnorm
114,Q0,SJMN91-06215017,41,0.33950071603407683,minmaxnorm
114,Q0,AP900304-0064,42,0.3383582425768052,minmaxnorm
114,Q0,AP900317-0088,43,0.337682502812266,minmaxnorm
114,Q0,SJMN91-06215073,44,0.3364547843995381,minmaxnorm
114,Q0,AP900623-0076,45,0.3359837667819906,minmaxnorm
114,Q0,AP900125-0042,46,0.3355260444098606,minmaxnorm
114,Q0,AP900223-0086,47,0.3348636872368001,minmaxnorm
114,Q0,AP900317-0017,48,0.3347958476812388,minmaxnorm
