query,q0,docid,rank,score,system
114,Q0,AP900125-0042,1,5.478710582827837,minmaxnorm
114,Q0,AP900228-0041,2,5.476354022609771,minmaxnorm
114,Q0,AP900125-0078,3,5.4055317713912725,minmaxnorm
114,Q0,AP900304-0064,4,5.396667705338759,minmaxnorm
114,Q0,AP900608-0120,5,5.258659929663287,minmaxnorm
114,Q0,AP900225-0009,6,5.250883714587515,minmaxnorm
114,Q0,AP900608-0033,7,5.228115898684646,minmaxnorm
114,Q0,SJMN91-06216087,8,5.209984042610847,minmaxnorm
114,Q0,AP900623-0109,9,5.191370908252457,minmaxnorm
114,Q0,SJMN91-06330055,10,5.179763077645912,minmaxnorm
114,Q0,AP900221-0155,11,5.167994241085092,minmaxnorm
114,Q0,AP900314-0095,12,5.125267271154861,minmaxnorm
114,Q0,SJMN91-06330076,13,5.116410137092928,minmaxnorm
114,Q0,AP901113-0020,14,5.09064025316062,minmaxnorm
114,Q0,AP901116-0077,15,4.9709535765312,minmaxnorm
114,Q0,AP900414-0027,16,4.951473270901461,minmaxnorm
114,Q0,AP900303-0065,17,4.927299167202387,minmaxnorm
114,Q0,AP900316-0152,18,4.890088304244884,minmaxnorm
114,Q0,AP900125-0187,19,4.883055615616962,minmaxnorm
114,Q0,AP900313-0139,20,4.857277239738904,minmaxnorm
114,Q0,AP901001-0005,21,4.826941903099261,minmaxnorm
114,Q0,AP900323-0031,22,4.801609392847514,minmaxnorm
114,Q0,AP900317-0088,23,4.8010246486519605,minmaxnorm
114,Q0,AP901019-0172,24,4.7928139974543456,minmaxnorm
114,Q0,AP900317-0017,25,4.785872008608074,minmaxnorm
114,Q0,AP900228-0097,26,4.776313869495371,minmaxnorm
114,Q0,AP900124-0106,27,4.7664086291441325,minmaxnorm
114,Q0,AP901117-0084,28,4.752230133445248,minmaxnorm
114,Q0,AP900112-0118,29,4.751789417380109,minmaxnorm
114,Q0,AP900623-0076,30,4.744705850704424,minmaxnorm
114,Q0,AP901009-0137,31,4.739211571299211,minmaxnorm
114,Q0,AP900316-0213,32,4.719810165399833,minmaxnorm
114,Q0,AP900724-0193,33,4.719092926385672,minmaxnorm
114,Q0,SJMN91-06324095,34,4.717172801560839,minmaxnorm
114,Q0,AP900302-0142,35,4.6911196043471515,minmaxnorm
114,Q0,SJMN91-06113207,36,4.677200896433644,minmaxnorm
114,Q0,AP900411-0108,37,4.6456432688411695,minmaxnorm
114,Q0,AP900317-0030,38,4.64071350443843,minmaxnorm
114,Q0,AP900411-0090,39,4.640177174255574,minmaxnorm
114,Q0,AP900325-0071,40,4.6358252976809515,minmaxnorm
114,Q0,AP900228-0102,41,4.633223290805411,minmaxnorm
114,Q0,AP900122-0100,42,4.6159607482857075,minmaxnorm
114,Q0,AP900226-0031,43,4.607177209108796,minmaxnorm
114,Q0,AP900223-0086,44,4.600300442580284,minmaxnorm
114,Q0,AP900802-0105,45,4.591973800534326,minmaxnorm
114,Q0,AP900403-0109,46,4.586593265570319,minmaxnorm
114,Q0,SJMN91-06331092,47,4.570275282097449,minmaxnorm
114,Q0,AP900403-0061,48,4.565718282482398,minmaxnorm
114,Q0,AP900321-0197,49,4.548534876812609,minmaxnorm
114,Q0,AP900109-0084,50,4.51119348472667,minmaxnorm
114,Q0,AP900405-0177,51,4.504418353690461,minmaxnorm
114,Q0,AP900124-0160,52,4.500448893043081,minmaxnorm
114,Q0,AP901007-0067,53,4.476202946075038,minmaxnorm
114,Q0,AP900120-0085,54,4.471470437721617,minmaxnorm
114,Q0,SJMN91-06194260,55,4.462886337036998,minmaxnorm
114,Q0,AP900123-0067,56,4.462346645943158,minmaxnorm
114,Q0,AP900723-0070,57,4.459294170285346,minmaxnorm
114,Q0,AP901008-0080,58,4.432292793019746,minmaxnorm
114,Q0,AP900106-0098,59,4.43181619447667,minmaxnorm
114,Q0,AP900108-0087,60,4.390558846705131,minmaxnorm
114,Q0,AP900321-0027,61,4.381576863990824,minmaxnorm
114,Q0,AP900301-0001,62,4.365238605488817,minmaxnorm
114,Q0,AP900301-0139,63,4.345297363848725,minmaxnorm
114,Q0,AP901101-0079,64,4.344007620049126,minmaxnorm
114,Q0,AP900904-0025,65,4.331019375067665,minmaxnorm
114,Q0,AP901116-0150,66,4.330477905544119,minmaxnorm
114,Q0,AP901120-0130,67,4.325151458858471,minmaxnorm
114,Q0,AP901115-0156,68,4.324942659437022,minmaxnorm
114,Q0,AP900929-0113,69,4.321247397848752,minmaxnorm
114,Q0,AP901031-0046,70,4.32016336600077,minmaxnorm
114,Q0,AP900329-0089,71,4.31597782014487,minmaxnorm
114,Q0,SJMN91-06324025,72,4.306180749249848,minmaxnorm
114,Q0,AP900904-0124,73,4.305649288387249,minmaxnorm
114,Q0,AP900612-0038,74,4.304568618917614,minmaxnorm
114,Q0,AP901031-0061,75,4.296135706643549,minmaxnorm
114,Q0,AP900516-0021,76,4.275678171896445,minmaxnorm
114,Q0,AP901011-0085,77,4.272351938496424,minmaxnorm
114,Q0,AP901126-0151,78,4.2588734892449684,minmaxnorm
114,Q0,AP900119-0058,79,4.249931256587105,minmaxnorm
114,Q0,AP900724-0047,80,4.247239626174057,minmaxnorm
114,Q0,AP900109-0130,81,4.237380771323419,minmaxnorm
114,Q0,AP900130-0162,82,4.235267528505257,minmaxnorm
