query,q0,docid,rank,score,system
104,Q0,AP900119-0111,1,28618.0,borda
104,Q0,AP901026-0151,2,28500.0,borda
104,Q0,AP901002-0015,3,28494.0,borda
104,Q0,AP901126-0005,4,28363.0,borda
104,Q0,SJMN91-06035038,5,28127.0,borda
104,Q0,AP900516-0186,6,28113.0,borda
104,Q0,AP900202-0250,7,28084.0,borda
104,Q0,SJMN91-06035191,8,28045.0,borda
104,Q0,AP900514-0233,9,27917.0,borda
104,Q0,SJMN91-06037162,10,27915.0,borda
104,Q0,SJMN91-06169093,11,27892.0,borda
104,Q0,AP900305-0091,12,27625.0,borda
104,Q0,AP900731-0015,13,27327.0,borda
104,Q0,AP900203-0021,14,27107.0,borda
104,Q0,AP900303-0012,15,26941.0,borda
104,Q0,AP900130-0064,16,26888.0,borda
104,Q0,AP900322-0196,17,26827.0,borda
104,Q0,AP900305-0207,18,26789.0,borda
104,Q0,AP900925-0107,19,26720.0,borda
104,Q0,SJMN91-06051064,20,26641.0,borda
104,Q0,AP900101-0002,21,26598.0,borda
104,Q0,SJMN91-06311105,22,26089.0,borda
104,Q0,AP900102-0033,23,25974.0,borda
104,Q0,AP900206-0208,24,25970.0,borda
104,Q0,AP900722-0049,25,25960.0,borda
104,Q0,AP900108-0176,26,25824.0,borda
104,Q0,AP900726-0012,27,25505.0,borda
104,Q0,SJMN91-06044199,28,25451.0,borda
104,Q0,SJMN91-06036199,29,25448.0,borda
104,Q0,SJMN91-06317146,30,25303.0,borda
104,Q0,SJMN91-06100173,31,25085.0,borda
104,Q0,SJMN91-06031046,32,24890.0,borda
104,Q0,AP900302-0103,33,24794.0,borda
104,Q0,SJMN91-06113045,34,24670.0,borda
104,Q0,AP900303-0014,35,24609.0,borda
104,Q0,AP901026-0002,36,24594.0,borda
104,Q0,AP900226-0084,37,24471.0,borda
104,Q0,AP900126-0023,38,24417.0,borda
104,Q0,AP901027-0167,39,24371.0,borda
104,Q0,AP901030-0012,40,24256.0,borda
104,Q0,AP900301-0163,41,24171.0,borda
104,Q0,AP900416-0207,42,24041.0,borda
104,Q0,AP900516-0164,43,24036.0,borda
104,Q0,AP901019-0158,44,23948.0,borda
104,Q0,AP901101-0104,45,23849.0,borda
104,Q0,AP900721-0140,46,23814.0,borda
104,Q0,SJMN91-06170191,47,23773.0,borda
104,Q0,AP901026-0187,48,23742.0,borda
104,Q0,AP901017-0086,49,23601.0,borda
104,Q0,AP900122-0270,50,23539.0,borda
104,Q0,AP901029-0231,51,23398.0,borda
104,Q0,AP900913-0177,52,23235.0,borda
104,Q0,AP900419-0008,53,23147.0,borda
104,Q0,AP900820-0163,54,23133.0,borda
104,Q0,SJMN91-06227200,55,23073.0,borda
104,Q0,SJMN91-06112095,56,23050.0,borda
104,Q0,SJMN91-06037140,57,23023.0,borda
104,Q0,SJMN91-06105144,58,22937.0,borda
104,Q0,AP900319-0227,59,22924.0,borda
104,Q0,AP900711-0125,60,22906.0,borda
104,Q0,AP901109-0193,61,22890.0,borda
104,Q0,AP901112-0182,62,22888.0,borda
104,Q0,AP900806-0188,63,22868.0,borda
104,Q0,AP900307-0162,64,22833.0,borda
104,Q0,AP900125-0218,65,22812.0,borda
104,Q0,AP901110-0059,66,22694.0,borda
104,Q0,SJMN91-06353137,67,22616.0,borda
104,Q0,AP901002-0089,68,22569.0,borda
104,Q0,AP900126-0222,69,22407.0,borda
104,Q0,SJMN91-06032051,70,22405.0,borda
104,Q0,AP901001-0062,71,22394.0,borda
104,Q0,AP901113-0008,72,22307.0,borda
104,Q0,AP900806-0182,73,22304.0,borda
104,Q0,SJMN91-06182056,74,22197.0,borda
104,Q0,AP901029-0220,75,22180.0,borda
104,Q0,AP901101-0029,76,22096.0,borda
104,Q0,AP901015-0029,77,22037.0,borda
104,Q0,AP900723-0023,78,22020.0,borda
104,Q0,SJMN91-06135135,79,22018.0,borda
104,Q0,AP900103-0107,80,22013.0,borda
104,Q0,AP900702-0111,81,21922.0,borda
104,Q0,SJMN91-06122181,82,21837.0,borda
104,Q0,SJMN91-06032264,83,21821.0,borda
104,Q0,AP901014-0043,84,21807.0,borda
104,Q0,AP900320-0110,85,21779.0,borda
104,Q0,AP901009-0268,86,21716.0,borda
104,Q0,AP900802-0123,87,21710.0,borda
104,Q0,SJMN91-06178235,88,21640.0,borda
104,Q0,AP901229-0011,89,21610.0,borda
104,Q0,SJMN91-06269184,90,21512.0,borda
104,Q0,AP901026-0066,91,21487.0,borda
104,Q0,SJMN91-06199037,92,21429.0,borda
104,Q0,SJMN91-06161036,93,21345.0,borda
104,Q0,SJMN91-06319051,94,21338.0,borda
104,Q0,SJMN91-06153029,95,21253.0,borda
104,Q0,SJMN91-06029019,96,21210.0,borda
