query,q0,docid,rank,score,system
104,Q0,AP900305-0207,1,42.659737427793324,minmaxnorm
104,Q0,AP901002-0015,2,38.87266686536801,minmaxnorm
104,Q0,SJMN91-06037162,3,37.70895912442629,minmaxnorm
104,Q0,SJMN91-06035038,4,37.17743143461392,minmaxnorm
104,Q0,SJMN91-06035191,5,36.95952023459467,minmaxnorm
104,Q0,AP901026-0151,6,36.05888505017731,minmaxnorm
104,Q0,AP901126-0005,7,34.54563126404792,minmaxnorm
104,Q0,AP900119-0111,8,34.47812904519229,minmaxnorm
104,Q0,AP900108-0176,9,34.3291532669671,minmaxnorm
104,Q0,AP900305-0091,10,33.030685458415455,minmaxnorm
104,Q0,AP900202-0250,11,32.138664163590235,minmaxnorm
104,Q0,AP900516-0186,12,31.96241432582603,minmaxnorm
104,Q0,AP900514-0233,13,31.863592907292823,minmaxnorm
104,Q0,AP900303-0012,14,30.867906021234667,minmaxnorm
104,Q0,AP900102-0033,15,30.58286352999749,minmaxnorm
104,Q0,AP900731-0015,16,29.233424821134935,minmaxnorm
104,Q0,SJMN91-06031046,17,28.909767691165136,minmaxnorm
104,Q0,SJMN91-06169093,18,28.715918047442457,minmaxnorm
104,Q0,AP900203-0021,19,27.36204458200769,minmaxnorm
104,Q0,AP900101-0002,20,26.778132389284057,minmaxnorm
104,Q0,SJMN91-06051064,21,25.725024281539124,minmaxnorm
104,Q0,AP900206-0208,22,25.235796995015516,minmaxnorm
104,Q0,AP900722-0049,23,25.193534355215604,minmaxnorm
104,Q0,SJMN91-06100173,24,25.145535367079592,minmaxnorm
104,Q0,AP900322-0196,25,25.087584954497895,minmaxnorm
104,Q0,SJMN91-06311105,26,24.223336115086603,minmaxnorm
104,Q0,AP900925-0107,27,23.977888903319275,minmaxnorm
104,Q0,SJMN91-06036199,28,23.496107445885922,minmaxnorm
104,Q0,AP900130-0064,29,23.38732769186108,minmaxnorm
104,Q0,AP901019-0158,30,23.270316517847732,minmaxnorm
104,Q0,SJMN91-06170191,31,22.831741265874783,minmaxnorm
104,Q0,AP901026-0187,32,22.5320306902601,minmaxnorm
104,Q0,AP901101-0104,33,22.379705129277376,minmaxnorm
104,Q0,AP901017-0086,34,22.160513885949307,minmaxnorm
104,Q0,AP901029-0231,35,21.691702423581994,minmaxnorm
104,Q0,AP900416-0207,36,21.45542199347902,minmaxnorm
104,Q0,AP901026-0002,37,21.108360245027477,minmaxnorm
104,Q0,AP900319-0227,38,21.041656010723255,minmaxnorm
104,Q0,AP900419-0008,39,20.893702022879737,minmaxnorm
104,Q0,SJMN91-06112095,40,20.659615081808994,minmaxnorm
104,Q0,AP900721-0140,41,20.595214059877325,minmaxnorm
104,Q0,AP901015-0029,42,20.403514509718217,minmaxnorm
104,Q0,AP901014-0043,43,20.02107285037295,minmaxnorm
104,Q0,AP901027-0167,44,19.966149820759284,minmaxnorm
104,Q0,SJMN91-06044199,45,19.86558500528207,minmaxnorm
104,Q0,AP901030-0012,46,19.846684849265163,minmaxnorm
104,Q0,AP901002-0089,47,19.67482163858832,minmaxnorm
104,Q0,AP900303-0014,48,19.612764393727975,minmaxnorm
104,Q0,AP901026-0066,49,19.60308841278458,minmaxnorm
104,Q0,AP900711-0125,50,19.538873747698382,minmaxnorm
104,Q0,AP900302-0103,51,19.190491549509073,minmaxnorm
104,Q0,AP900726-0012,52,18.881905939212952,minmaxnorm
104,Q0,AP901001-0062,53,18.766723926033315,minmaxnorm
104,Q0,AP901011-0158,54,18.43085043819246,minmaxnorm
104,Q0,SJMN91-06227200,55,18.12353258223352,minmaxnorm
104,Q0,SJMN91-06113045,56,18.116207503656106,minmaxnorm
104,Q0,AP900301-0163,57,18.04416901939838,minmaxnorm
104,Q0,AP901018-0121,58,17.863273879003177,minmaxnorm
104,Q0,AP901110-0059,59,17.856270609186208,minmaxnorm
104,Q0,AP900226-0084,60,17.724339419796838,minmaxnorm
104,Q0,AP901017-0014,61,17.68236877346833,minmaxnorm
104,Q0,AP900726-0024,62,17.66510676709334,minmaxnorm
104,Q0,SJMN91-06105144,63,17.524271289954633,minmaxnorm
104,Q0,AP900820-0163,64,17.242213400451583,minmaxnorm
104,Q0,SJMN91-06353137,65,17.13324906349619,minmaxnorm
104,Q0,SJMN91-06317146,66,17.124326384617287,minmaxnorm
104,Q0,AP901016-0004,67,17.050555736380037,minmaxnorm
104,Q0,AP901019-0111,68,17.03573986099931,minmaxnorm
104,Q0,AP901109-0193,69,17.008190214860793,minmaxnorm
104,Q0,AP900913-0177,70,17.005908234361513,minmaxnorm
104,Q0,AP900126-0023,71,16.997256538420856,minmaxnorm
104,Q0,SJMN91-06182056,72,16.841504805163833,minmaxnorm
104,Q0,AP900802-0123,73,16.69660462915366,minmaxnorm
104,Q0,AP901029-0220,74,16.497221817799808,minmaxnorm
104,Q0,SJMN91-06319051,75,16.401292000193138,minmaxnorm
104,Q0,AP901013-0008,76,16.35311427218147,minmaxnorm
104,Q0,AP901020-0142,77,16.302934779931004,minmaxnorm
104,Q0,SJMN91-06161036,78,16.281812005207424,minmaxnorm
104,Q0,AP900806-0188,79,16.174534386830835,minmaxnorm
104,Q0,SJMN91-06145058,80,16.141108850411737,minmaxnorm
104,Q0,AP900930-0088,81,16.11647891603795,minmaxnorm
104,Q0,AP900113-0131,82,15.771290428496986,minmaxnorm
104,Q0,AP901009-0268,83,15.647533692899264,minmaxnorm
104,Q0,AP900928-0204,84,15.608091339564657,minmaxnorm
104,Q0,AP900828-0083,85,15.543178589496883,minmaxnorm
104,Q0,AP901022-0226,86,15.541367838714446,minmaxnorm
104,Q0,SJMN91-06199037,87,15.422747763779954,minmaxnorm
104,Q0,AP900108-0166,88,15.28946712383424,minmaxnorm
104,Q0,AP900516-0164,89,15.274433915401488,minmaxnorm
104,Q0,AP901025-0197,90,15.270078583276915,minmaxnorm
104,Q0,AP900702-0111,91,15.263511071590562,minmaxnorm
104,Q0,AP900208-0054,92,15.243056300172267,minmaxnorm
104,Q0,AP901220-0240,93,15.196092908206236,minmaxnorm
104,Q0,SJMN91-06153029,94,15.175045639221294,minmaxnorm
104,Q0,AP901017-0091,95,15.048601783303464,minmaxnorm
104,Q0,AP901011-0137,96,14.954493957446989,minmaxnorm
104,Q0,SJMN91-06135135,97,14.858557692339273,minmaxnorm
104,Q0,SJMN91-06037140,98,14.77323080563308,minmaxnorm
104,Q0,AP901112-0182,99,14.513174534467494,minmaxnorm
104,Q0,AP900122-0270,100,14.348476485486367,minmaxnorm
104,Q0,SJMN91-06184023,101,14.274205595216882,minmaxnorm
104,Q0,SJMN91-06032051,102,14.163117831096319,minmaxnorm
104,Q0,SJMN91-06093186,103,14.073219217880347,minmaxnorm
104,Q0,AP900126-0222,104,13.951229932078787,minmaxnorm
104,Q0,AP901010-0009,105,13.839814389533519,minmaxnorm
104,Q0,AP900806-0182,106,13.71039115253389,minmaxnorm
104,Q0,AP900928-0023,107,13.708853084444424,minmaxnorm
104,Q0,AP901001-0029,108,13.707999633969,minmaxnorm
104,Q0,AP901103-0116,109,13.630196633933002,minmaxnorm
104,Q0,AP901101-0029,110,13.600822776201092,minmaxnorm
104,Q0,AP901013-0086,111,13.57277901769938,minmaxnorm
104,Q0,AP900723-0023,112,13.53178478589021,minmaxnorm
104,Q0,SJMN91-06017212,113,13.492989538812862,minmaxnorm
104,Q0,AP901113-0008,114,13.40616567334415,minmaxnorm
104,Q0,SJMN91-06122181,115,13.33629800988244,minmaxnorm
104,Q0,AP901229-0011,116,13.309507746067595,minmaxnorm
104,Q0,SJMN91-06032264,117,13.291328583487626,minmaxnorm
104,Q0,AP900320-0110,118,13.255847124969034,minmaxnorm
104,Q0,AP900926-0154,119,13.230507992700174,minmaxnorm
104,Q0,AP900125-0218,120,13.199788205265412,minmaxnorm
104,Q0,SJMN91-06171045,121,13.161934290100545,minmaxnorm
104,Q0,SJMN91-06073132,122,13.090020472240816,minmaxnorm
104,Q0,SJMN91-06087062,123,12.990931349266042,minmaxnorm
104,Q0,SJMN91-06269184,124,12.986910505047312,minmaxnorm
104,Q0,AP901001-0284,125,12.960378182831505,minmaxnorm
104,Q0,AP900307-0162,126,12.958608664776092,minmaxnorm
104,Q0,AP900930-0016,127,12.913221391114456,minmaxnorm
104,Q0,SJMN91-06146031,128,12.842067737875867,minmaxnorm
104,Q0,AP901009-0143,129,12.841507041895541,minmaxnorm
104,Q0,SJMN91-06015131,130,12.769774310856608,minmaxnorm
104,Q0,AP901023-0075,131,12.71021655175032,minmaxnorm
104,Q0,SJMN91-06224244,132,12.682676569560963,minmaxnorm
104,Q0,AP901024-0106,133,12.680767284685976,minmaxnorm
104,Q0,SJMN91-06083144,134,12.671429609155444,minmaxnorm
104,Q0,AP900103-0107,135,12.658645859586448,minmaxnorm
104,Q0,SJMN91-06158249,136,12.643383200625594,minmaxnorm
104,Q0,SJMN91-06113055,137,12.603330349339481,minmaxnorm
104,Q0,AP901011-0077,138,12.428127310311657,minmaxnorm
104,Q0,AP900930-0087,139,12.277132787256628,minmaxnorm
104,Q0,SJMN91-06216052,140,12.192375993017889,minmaxnorm
104,Q0,AP900402-0234,141,12.190855049438861,minmaxnorm
104,Q0,SJMN91-06015070,142,12.161651861156804,minmaxnorm
104,Q0,AP900222-0164,143,12.024480362020796,minmaxnorm
104,Q0,AP900709-0118,144,11.964674406166873,minmaxnorm
104,Q0,AP900205-0139,145,11.960036539292041,minmaxnorm
104,Q0,SJMN91-06320033,146,11.918307816655036,minmaxnorm
104,Q0,SJMN91-06108104,147,11.913522090533093,minmaxnorm
104,Q0,SJMN91-06117134,148,11.888021353282634,minmaxnorm
104,Q0,AP900128-0036,149,11.883440590205373,minmaxnorm
104,Q0,AP901021-0003,150,11.882634464002054,minmaxnorm
104,Q0,AP901222-0032,151,11.877647323540343,minmaxnorm
104,Q0,AP901001-0019,152,11.869971904356927,minmaxnorm
104,Q0,SJMN91-06036047,153,11.834560296557626,minmaxnorm
