query,q0,docid,rank,score,system
104,Q0,AP900305-0207,1,14.355838428515918,minmaxnorm
104,Q0,AP901002-0015,2,13.454832945191136,minmaxnorm
104,Q0,SJMN91-06037162,3,13.196744910164425,minmaxnorm
104,Q0,SJMN91-06035038,4,13.006876437044964,minmaxnorm
104,Q0,SJMN91-06035191,5,12.936964020966855,minmaxnorm
104,Q0,AP900119-0111,6,12.611838544524568,minmaxnorm
104,Q0,AP901026-0151,7,12.560278934563334,minmaxnorm
104,Q0,AP901126-0005,8,12.33364866583328,minmaxnorm
104,Q0,AP900514-0233,9,11.764563591317927,minmaxnorm
104,Q0,AP900516-0186,10,11.479815774723503,minmaxnorm
104,Q0,AP900305-0091,11,11.4579087180996,minmaxnorm
104,Q0,AP900202-0250,12,11.387953127981598,minmaxnorm
104,Q0,AP900108-0176,13,11.377422788294757,minmaxnorm
104,Q0,AP900303-0012,14,10.640369884328269,minmaxnorm
104,Q0,AP900102-0033,15,10.41180626159531,minmaxnorm
104,Q0,AP900731-0015,16,10.37225333065127,minmaxnorm
104,Q0,SJMN91-06169093,17,10.049960119588848,minmaxnorm
104,Q0,SJMN91-06031046,18,9.673153185713609,minmaxnorm
104,Q0,AP900203-0021,19,9.608076180835614,minmaxnorm
104,Q0,AP900101-0002,20,9.166810060636983,minmaxnorm
104,Q0,AP900322-0196,21,9.126753313196302,minmaxnorm
104,Q0,SJMN91-06311105,22,8.862948808429552,minmaxnorm
104,Q0,AP900206-0208,23,8.806112640188426,minmaxnorm
104,Q0,SJMN91-06051064,24,8.793500897412601,minmaxnorm
104,Q0,AP900722-0049,25,8.681492915248835,minmaxnorm
104,Q0,SJMN91-06100173,26,8.594047591118688,minmaxnorm
104,Q0,AP900925-0107,27,8.512043098231645,minmaxnorm
104,Q0,AP900130-0064,28,8.444410710054367,minmaxnorm
104,Q0,SJMN91-06170191,29,8.343574322889147,minmaxnorm
104,Q0,SJMN91-06036199,30,8.238280086126572,minmaxnorm
104,Q0,AP901101-0104,31,7.9151274265391125,minmaxnorm
104,Q0,AP901019-0158,32,7.628384039172909,minmaxnorm
104,Q0,AP900416-0207,33,7.515823351238874,minmaxnorm
104,Q0,AP901026-0187,34,7.411946634629703,minmaxnorm
104,Q0,SJMN91-06044199,35,7.366282210992994,minmaxnorm
104,Q0,SJMN91-06112095,36,7.222225337462362,minmaxnorm
104,Q0,AP901017-0086,37,7.2014898217417675,minmaxnorm
104,Q0,AP900303-0014,38,7.175294403670961,minmaxnorm
104,Q0,AP900721-0140,39,7.164772514096725,minmaxnorm
104,Q0,AP901029-0231,40,7.143323553870117,minmaxnorm
104,Q0,AP900302-0103,41,7.127266540491524,minmaxnorm
104,Q0,AP901030-0012,42,7.087525468814303,minmaxnorm
104,Q0,SJMN91-06317146,43,7.086748804609344,minmaxnorm
104,Q0,AP900419-0008,44,7.083423979084023,minmaxnorm
104,Q0,AP900726-0012,45,7.0023303392011425,minmaxnorm
104,Q0,AP901026-0002,46,6.9531035996623345,minmaxnorm
104,Q0,AP900319-0227,47,6.825230694533794,minmaxnorm
104,Q0,AP900711-0125,48,6.82234943948995,minmaxnorm
104,Q0,SJMN91-06113045,49,6.703255030401415,minmaxnorm
104,Q0,AP900226-0084,50,6.681453421767497,minmaxnorm
104,Q0,AP901027-0167,51,6.594950458183517,minmaxnorm
104,Q0,AP901002-0089,52,6.525447527038278,minmaxnorm
104,Q0,AP900301-0163,53,6.512861252072571,minmaxnorm
104,Q0,AP900126-0023,54,6.463151987588141,minmaxnorm
104,Q0,SJMN91-06353137,55,6.432172175129776,minmaxnorm
104,Q0,AP901110-0059,56,6.396915280758492,minmaxnorm
104,Q0,SJMN91-06227200,57,6.392041607385531,minmaxnorm
104,Q0,AP901015-0029,58,6.354009117577639,minmaxnorm
104,Q0,AP901109-0193,59,6.284541085144532,minmaxnorm
104,Q0,AP901014-0043,60,6.220994382693973,minmaxnorm
104,Q0,AP901029-0220,61,6.199723185252055,minmaxnorm
104,Q0,AP901001-0062,62,6.166372839743764,minmaxnorm
104,Q0,AP900820-0163,63,6.146018396582491,minmaxnorm
104,Q0,AP901026-0066,64,6.138952160801196,minmaxnorm
104,Q0,AP900516-0164,65,6.093393109752839,minmaxnorm
104,Q0,SJMN91-06105144,66,6.054064922084237,minmaxnorm
104,Q0,AP901009-0268,67,6.027746258914546,minmaxnorm
104,Q0,SJMN91-06319051,68,6.018416810751714,minmaxnorm
104,Q0,AP900802-0123,69,6.007964531809095,minmaxnorm
104,Q0,SJMN91-06182056,70,5.8810983056435,minmaxnorm
104,Q0,AP900913-0177,71,5.783715235206708,minmaxnorm
104,Q0,AP900122-0270,72,5.766890286540888,minmaxnorm
104,Q0,AP900726-0024,73,5.756049529538227,minmaxnorm
104,Q0,AP901220-0240,74,5.735628896734461,minmaxnorm
104,Q0,SJMN91-06135135,75,5.733168519470046,minmaxnorm
104,Q0,AP900806-0188,76,5.715079694085274,minmaxnorm
104,Q0,SJMN91-06037140,77,5.657227520022282,minmaxnorm
104,Q0,AP900103-0107,78,5.588283266711512,minmaxnorm
104,Q0,SJMN91-06153029,79,5.5033504767793575,minmaxnorm
104,Q0,AP901017-0014,80,5.494351439804968,minmaxnorm
104,Q0,SJMN91-06032051,81,5.4747038926936336,minmaxnorm
104,Q0,AP900806-0182,82,5.464013381806668,minmaxnorm
104,Q0,AP900208-0054,83,5.463082970910635,minmaxnorm
104,Q0,SJMN91-06145058,84,5.4265913249823825,minmaxnorm
104,Q0,SJMN91-06161036,85,5.426231466967822,minmaxnorm
104,Q0,SJMN91-06199037,86,5.424699153407092,minmaxnorm
104,Q0,AP900702-0111,87,5.422908975779245,minmaxnorm
104,Q0,AP900828-0083,88,5.389474923864615,minmaxnorm
104,Q0,SJMN91-06017212,89,5.3851236354304985,minmaxnorm
104,Q0,AP901112-0182,90,5.3766996530753195,minmaxnorm
104,Q0,AP900930-0088,91,5.361898500430218,minmaxnorm
104,Q0,AP901101-0029,92,5.319856733170558,minmaxnorm
104,Q0,AP901016-0004,93,5.2775595632309455,minmaxnorm
104,Q0,SJMN91-06122181,94,5.271960564145377,minmaxnorm
104,Q0,AP900723-0023,95,5.233242712441159,minmaxnorm
104,Q0,AP901011-0158,96,5.225419926219113,minmaxnorm
104,Q0,SJMN91-06269184,97,5.215928058236136,minmaxnorm
104,Q0,AP900320-0110,98,5.213597732326137,minmaxnorm
104,Q0,SJMN91-06032264,99,5.165863739940844,minmaxnorm
104,Q0,AP901229-0011,100,5.107321504951549,minmaxnorm
104,Q0,AP901113-0008,101,5.092039072451878,minmaxnorm
104,Q0,AP901019-0111,102,5.088049654352958,minmaxnorm
104,Q0,SJMN91-06113055,103,5.078899781422867,minmaxnorm
104,Q0,AP901103-0116,104,5.071583943611731,minmaxnorm
104,Q0,AP901013-0008,105,5.059555700457399,minmaxnorm
104,Q0,AP900928-0204,106,5.058902979271404,minmaxnorm
104,Q0,AP901018-0121,107,5.050370409100562,minmaxnorm
104,Q0,SJMN91-06087062,108,5.027619645283818,minmaxnorm
104,Q0,SJMN91-06015131,109,4.974878137902908,minmaxnorm
104,Q0,SJMN91-06184023,110,4.955010935456072,minmaxnorm
104,Q0,AP901022-0226,111,4.922283199507001,minmaxnorm
104,Q0,SJMN91-06093186,112,4.912235237029852,minmaxnorm
104,Q0,SJMN91-06224244,113,4.897866724450447,minmaxnorm
104,Q0,AP900126-0222,114,4.887387753629231,minmaxnorm
104,Q0,AP900113-0131,115,4.885897075650114,minmaxnorm
104,Q0,AP900125-0218,116,4.873566186529043,minmaxnorm
104,Q0,AP900307-0162,117,4.842404030016562,minmaxnorm
104,Q0,SJMN91-06146031,118,4.842335787740848,minmaxnorm
104,Q0,SJMN91-06171045,119,4.841394226334768,minmaxnorm
104,Q0,AP901106-0019,120,4.7592199050411566,minmaxnorm
104,Q0,AP900108-0166,121,4.7500737458004885,minmaxnorm
104,Q0,SJMN91-06073132,122,4.744266593577114,minmaxnorm
104,Q0,AP901020-0142,123,4.741711439498752,minmaxnorm
104,Q0,SJMN91-06015070,124,4.731066008309439,minmaxnorm
104,Q0,SJMN91-06178235,125,4.720642673168462,minmaxnorm
104,Q0,AP900402-0234,126,4.660823111672074,minmaxnorm
104,Q0,SJMN91-06320033,127,4.653884330721447,minmaxnorm
104,Q0,AP900524-0037,128,4.6525752546441215,minmaxnorm
104,Q0,SJMN91-06158249,129,4.650827171163803,minmaxnorm
104,Q0,AP900709-0118,130,4.617603946661589,minmaxnorm
