query,q0,docid,rank,score,system
101,Q0,AP900209-0193,1,15723.037500000002,borda
101,Q0,SJMN91-06200036,2,15566.2375,borda
101,Q0,AP900410-0134,3,15434.847499999998,borda
101,Q0,AP900314-0022,4,15295.127499999999,borda
101,Q0,AP900418-0206,5,15244.902500000004,borda
101,Q0,AP900422-0040,6,15232.465000000002,borda
101,Q0,AP900719-0024,7,15214.365,borda
101,Q0,SJMN91-06070034,8,15202.03,borda
101,Q0,AP900215-0046,9,15195.227499999999,borda
101,Q0,AP901025-0025,10,15115.064999999997,borda
101,Q0,AP900423-0024,11,15109.232499999998,borda
101,Q0,AP901217-0030,12,15081.767499999998,borda
101,Q0,AP901005-0009,13,15044.099999999997,borda
101,Q0,AP900727-0090,14,14995.012499999997,borda
101,Q0,AP900126-0089,15,14988.7275,borda
101,Q0,AP900405-0029,16,14987.782500000005,borda
101,Q0,AP900916-0009,17,14973.687499999995,borda
101,Q0,SJMN91-06031047,18,14955.160000000003,borda
101,Q0,SJMN91-06030153,19,14932.81,borda
101,Q0,SJMN91-06035214,20,14921.8575,borda
101,Q0,AP900214-0098,21,14913.547500000002,borda
101,Q0,AP900401-0017,22,14853.389999999998,borda
101,Q0,SJMN91-06044112,23,14823.970000000001,borda
101,Q0,AP900804-0151,24,14777.894999999997,borda
101,Q0,AP900827-0118,25,14772.694999999994,borda
101,Q0,AP900127-0014,26,14722.607500000002,borda
101,Q0,SJMN91-06166277,27,14690.954999999998,borda
101,Q0,ZF32-183-133,28,14690.482500000002,borda
101,Q0,AP900804-0060,29,14684.002500000002,borda
101,Q0,SJMN91-06212128,30,14679.912499999999,borda
101,Q0,SJMN91-06212078,31,14679.8025,borda
101,Q0,SJMN91-06213104,32,14640.952500000005,borda
101,Q0,SJMN91-06023203,33,14618.9175,borda
101,Q0,AP900317-0079,34,14609.517499999996,borda
101,Q0,SJMN91-06092029,35,14563.289999999997,borda
101,Q0,AP900727-0155,36,14562.7425,borda
101,Q0,SJMN91-06195073,37,14559.487499999997,borda
101,Q0,SJMN91-06117104,38,14441.492499999998,borda
101,Q0,AP900621-0042,39,14372.1675,borda
101,Q0,SJMN91-06214224,40,14350.264999999998,borda
101,Q0,AP900207-0179,41,14275.577500000005,borda
101,Q0,SJMN91-06290216,42,14270.1325,borda
101,Q0,SJMN91-06290139,43,14244.3975,borda
101,Q0,SJMN91-06032040,44,14221.41,borda
101,Q0,SJMN91-06215028,45,14094.942499999997,borda
101,Q0,AP900214-0032,46,14088.852499999997,borda
101,Q0,AP900209-0175,47,14075.115,borda
101,Q0,SJMN91-06009229,48,13998.429999999998,borda
101,Q0,AP901012-0190,49,13993.019999999999,borda
101,Q0,AP900713-0108,50,13981.927500000002,borda
101,Q0,AP900803-0148,51,13944.317500000003,borda
101,Q0,SJMN91-06088156,52,13925.245000000003,borda
101,Q0,AP900320-0011,53,13851.609999999999,borda
101,Q0,SJMN91-06336128,54,13763.597500000002,borda
101,Q0,SJMN91-06176110,55,13719.037500000002,borda
101,Q0,AP901008-0016,56,13703.837499999994,borda
101,Q0,AP900918-0177,57,13681.889999999998,borda
101,Q0,SJMN91-06079171,58,13667.410000000002,borda
101,Q0,AP900420-0146,59,13649.447500000004,borda
101,Q0,AP900207-0140,60,13621.005000000003,borda
101,Q0,AP900731-0133,61,13596.3475,borda
101,Q0,AP900130-0056,62,13590.682499999999,borda
