query,q0,docid,rank,score,system
101,Q0,SJMN91-06070034,1,413.17948977245516,minmaxnorm
101,Q0,AP900422-0040,2,387.81225718615997,minmaxnorm
101,Q0,AP900418-0206,3,386.53244775779456,minmaxnorm
101,Q0,AP900423-0024,4,383.49326057737767,minmaxnorm
101,Q0,AP900314-0022,5,372.0334064403659,minmaxnorm
101,Q0,AP900209-0193,6,367.12140375714023,minmaxnorm
101,Q0,SJMN91-06023203,7,363.6780901089732,minmaxnorm
101,Q0,AP900410-0134,8,363.25670836355584,minmaxnorm
101,Q0,SJMN91-06200036,9,360.70750615654583,minmaxnorm
101,Q0,AP901005-0009,10,353.8706742772561,minmaxnorm
101,Q0,AP900719-0024,11,351.95803744809365,minmaxnorm
101,Q0,SJMN91-06030153,12,348.749600953557,minmaxnorm
101,Q0,AP900405-0029,13,346.59148427750273,minmaxnorm
101,Q0,AP901025-0025,14,340.1012637219768,minmaxnorm
101,Q0,AP901217-0030,15,330.8266447965781,minmaxnorm
101,Q0,AP900215-0046,16,323.96490575510734,minmaxnorm
101,Q0,SJMN91-06166277,17,320.668313624602,minmaxnorm
101,Q0,AP900916-0009,18,317.1658471676238,minmaxnorm
101,Q0,AP900126-0089,19,310.6288737616625,minmaxnorm
101,Q0,SJMN91-06031047,20,302.3953782527793,minmaxnorm
101,Q0,AP900401-0017,21,299.0213666595902,minmaxnorm
101,Q0,AP900621-0042,22,297.1518539387114,minmaxnorm
101,Q0,AP900127-0014,23,294.3689140983864,minmaxnorm
101,Q0,SJMN91-06035214,24,289.17670843567413,minmaxnorm
101,Q0,SJMN91-06290216,25,288.84672216507823,minmaxnorm
101,Q0,SJMN91-06290139,26,285.51892258467467,minmaxnorm
101,Q0,SJMN91-06044112,27,285.0625903385995,minmaxnorm
101,Q0,AP901012-0190,28,282.1655964978073,minmaxnorm
101,Q0,AP900827-0118,29,280.0504981208718,minmaxnorm
101,Q0,SJMN91-06213104,30,279.58682261368506,minmaxnorm
101,Q0,ZF32-183-133,31,277.5533460846614,minmaxnorm
101,Q0,AP900214-0098,32,276.0558274034028,minmaxnorm
101,Q0,SJMN91-06212128,33,274.4468491414704,minmaxnorm
101,Q0,SJMN91-06212078,34,273.874487941106,minmaxnorm
101,Q0,SJMN91-06214224,35,273.2342398807296,minmaxnorm
101,Q0,AP900207-0179,36,271.3841656619379,minmaxnorm
101,Q0,AP900804-0060,37,271.3526411240058,minmaxnorm
101,Q0,SJMN91-06092029,38,271.1160260257114,minmaxnorm
101,Q0,AP900320-0011,39,267.4863475318232,minmaxnorm
101,Q0,AP900804-0151,40,267.3451748093841,minmaxnorm
101,Q0,AP900317-0079,41,263.7572438459306,minmaxnorm
101,Q0,SJMN91-06195073,42,262.7406423316844,minmaxnorm
101,Q0,SJMN91-06079171,43,260.33702786134836,minmaxnorm
101,Q0,AP900727-0090,44,259.9058171018928,minmaxnorm
101,Q0,SJMN91-06215028,45,259.88530284769587,minmaxnorm
101,Q0,SJMN91-06032040,46,254.70664291765706,minmaxnorm
101,Q0,AP900727-0155,47,253.12584042539706,minmaxnorm
101,Q0,SJMN91-06336128,48,252.1288749574587,minmaxnorm
101,Q0,AP900803-0148,49,252.10925469241232,minmaxnorm
101,Q0,AP900214-0032,50,249.98601430339545,minmaxnorm
101,Q0,SJMN91-06176110,51,241.48731084417415,minmaxnorm
101,Q0,SJMN91-06117104,52,233.43919836103302,minmaxnorm
101,Q0,AP901008-0016,53,226.7734431118084,minmaxnorm
101,Q0,SJMN91-06228057,54,223.50565293020253,minmaxnorm
101,Q0,AP900209-0175,55,222.76103143855943,minmaxnorm
101,Q0,AP900713-0108,56,217.17892493371244,minmaxnorm
101,Q0,ZF32-141-239,57,217.1137608340709,minmaxnorm
101,Q0,SJMN91-06088156,58,216.87532864083204,minmaxnorm
101,Q0,AP900712-0150,59,216.81646148239986,minmaxnorm
101,Q0,AP900207-0140,60,215.62472444349592,minmaxnorm
101,Q0,SJMN91-06219176,61,213.62961094394132,minmaxnorm
101,Q0,AP900420-0146,62,212.97900088251492,minmaxnorm
101,Q0,SJMN91-06009229,63,212.16555820119729,minmaxnorm
101,Q0,SJMN91-06088076,64,212.08739250472206,minmaxnorm
101,Q0,AP900324-0156,65,211.66291194267689,minmaxnorm
101,Q0,SJMN91-06213159,66,210.63624357220078,minmaxnorm
101,Q0,AP900919-0085,67,209.86177588676918,minmaxnorm
101,Q0,AP900712-0022,68,208.89874343061135,minmaxnorm
101,Q0,AP900907-0130,69,208.05853528934523,minmaxnorm
101,Q0,AP900918-0177,70,207.9613065865853,minmaxnorm
101,Q0,AP900602-0085,71,203.258950579099,minmaxnorm
