query,q0,docid,rank,score,system
101,Q0,SJMN91-06070034,1,23.34975152385951,minmaxnorm
101,Q0,AP900422-0040,2,21.861150632008645,minmaxnorm
101,Q0,AP900418-0206,3,21.782933409379222,minmaxnorm
101,Q0,AP900423-0024,4,21.598326232462217,minmaxnorm
101,Q0,AP900314-0022,5,20.89540737133284,minmaxnorm
101,Q0,AP900209-0193,6,20.639144277150894,minmaxnorm
101,Q0,SJMN91-06023203,7,20.509877485343193,minmaxnorm
101,Q0,AP900410-0134,8,20.344612246329827,minmaxnorm
101,Q0,SJMN91-06200036,9,20.331576200966307,minmaxnorm
101,Q0,AP901005-0009,10,19.849781750308313,minmaxnorm
101,Q0,AP900719-0024,11,19.79970690635878,minmaxnorm
101,Q0,SJMN91-06030153,12,19.60547369370926,minmaxnorm
101,Q0,AP900405-0029,13,19.447986637966462,minmaxnorm
101,Q0,AP901025-0025,14,19.13294707255325,minmaxnorm
101,Q0,AP901217-0030,15,18.613146959974248,minmaxnorm
101,Q0,AP900215-0046,16,18.109832165181263,minmaxnorm
101,Q0,SJMN91-06166277,17,17.982551386843497,minmaxnorm
101,Q0,AP900916-0009,18,17.84847767674169,minmaxnorm
101,Q0,AP900126-0089,19,17.548857252032217,minmaxnorm
101,Q0,SJMN91-06031047,20,17.089962181671254,minmaxnorm
101,Q0,AP900401-0017,21,16.867751687620782,minmaxnorm
101,Q0,AP900621-0042,22,16.69174121747059,minmaxnorm
101,Q0,AP900127-0014,23,16.540915721293416,minmaxnorm
101,Q0,SJMN91-06290216,24,16.350841053925393,minmaxnorm
101,Q0,SJMN91-06035214,25,16.28275241078234,minmaxnorm
101,Q0,SJMN91-06290139,26,16.16646547070131,minmaxnorm
101,Q0,SJMN91-06044112,27,16.005924772039567,minmaxnorm
101,Q0,AP901012-0190,28,15.918849945984016,minmaxnorm
101,Q0,SJMN91-06213104,29,15.76169760845464,minmaxnorm
101,Q0,ZF32-183-133,30,15.673139586121758,minmaxnorm
101,Q0,AP900827-0118,31,15.577537985850602,minmaxnorm
101,Q0,SJMN91-06214224,32,15.516575786416773,minmaxnorm
101,Q0,SJMN91-06212128,33,15.490144637794154,minmaxnorm
101,Q0,SJMN91-06212078,34,15.456693654300583,minmaxnorm
101,Q0,AP900214-0098,35,15.433622558928747,minmaxnorm
101,Q0,SJMN91-06092029,36,15.383650695204459,minmaxnorm
101,Q0,AP900207-0179,37,15.295482549246875,minmaxnorm
101,Q0,AP900804-0060,38,15.269006899116624,minmaxnorm
