query,q0,docid,rank,score,system
102,Q0,AP900410-0134,1,41053.834999999985,borda
102,Q0,SJMN91-06176110,2,40857.67,borda
102,Q0,AP900215-0046,3,40829.85,borda
102,Q0,AP900727-0090,4,40599.929999999986,borda
102,Q0,AP900209-0175,5,40545.90999999999,borda
102,Q0,AP900214-0098,6,40461.10499999999,borda
102,Q0,ZF32-141-239,7,40439.9925,borda
102,Q0,AP900803-0148,8,39803.862499999996,borda
102,Q0,SJMN91-06219176,9,39759.482499999984,borda
102,Q0,AP900523-0071,10,39715.41499999998,borda
102,Q0,AP900209-0193,11,39652.76249999999,borda
102,Q0,AP900727-0155,12,39553.0725,borda
102,Q0,AP901025-0025,13,39427.55749999998,borda
102,Q0,SJMN91-06290216,14,39075.41249999998,borda
102,Q0,SJMN91-06290139,15,38962.36999999999,borda
102,Q0,AP900127-0014,16,38307.30999999999,borda
102,Q0,AP900621-0042,17,38017.89249999999,borda
102,Q0,AP900418-0206,18,37408.66999999999,borda
102,Q0,AP900422-0040,19,37380.15749999999,borda
102,Q0,SJMN91-06023203,20,37329.38749999998,borda
102,Q0,AP900512-0003,21,37154.26249999998,borda
102,Q0,SJMN91-06214224,22,37097.23249999998,borda
102,Q0,SJMN91-06070034,23,37087.47999999998,borda
102,Q0,SJMN91-06079171,24,37049.57999999998,borda
102,Q0,AP900405-0029,25,36839.749999999985,borda
102,Q0,AP900401-0017,26,36755.63999999998,borda
102,Q0,SJMN91-06200036,27,36692.02,borda
102,Q0,AP900324-0156,28,36555.29999999999,borda
102,Q0,AP901217-0030,29,36543.25249999999,borda
102,Q0,ZF32-183-133,30,36491.134999999995,borda
102,Q0,AP900719-0024,31,36409.12249999999,borda
102,Q0,AP900314-0022,32,36170.327499999985,borda
102,Q0,SJMN91-06117104,33,36103.539999999986,borda
102,Q0,AP900423-0024,34,36052.749999999985,borda
102,Q0,SJMN91-06009229,35,36034.237499999996,borda
102,Q0,SJMN91-06031047,36,35882.18499999998,borda
102,Q0,SJMN91-06042139,37,35741.2975,borda
102,Q0,AP900919-0085,38,35717.98999999998,borda
102,Q0,SJMN91-06171201,39,35686.9575,borda
102,Q0,AP900916-0009,40,35682.93499999999,borda
102,Q0,SJMN91-06353275,41,35638.15249999999,borda
102,Q0,AP900207-0179,42,35500.06749999999,borda
102,Q0,AP900214-0032,43,35348.15999999998,borda
102,Q0,SJMN91-06030153,44,35319.63999999999,borda
102,Q0,SJMN91-06092029,45,35176.437499999985,borda
102,Q0,AP900320-0011,46,34987.92249999999,borda
102,Q0,SJMN91-06094138,47,34929.7275,borda
102,Q0,AP900712-0150,48,34846.3325,borda
102,Q0,AP900317-0079,49,34741.125,borda
102,Q0,AP900827-0118,50,34705.60499999999,borda
102,Q0,AP900126-0089,51,34664.10499999998,borda
102,Q0,ZF32-226-192,52,34635.61499999999,borda
102,Q0,ZF32-226-220,53,34559.38499999999,borda
102,Q0,AP900605-0036,54,34411.504999999976,borda
102,Q0,AP900207-0140,55,34380.85999999998,borda
102,Q0,SJMN91-06035214,56,34174.919999999984,borda
102,Q0,AP901005-0009,57,34073.03499999998,borda
102,Q0,AP901008-0016,58,34013.00749999999,borda
102,Q0,AP901012-0190,59,33927.95249999999,borda
102,Q0,SJMN91-06094248,60,33515.66749999999,borda
102,Q0,SJMN91-06213104,61,33478.79499999999,borda
102,Q0,AP900804-0151,62,33392.484999999986,borda
102,Q0,SJMN91-06127078,63,33310.17749999999,borda
102,Q0,SJMN91-06212078,64,33307.194999999985,borda
102,Q0,SJMN91-06228057,65,33264.72749999999,borda
102,Q0,SJMN91-06166277,66,33248.10499999999,borda
102,Q0,SJMN91-06212128,67,33218.979999999996,borda
102,Q0,SJMN91-06121261,68,33211.99749999999,borda
102,Q0,AP900731-0133,69,32915.007499999985,borda
102,Q0,SJMN91-06088156,70,32902.007499999985,borda
102,Q0,SJMN91-06336128,71,32822.23999999999,borda
102,Q0,SJMN91-06128234,72,32817.987499999996,borda
102,Q0,SJMN91-06088076,73,32670.422499999997,borda
102,Q0,SJMN91-06191070,74,32567.10499999999,borda
102,Q0,AP900801-0193,75,32352.2875,borda
102,Q0,AP900420-0146,76,32315.594999999994,borda
102,Q0,SJMN91-06177006,77,32309.372499999998,borda
102,Q0,AP900713-0108,78,32233.427499999983,borda
102,Q0,AP900124-0149,79,32184.62499999998,borda
102,Q0,SJMN91-06011018,80,31932.335,borda
102,Q0,AP900918-0177,81,31902.772499999985,borda
102,Q0,SJMN91-06280022,82,31876.799999999992,borda
102,Q0,SJMN91-06353051,83,31838.329999999987,borda
102,Q0,SJMN91-06353260,84,31835.38749999999,borda
102,Q0,AP901217-0129,85,31691.717499999988,borda
102,Q0,AP900213-0197,86,31690.19499999999,borda
102,Q0,AP900602-0085,87,31672.367499999993,borda
102,Q0,ZF32-196-136,88,31665.657499999998,borda
102,Q0,SJMN91-06272108,89,31662.00499999999,borda
102,Q0,AP900919-0027,90,31534.827499999992,borda
102,Q0,AP900130-0056,91,31182.15749999999,borda
102,Q0,AP900804-0060,92,31163.76249999999,borda
102,Q0,AP900129-0086,93,31116.45749999999,borda
102,Q0,AP900712-0022,94,31097.34749999999,borda
102,Q0,SJMN91-06274024,95,30969.632499999985,borda
102,Q0,SJMN91-06127171,96,30807.25249999999,borda
102,Q0,AP901024-0027,97,30768.064999999988,borda
102,Q0,AP900711-0031,98,30669.91249999999,borda
102,Q0,AP900802-0034,99,30610.37749999999,borda
102,Q0,AP900829-0107,100,30576.872499999983,borda
102,Q0,SJMN91-06289163,101,30562.437499999993,borda
102,Q0,AP900606-0136,102,30536.222499999993,borda
102,Q0,SJMN91-06142107,103,30364.04499999999,borda
102,Q0,ZF32-211-046,104,30351.42,borda
