query,q0,docid,rank,score,system
108,Q0,AP900302-0027,1,41393.31250000004,borda
108,Q0,AP900323-0002,2,40974.59000000002,borda
108,Q0,SJMN91-06050094,3,40875.277500000026,borda
108,Q0,AP900109-0237,4,40860.52000000003,borda
108,Q0,AP900406-0216,5,40848.04750000002,borda
108,Q0,AP900427-0092,6,40641.46750000003,borda
108,Q0,SJMN91-06190120,7,40601.34750000002,borda
108,Q0,AP900608-0181,8,40445.08000000004,borda
108,Q0,AP900324-0007,9,40430.86750000002,borda
108,Q0,AP900219-0033,10,40367.39500000003,borda
108,Q0,AP900421-0141,11,40314.26500000002,borda
108,Q0,AP900303-0120,12,40154.37250000001,borda
108,Q0,SJMN91-06144028,13,40072.11250000003,borda
108,Q0,AP900427-0134,14,39945.26500000002,borda
108,Q0,AP900301-0257,15,39929.29000000003,borda
108,Q0,AP900315-0082,16,39804.865000000034,borda
108,Q0,AP900403-0245,17,39754.92500000002,borda
108,Q0,AP900524-0238,18,39722.205000000016,borda
108,Q0,AP900628-0098,19,39701.05250000001,borda
108,Q0,AP901016-0023,20,39697.83250000002,borda
108,Q0,AP900327-0249,21,39664.60250000002,borda
108,Q0,SJMN91-06317034,22,39626.087500000016,borda
108,Q0,AP900501-0238,23,39574.42000000004,borda
108,Q0,AP900523-0218,24,39522.13250000002,borda
108,Q0,AP900404-0207,25,39499.81750000002,borda
108,Q0,AP900426-0118,26,39492.745000000024,borda
108,Q0,AP900802-0047,27,39437.150000000016,borda
108,Q0,AP900413-0135,28,39344.89500000003,borda
108,Q0,AP900323-0215,29,39337.36750000002,borda
108,Q0,SJMN91-06142018,30,39096.83750000004,borda
108,Q0,AP900223-0227,31,39019.48000000002,borda
108,Q0,AP900222-0230,32,38974.63500000003,borda
108,Q0,AP900413-0245,33,38969.15250000004,borda
108,Q0,SJMN91-06334089,34,38902.377500000024,borda
108,Q0,AP900222-0253,35,38824.62250000003,borda
108,Q0,AP900404-0229,36,38821.84750000002,borda
108,Q0,AP900306-0041,37,38698.93000000004,borda
108,Q0,AP900402-0249,38,38626.86750000002,borda
108,Q0,AP900322-0213,39,38624.86000000004,borda
108,Q0,ZF32-085-117,40,38523.28250000004,borda
108,Q0,AP900223-0241,41,38517.292500000025,borda
108,Q0,SJMN91-06084096,42,38442.02500000003,borda
108,Q0,AP900301-0138,43,38407.170000000035,borda
108,Q0,AP900614-0259,44,38392.64500000002,borda
108,Q0,AP900425-0293,45,38343.94500000002,borda
108,Q0,AP900327-0231,46,38170.81750000003,borda
108,Q0,AP900428-0043,47,38119.66500000002,borda
108,Q0,AP900317-0016,48,38100.66000000001,borda
108,Q0,AP900406-0048,49,38082.08750000002,borda
108,Q0,AP900405-0257,50,38068.11750000002,borda
108,Q0,AP900628-0221,51,38060.00250000001,borda
108,Q0,AP900626-0249,52,38028.82000000003,borda
108,Q0,AP900626-0237,53,37950.38000000003,borda
108,Q0,AP900331-0011,54,37926.04500000003,borda
108,Q0,AP900405-0186,55,37922.03000000002,borda
108,Q0,SJMN91-06151083,56,37904.785000000025,borda
108,Q0,AP900624-0066,57,37861.42250000003,borda
108,Q0,AP900428-0012,58,37589.54000000002,borda
108,Q0,AP900625-0282,59,37575.252500000024,borda
108,Q0,AP900302-0182,60,37287.542500000025,borda
108,Q0,AP900306-0056,61,37126.757500000014,borda
108,Q0,AP900316-0091,62,36953.58000000002,borda
108,Q0,AP900331-0098,63,36909.25750000002,borda
108,Q0,AP900224-0141,64,36822.88000000002,borda
108,Q0,AP900502-0202,65,36804.44000000004,borda
108,Q0,AP900305-0076,66,36755.600000000006,borda
108,Q0,AP900608-0242,67,36739.84500000003,borda
108,Q0,AP900305-0109,68,36725.95500000002,borda
108,Q0,AP900625-0066,69,36636.192500000034,borda
108,Q0,AP900126-0223,70,36602.01500000002,borda
108,Q0,AP900305-0021,71,36526.995000000024,borda
108,Q0,AP900302-0003,72,36429.582500000026,borda
108,Q0,AP900409-0216,73,36333.62750000002,borda
108,Q0,AP900615-0038,74,36324.63750000002,borda
108,Q0,AP900224-0058,75,36292.29250000002,borda
108,Q0,AP900328-0209,76,36287.91250000003,borda
108,Q0,AP900522-0023,77,36286.315000000024,borda
108,Q0,AP900303-0075,78,36284.60750000003,borda
108,Q0,SJMN91-06090167,79,36215.08000000003,borda
108,Q0,AP900425-0115,80,36188.63500000002,borda
108,Q0,AP900406-0101,81,36126.79000000002,borda
108,Q0,AP900629-0076,82,36096.14000000003,borda
108,Q0,AP900103-0229,83,36084.867500000015,borda
108,Q0,AP900628-0210,84,35984.92250000002,borda
108,Q0,AP900304-0036,85,35976.45750000002,borda
108,Q0,AP900627-0225,86,35907.35750000003,borda
108,Q0,AP901107-0157,87,35806.07750000002,borda
108,Q0,AP900628-0117,88,35764.96500000003,borda
108,Q0,AP900621-0269,89,35763.890000000014,borda
108,Q0,SJMN91-06277069,90,35753.00000000003,borda
108,Q0,SJMN91-06322133,91,35631.69500000002,borda
108,Q0,AP900327-0053,92,35596.15500000001,borda
108,Q0,AP900410-0094,93,35566.10750000002,borda
108,Q0,AP900326-0265,94,35556.290000000015,borda
108,Q0,SJMN91-06096231,95,35484.27000000002,borda
108,Q0,AP901208-0009,96,35483.397500000014,borda
108,Q0,ZF32-131-073,97,35412.26000000003,borda
108,Q0,AP900522-0230,98,35323.82750000003,borda
108,Q0,AP900417-0048,99,35251.61750000002,borda
108,Q0,AP900109-0192,100,35226.295000000035,borda
108,Q0,AP900628-0235,101,35189.902500000026,borda
108,Q0,AP900105-0276,102,35182.61500000003,borda
108,Q0,AP900405-0259,103,35141.56750000002,borda
108,Q0,AP901202-0048,104,35105.73000000002,borda
108,Q0,AP900315-0098,105,35095.46250000002,borda
108,Q0,AP900313-0211,106,34882.26250000002,borda
108,Q0,AP900327-0049,107,34872.577500000014,borda
108,Q0,AP900220-0004,108,34733.29750000002,borda
108,Q0,AP900104-0242,109,34678.22500000003,borda
108,Q0,AP900614-0076,110,34661.90250000001,borda
108,Q0,AP900407-0014,111,34453.397500000014,borda
108,Q0,AP900608-0241,112,34413.880000000034,borda
108,Q0,AP900317-0157,113,34347.652500000026,borda
108,Q0,AP900418-0228,114,34269.480000000025,borda
108,Q0,AP900613-0274,115,34264.03750000002,borda
108,Q0,SJMN91-06095114,116,34203.50500000002,borda
108,Q0,AP900419-0022,117,34175.81250000002,borda
108,Q0,AP900405-0185,118,34117.48500000003,borda
108,Q0,AP900306-0119,119,34101.13000000003,borda
108,Q0,SJMN91-06194221,120,34097.51000000002,borda
108,Q0,SJMN91-06317018,121,34095.93750000003,borda
108,Q0,AP900708-0026,122,34075.55000000001,borda
108,Q0,AP900316-0189,123,34003.47750000002,borda
108,Q0,SJMN91-06098143,124,34003.022500000014,borda
108,Q0,AP900103-0206,125,33942.845000000016,borda
108,Q0,SJMN91-06144065,126,33932.707500000026,borda
108,Q0,AP900706-0227,127,33841.56250000002,borda
108,Q0,AP900622-0209,128,33783.41250000002,borda
108,Q0,AP900303-0103,129,33768.50000000002,borda
108,Q0,AP900628-0079,130,33761.93750000002,borda
108,Q0,AP900615-0193,131,33737.20250000002,borda
108,Q0,AP900406-0214,132,33612.667500000025,borda
108,Q0,SJMN91-06293080,133,33590.707500000026,borda
108,Q0,SJMN91-06045207,134,33543.980000000025,borda
108,Q0,AP900416-0019,135,33440.80750000002,borda
108,Q0,SJMN91-06107200,136,33421.89500000002,borda
108,Q0,SJMN91-06166085,137,33416.30750000002,borda
108,Q0,AP900616-0037,138,33115.06250000002,borda
108,Q0,SJMN91-06157160,139,33009.42000000002,borda
108,Q0,AP900521-0226,140,32954.78750000002,borda
108,Q0,SJMN91-06328023,141,32880.12500000002,borda
108,Q0,AP900110-0217,142,32785.41500000002,borda
108,Q0,AP900614-0150,143,32760.942500000012,borda
108,Q0,SJMN91-06350026,144,32700.82000000003,borda
108,Q0,AP900608-0226,145,32692.225000000024,borda
108,Q0,AP901130-0051,146,32687.690000000024,borda
108,Q0,AP900625-0266,147,32427.34500000002,borda
108,Q0,SJMN91-06082001,148,32337.737500000017,borda
108,Q0,AP900522-0229,149,32257.602500000023,borda
108,Q0,SJMN91-06328020,150,32228.090000000022,borda
108,Q0,AP900419-0164,151,32173.17250000002,borda
108,Q0,AP900403-0254,152,32070.38250000002,borda
108,Q0,AP900326-0204,153,32046.92000000002,borda
108,Q0,AP900302-0075,154,32036.282500000016,borda
108,Q0,AP900424-0191,155,31785.760000000017,borda
108,Q0,AP900419-0128,156,31555.86000000002,borda
108,Q0,AP900707-0012,157,31543.027500000015,borda
108,Q0,AP900111-0041,158,31369.76000000001,borda
108,Q0,SJMN91-06189016,159,31323.87000000002,borda
108,Q0,AP900705-0037,160,31323.61000000002,borda
108,Q0,AP901129-0214,161,31173.435000000016,borda
108,Q0,SJMN91-06154180,162,31153.147500000025,borda
108,Q0,AP900627-0072,163,31106.71750000002,borda
108,Q0,SJMN91-06320234,164,30915.507500000014,borda
108,Q0,SJMN91-06356092,165,30709.785000000025,borda
108,Q0,AP900504-0248,166,30617.007500000025,borda
108,Q0,AP900420-0112,167,30595.995000000024,borda
108,Q0,AP901213-0256,168,30579.180000000015,borda
108,Q0,SJMN91-06118012,169,30505.235000000022,borda
108,Q0,AP901228-0182,170,30482.917500000018,borda
108,Q0,ZF32-107-353,171,30447.755000000016,borda
108,Q0,AP900320-0201,172,30371.26500000001,borda
108,Q0,SJMN91-06106072,173,30215.825000000023,borda
108,Q0,AP901203-0241,174,30198.482500000016,borda
108,Q0,SJMN91-06164190,175,30197.492500000022,borda
108,Q0,SJMN91-06163183,176,30171.23500000002,borda
108,Q0,SJMN91-06275078,177,30148.855000000018,borda
108,Q0,AP900703-0001,178,30066.96250000002,borda
108,Q0,SJMN91-06258076,179,29979.790000000023,borda
108,Q0,SJMN91-06157041,180,29956.96750000002,borda
108,Q0,AP900304-0060,181,29934.950000000026,borda
