query,q0,docid,rank,score,system
108,Q0,AP900302-0027,1,7.0561016234715686,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06190120,2,6.27649784344111,reciprocal_rank_fusion_k=60
108,Q0,AP900109-0237,3,6.2004688158390655,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06050094,4,6.034574876708218,reciprocal_rank_fusion_k=60
108,Q0,AP900406-0216,5,5.962406882847726,reciprocal_rank_fusion_k=60
108,Q0,AP900301-0257,6,5.683841470702199,reciprocal_rank_fusion_k=60
108,Q0,AP900303-0120,7,5.598132370100371,reciprocal_rank_fusion_k=60
108,Q0,AP900219-0033,8,5.5116021323278614,reciprocal_rank_fusion_k=60
108,Q0,AP900427-0092,9,5.463290810694424,reciprocal_rank_fusion_k=60
108,Q0,AP900427-0134,10,5.446224153912909,reciprocal_rank_fusion_k=60
108,Q0,AP900608-0181,11,5.415694437892956,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06144028,12,5.335770754627704,reciprocal_rank_fusion_k=60
108,Q0,AP900524-0238,13,5.323536868309414,reciprocal_rank_fusion_k=60
108,Q0,AP900426-0118,14,5.31932495500335,reciprocal_rank_fusion_k=60
108,Q0,AP900324-0007,15,5.263373683170557,reciprocal_rank_fusion_k=60
108,Q0,AP900413-0135,16,4.982647869350747,reciprocal_rank_fusion_k=60
108,Q0,AP900421-0141,17,4.924546906678902,reciprocal_rank_fusion_k=60
108,Q0,AP900403-0245,18,4.818681983149701,reciprocal_rank_fusion_k=60
108,Q0,AP900222-0253,19,4.814583558520636,reciprocal_rank_fusion_k=60
108,Q0,AP901016-0023,20,4.7918395848434105,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06084096,21,4.784590648956723,reciprocal_rank_fusion_k=60
108,Q0,AP900323-0002,22,4.771542767513361,reciprocal_rank_fusion_k=60
108,Q0,AP900413-0245,23,4.761601968867044,reciprocal_rank_fusion_k=60
108,Q0,AP900404-0207,24,4.735420667015673,reciprocal_rank_fusion_k=60
108,Q0,ZF32-085-117,25,4.679146785745672,reciprocal_rank_fusion_k=60
108,Q0,AP900222-0230,26,4.66385380703151,reciprocal_rank_fusion_k=60
108,Q0,AP900323-0215,27,4.654393724328035,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06317034,28,4.644538510345372,reciprocal_rank_fusion_k=60
108,Q0,AP900802-0047,29,4.620866652092823,reciprocal_rank_fusion_k=60
108,Q0,AP900327-0249,30,4.600281746116526,reciprocal_rank_fusion_k=60
108,Q0,AP900315-0082,31,4.565197190835986,reciprocal_rank_fusion_k=60
108,Q0,AP900501-0238,32,4.4831419036881135,reciprocal_rank_fusion_k=60
108,Q0,AP900523-0218,33,4.459630387845617,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06334089,34,4.442710890048954,reciprocal_rank_fusion_k=60
108,Q0,AP900405-0257,35,4.378328174610383,reciprocal_rank_fusion_k=60
108,Q0,AP900428-0043,36,4.351646037092484,reciprocal_rank_fusion_k=60
108,Q0,AP900406-0048,37,4.300109652584377,reciprocal_rank_fusion_k=60
108,Q0,AP900331-0011,38,4.278979035199876,reciprocal_rank_fusion_k=60
108,Q0,AP900405-0186,39,4.2303526512824305,reciprocal_rank_fusion_k=60
108,Q0,AP900628-0098,40,4.153009645341355,reciprocal_rank_fusion_k=60
108,Q0,AP900322-0213,41,4.079647373020646,reciprocal_rank_fusion_k=60
108,Q0,AP900402-0249,42,4.020064313422229,reciprocal_rank_fusion_k=60
108,Q0,AP900327-0231,43,3.903616525305718,reciprocal_rank_fusion_k=60
108,Q0,AP900126-0223,44,3.8598636101303803,reciprocal_rank_fusion_k=60
108,Q0,AP900306-0041,45,3.832953702958966,reciprocal_rank_fusion_k=60
108,Q0,AP900624-0066,46,3.8219158374458537,reciprocal_rank_fusion_k=60
108,Q0,AP900625-0282,47,3.7793586591656125,reciprocal_rank_fusion_k=60
108,Q0,AP900425-0293,48,3.772449788292387,reciprocal_rank_fusion_k=60
108,Q0,AP900404-0229,49,3.7592993116837046,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06142018,50,3.748852153801876,reciprocal_rank_fusion_k=60
108,Q0,AP900327-0053,51,3.677902779433427,reciprocal_rank_fusion_k=60
108,Q0,AP900608-0242,52,3.655501270458856,reciprocal_rank_fusion_k=60
108,Q0,AP900428-0012,53,3.6364676945706202,reciprocal_rank_fusion_k=60
108,Q0,AP900223-0241,54,3.625828007999176,reciprocal_rank_fusion_k=60
108,Q0,AP900614-0259,55,3.595706761283252,reciprocal_rank_fusion_k=60
108,Q0,AP900301-0138,56,3.589046498138108,reciprocal_rank_fusion_k=60
108,Q0,AP900302-0182,57,3.585979668216945,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06090167,58,3.5433196866137724,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06277069,59,3.517903493031493,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06151083,60,3.4919530071405145,reciprocal_rank_fusion_k=60
108,Q0,AP900305-0021,61,3.4860899456062593,reciprocal_rank_fusion_k=60
108,Q0,AP900625-0066,62,3.4671494413566974,reciprocal_rank_fusion_k=60
108,Q0,AP900105-0276,63,3.4566701139604086,reciprocal_rank_fusion_k=60
108,Q0,AP900522-0023,64,3.443800107031712,reciprocal_rank_fusion_k=60
108,Q0,AP900317-0016,65,3.4033794596215516,reciprocal_rank_fusion_k=60
108,Q0,AP900103-0229,66,3.3763040239004503,reciprocal_rank_fusion_k=60
108,Q0,AP901107-0157,67,3.3590177812975153,reciprocal_rank_fusion_k=60
108,Q0,AP900223-0227,68,3.358023177852351,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06350026,69,3.320224926651175,reciprocal_rank_fusion_k=60
108,Q0,AP900614-0076,70,3.3114446909342234,reciprocal_rank_fusion_k=60
108,Q0,AP900626-0249,71,3.287518355823883,reciprocal_rank_fusion_k=60
108,Q0,AP900306-0056,72,3.266516441123,reciprocal_rank_fusion_k=60
108,Q0,AP900425-0115,73,3.264803740195093,reciprocal_rank_fusion_k=60
108,Q0,AP900409-0216,74,3.2398489592971935,reciprocal_rank_fusion_k=60
108,Q0,AP901202-0048,75,3.231272559843772,reciprocal_rank_fusion_k=60
108,Q0,AP900502-0202,76,3.222662180925719,reciprocal_rank_fusion_k=60
108,Q0,AP900613-0274,77,3.157790639596606,reciprocal_rank_fusion_k=60
108,Q0,AP900626-0237,78,3.1575566105419313,reciprocal_rank_fusion_k=60
108,Q0,AP900621-0269,79,3.1510555188101015,reciprocal_rank_fusion_k=60
108,Q0,AP900406-0101,80,3.146211273312722,reciprocal_rank_fusion_k=60
108,Q0,AP900522-0230,81,3.1296001673332583,reciprocal_rank_fusion_k=60
108,Q0,AP900302-0003,82,3.1046304050785536,reciprocal_rank_fusion_k=60
108,Q0,AP900109-0192,83,3.093390762954439,reciprocal_rank_fusion_k=60
108,Q0,ZF32-131-073,84,3.079714707285512,reciprocal_rank_fusion_k=60
108,Q0,AP901208-0009,85,3.0696572702722063,reciprocal_rank_fusion_k=60
108,Q0,AP900316-0091,86,3.0630579980549033,reciprocal_rank_fusion_k=60
108,Q0,AP900331-0098,87,3.047016748086434,reciprocal_rank_fusion_k=60
108,Q0,AP900628-0221,88,3.0178345327735956,reciprocal_rank_fusion_k=60
108,Q0,AP900410-0094,89,3.011226913559962,reciprocal_rank_fusion_k=60
108,Q0,AP900305-0076,90,3.0103892891422066,reciprocal_rank_fusion_k=60
108,Q0,AP900224-0141,91,3.0084630646407335,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06322133,92,2.9953441920391164,reciprocal_rank_fusion_k=60
108,Q0,AP900326-0265,93,2.9761455900783997,reciprocal_rank_fusion_k=60
108,Q0,AP900628-0117,94,2.917229406954753,reciprocal_rank_fusion_k=60
108,Q0,AP900405-0185,95,2.9122090768378097,reciprocal_rank_fusion_k=60
108,Q0,ZF32-182-062,96,2.910355750386306,reciprocal_rank_fusion_k=60
108,Q0,AP900328-0209,97,2.9086275289883905,reciprocal_rank_fusion_k=60
108,Q0,AP900303-0075,98,2.894533752088962,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06096231,99,2.880494900891428,reciprocal_rank_fusion_k=60
108,Q0,AP900317-0157,100,2.877776237461876,reciprocal_rank_fusion_k=60
108,Q0,AP900417-0048,101,2.8765069842585693,reciprocal_rank_fusion_k=60
108,Q0,AP900304-0036,102,2.872167251791382,reciprocal_rank_fusion_k=60
108,Q0,AP900327-0049,103,2.859398109484623,reciprocal_rank_fusion_k=60
108,Q0,AP900305-0109,104,2.8421199549181617,reciprocal_rank_fusion_k=60
108,Q0,AP900224-0058,105,2.83928825685637,reciprocal_rank_fusion_k=60
108,Q0,AP900629-0076,106,2.815584644843031,reciprocal_rank_fusion_k=60
108,Q0,AP900419-0164,107,2.805184267011565,reciprocal_rank_fusion_k=60
108,Q0,AP900622-0209,108,2.8044110461457303,reciprocal_rank_fusion_k=60
108,Q0,AP900220-0004,109,2.7710470259629165,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06317018,110,2.769207596644918,reciprocal_rank_fusion_k=60
108,Q0,AP900104-0242,111,2.759956369071606,reciprocal_rank_fusion_k=60
108,Q0,AP900628-0235,112,2.7126757048278742,reciprocal_rank_fusion_k=60
108,Q0,AP900103-0206,113,2.709396539869693,reciprocal_rank_fusion_k=60
108,Q0,AP900608-0226,114,2.704865274263568,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06098143,115,2.7026788101514727,reciprocal_rank_fusion_k=60
108,Q0,AP900407-0014,116,2.676083054343055,reciprocal_rank_fusion_k=60
108,Q0,AP900416-0019,117,2.660257553460828,reciprocal_rank_fusion_k=60
108,Q0,ZF310-675-167,118,2.6281985046514102,reciprocal_rank_fusion_k=60
108,Q0,AP900708-0026,119,2.621281607918624,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06045207,120,2.602848219184939,reciprocal_rank_fusion_k=60
108,Q0,ZF32-196-131,121,2.582908529083362,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06157160,122,2.5677472249573694,reciprocal_rank_fusion_k=60
108,Q0,AP900315-0098,123,2.554457295980603,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06328020,124,2.5398502706092754,reciprocal_rank_fusion_k=60
108,Q0,AP900614-0150,125,2.5369003748520442,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06275078,126,2.532057454993162,reciprocal_rank_fusion_k=60
108,Q0,ZF32-184-294,127,2.513847892317935,reciprocal_rank_fusion_k=60
108,Q0,AP900625-0266,128,2.5019163423750674,reciprocal_rank_fusion_k=60
108,Q0,AP900419-0022,129,2.4914216202877895,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06107200,130,2.48772929985433,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06144065,131,2.4834569599049106,reciprocal_rank_fusion_k=60
108,Q0,AP900628-0210,132,2.4676670212755805,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06166085,133,2.437388799206897,reciprocal_rank_fusion_k=60
108,Q0,AP900628-0079,134,2.422157252456768,reciprocal_rank_fusion_k=60
108,Q0,AP900615-0038,135,2.418584264384677,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06306210,136,2.417640972681597,reciprocal_rank_fusion_k=60
108,Q0,AP900316-0189,137,2.4118782329193884,reciprocal_rank_fusion_k=60
108,Q0,AP900306-0119,138,2.410253094764772,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06106072,139,2.3802651510621216,reciprocal_rank_fusion_k=60
108,Q0,AP900405-0259,140,2.3469125921408196,reciprocal_rank_fusion_k=60
108,Q0,AP900406-0214,141,2.340218137400815,reciprocal_rank_fusion_k=60
108,Q0,AP900313-0211,142,2.3092707366900753,reciprocal_rank_fusion_k=60
108,Q0,AP900608-0241,143,2.3046258427250326,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06082001,144,2.2873319271795243,reciprocal_rank_fusion_k=60
108,Q0,AP900705-0037,145,2.25386240784772,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06167174,146,2.2521036816017026,reciprocal_rank_fusion_k=60
108,Q0,AP900419-0128,147,2.2485027819910237,reciprocal_rank_fusion_k=60
108,Q0,AP901129-0214,148,2.2340037079379136,reciprocal_rank_fusion_k=60
108,Q0,AP900530-0185,149,2.217042993294262,reciprocal_rank_fusion_k=60
108,Q0,AP900522-0229,150,2.2114372533664546,reciprocal_rank_fusion_k=60
108,Q0,ZF32-196-125,151,2.2018949743906013,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06328023,152,2.198090647715349,reciprocal_rank_fusion_k=60
108,Q0,AP900706-0227,153,2.1963152400312365,reciprocal_rank_fusion_k=60
108,Q0,AP900521-0226,154,2.18885917044482,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06095114,155,2.162396590665534,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06356092,156,2.1572385743657527,reciprocal_rank_fusion_k=60
108,Q0,AP900627-0225,157,2.1525494148803377,reciprocal_rank_fusion_k=60
108,Q0,AP900303-0103,158,2.1477073543274887,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06194221,159,2.136604913594016,reciprocal_rank_fusion_k=60
108,Q0,AP900616-0037,160,2.1336853828242237,reciprocal_rank_fusion_k=60
108,Q0,AP900326-0204,161,2.106582167902832,reciprocal_rank_fusion_k=60
108,Q0,ZF32-129-207,162,2.105989669138258,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06293080,163,2.098812418261185,reciprocal_rank_fusion_k=60
108,Q0,AP900403-0254,164,2.0967075849208485,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06191068,165,2.0961449937546632,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06164190,166,2.0903502512652548,reciprocal_rank_fusion_k=60
108,Q0,AP900407-0036,167,2.0895634816413824,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06320234,168,2.081130835632912,reciprocal_rank_fusion_k=60
108,Q0,AP900111-0041,169,2.0704676189202322,reciprocal_rank_fusion_k=60
108,Q0,ZF32-237-277,170,2.070087189751886,reciprocal_rank_fusion_k=60
108,Q0,AP900615-0193,171,2.046523734388387,reciprocal_rank_fusion_k=60
108,Q0,AP901228-0182,172,2.041652875913685,reciprocal_rank_fusion_k=60
108,Q0,AP900424-0191,173,2.005764919996771,reciprocal_rank_fusion_k=60
108,Q0,ZF32-028-279,174,2.005585173587814,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06163183,175,2.0055709765217693,reciprocal_rank_fusion_k=60
108,Q0,AP901203-0241,176,1.994623621297549,reciprocal_rank_fusion_k=60
108,Q0,AP901130-0051,177,1.9739248283295434,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06189016,178,1.9709496313762604,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06258076,179,1.925349996377506,reciprocal_rank_fusion_k=60
108,Q0,AP900110-0217,180,1.9094644731005366,reciprocal_rank_fusion_k=60
108,Q0,AP900418-0228,181,1.905564512750864,reciprocal_rank_fusion_k=60
108,Q0,AP900323-0204,182,1.9017350078290167,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06192235,183,1.8785090415713903,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06157041,184,1.8685163396553677,reciprocal_rank_fusion_k=60
108,Q0,AP900327-0141,185,1.859224688841024,reciprocal_rank_fusion_k=60
108,Q0,AP900510-0064,186,1.85890322701036,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06118012,187,1.8565048336782481,reciprocal_rank_fusion_k=60
108,Q0,AP900707-0012,188,1.846096757647027,reciprocal_rank_fusion_k=60
108,Q0,AP900420-0112,189,1.8263367754250805,reciprocal_rank_fusion_k=60
108,Q0,ZF32-217-164,190,1.818733012248101,reciprocal_rank_fusion_k=60
108,Q0,AP900302-0075,191,1.780573192534997,reciprocal_rank_fusion_k=60
108,Q0,ZF32-107-353,192,1.7763089717390432,reciprocal_rank_fusion_k=60
108,Q0,AP900712-0248,193,1.7731673283220748,reciprocal_rank_fusion_k=60
108,Q0,AP900320-0201,194,1.7721735639598575,reciprocal_rank_fusion_k=60
108,Q0,AP900502-0234,195,1.769609583303387,reciprocal_rank_fusion_k=60
108,Q0,AP900702-0086,196,1.7663456066804188,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06154180,197,1.7662780857635794,reciprocal_rank_fusion_k=60
108,Q0,ZF32-204-073,198,1.7546398610471443,reciprocal_rank_fusion_k=60
108,Q0,AP900504-0248,199,1.7443148851559866,reciprocal_rank_fusion_k=60
108,Q0,AP901203-0114,200,1.737683342391267,reciprocal_rank_fusion_k=60
108,Q0,AP900608-0232,201,1.7329259813931666,reciprocal_rank_fusion_k=60
108,Q0,ZF32-149-336,202,1.7246716288157156,reciprocal_rank_fusion_k=60
108,Q0,ZF32-060-225,203,1.7142780876979031,reciprocal_rank_fusion_k=60
108,Q0,ZF32-222-017,204,1.7120221691822242,reciprocal_rank_fusion_k=60
108,Q0,AP900529-0231,205,1.7088637170793175,reciprocal_rank_fusion_k=60
108,Q0,AP900503-0291,206,1.7027003149144306,reciprocal_rank_fusion_k=60
108,Q0,AP900112-0212,207,1.700165390753982,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06124071,208,1.6880689560199218,reciprocal_rank_fusion_k=60
108,Q0,AP900606-0278,209,1.6813751866314246,reciprocal_rank_fusion_k=60
108,Q0,AP900323-0257,210,1.6799011574079843,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06360041,211,1.678982967448571,reciprocal_rank_fusion_k=60
108,Q0,AP900723-0244,212,1.6686559237987437,reciprocal_rank_fusion_k=60
108,Q0,AP900628-0116,213,1.6577230735457507,reciprocal_rank_fusion_k=60
108,Q0,AP900403-0256,214,1.6575137517097087,reciprocal_rank_fusion_k=60
108,Q0,ZF32-220-051,215,1.6384596288523599,reciprocal_rank_fusion_k=60
108,Q0,ZF32-150-090,216,1.628362771396134,reciprocal_rank_fusion_k=60
108,Q0,AP901129-0215,217,1.6060236010733784,reciprocal_rank_fusion_k=60
108,Q0,AP900428-0097,218,1.603216717077899,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06116103,219,1.6014969427420211,reciprocal_rank_fusion_k=60
108,Q0,AP900305-0059,220,1.5876775259717475,reciprocal_rank_fusion_k=60
108,Q0,ZF32-135-039,221,1.5736953100124391,reciprocal_rank_fusion_k=60
108,Q0,ZF32-009-217,222,1.5546863039561485,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06350060,223,1.5533828344415426,reciprocal_rank_fusion_k=60
108,Q0,AP900304-0060,224,1.5299710530968964,reciprocal_rank_fusion_k=60
108,Q0,AP900419-0085,225,1.5122258193106395,reciprocal_rank_fusion_k=60
108,Q0,ZF32-149-081,226,1.5116320278025235,reciprocal_rank_fusion_k=60
108,Q0,AP900419-0207,227,1.5104614940361658,reciprocal_rank_fusion_k=60
108,Q0,ZF32-273-141,228,1.5091095774617438,reciprocal_rank_fusion_k=60
108,Q0,AP900703-0001,229,1.5083881556684187,reciprocal_rank_fusion_k=60
108,Q0,ZF32-128-261,230,1.5026509086128068,reciprocal_rank_fusion_k=60
108,Q0,AP901213-0256,231,1.4996778203289505,reciprocal_rank_fusion_k=60
108,Q0,ZF32-226-248,232,1.4983587178028717,reciprocal_rank_fusion_k=60
108,Q0,AP900627-0072,233,1.4851798394072917,reciprocal_rank_fusion_k=60
108,Q0,AP900504-0239,234,1.485165047148729,reciprocal_rank_fusion_k=60
108,Q0,AP900331-0038,235,1.4776411129084936,reciprocal_rank_fusion_k=60
108,Q0,ZF310-599-269,236,1.468322626357615,reciprocal_rank_fusion_k=60
108,Q0,AP900328-0007,237,1.4626845094988385,reciprocal_rank_fusion_k=60
108,Q0,AP901102-0143,238,1.4460453529487747,reciprocal_rank_fusion_k=60
108,Q0,AP900711-0039,239,1.4424820419073054,reciprocal_rank_fusion_k=60
108,Q0,AP900303-0117,240,1.4352842949732392,reciprocal_rank_fusion_k=60
108,Q0,AP900806-0043,241,1.4275506097057669,reciprocal_rank_fusion_k=60
108,Q0,AP900506-0033,242,1.4242833835036177,reciprocal_rank_fusion_k=60
108,Q0,AP900308-0256,243,1.4213928080248805,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06310076,244,1.420316168182077,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06121178,245,1.4178524166084705,reciprocal_rank_fusion_k=60
108,Q0,ZF32-134-320,246,1.4173249149447298,reciprocal_rank_fusion_k=60
108,Q0,AP900205-0277,247,1.4004791161570609,reciprocal_rank_fusion_k=60
108,Q0,AP900308-0255,248,1.38516884031726,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06313200,249,1.3740767030611223,reciprocal_rank_fusion_k=60
108,Q0,AP900502-0123,250,1.3697272914332046,reciprocal_rank_fusion_k=60
108,Q0,ZF310-638-910,251,1.369219698610348,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06337192,252,1.3680099546520197,reciprocal_rank_fusion_k=60
108,Q0,AP900909-0066,253,1.3648843238100092,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06302022,254,1.3595821313883683,reciprocal_rank_fusion_k=60
108,Q0,ZF32-103-090,255,1.3464483078881886,reciprocal_rank_fusion_k=60
108,Q0,AP901114-0063,256,1.3454115557336643,reciprocal_rank_fusion_k=60
108,Q0,AP900809-0021,257,1.3306171633327644,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06154119,258,1.3269362143943269,reciprocal_rank_fusion_k=60
108,Q0,AP900407-0071,259,1.3225768666977036,reciprocal_rank_fusion_k=60
108,Q0,AP900224-0043,260,1.3159680584318456,reciprocal_rank_fusion_k=60
108,Q0,AP900329-0025,261,1.3126125961885782,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06354099,262,1.3114751237974052,reciprocal_rank_fusion_k=60
108,Q0,AP900630-0171,263,1.3077789091719412,reciprocal_rank_fusion_k=60
108,Q0,ZF32-146-072,264,1.301863634454024,reciprocal_rank_fusion_k=60
108,Q0,ZF32-141-042,265,1.3015396546540658,reciprocal_rank_fusion_k=60
108,Q0,AP900505-0010,266,1.2932458395903916,reciprocal_rank_fusion_k=60
108,Q0,ZF310-655-006,267,1.2916780383924134,reciprocal_rank_fusion_k=60
108,Q0,AP900729-0040,268,1.285283251898738,reciprocal_rank_fusion_k=60
108,Q0,AP900320-0186,269,1.2807214926414827,reciprocal_rank_fusion_k=60
108,Q0,AP900601-0207,270,1.2805447027814294,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06148032,271,1.2804175033880136,reciprocal_rank_fusion_k=60
108,Q0,AP900531-0222,272,1.2803990445708742,reciprocal_rank_fusion_k=60
108,Q0,AP900428-0067,273,1.2758548313905844,reciprocal_rank_fusion_k=60
108,Q0,AP900430-0009,274,1.2736859576444222,reciprocal_rank_fusion_k=60
108,Q0,AP900405-0276,275,1.2693149307929878,reciprocal_rank_fusion_k=60
108,Q0,AP900103-0188,276,1.2677447184158481,reciprocal_rank_fusion_k=60
108,Q0,ZF32-051-249,277,1.2652583404945603,reciprocal_rank_fusion_k=60
108,Q0,AP900412-0142,278,1.2649029974359394,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06145120,279,1.2634125299590906,reciprocal_rank_fusion_k=60
108,Q0,AP900820-0023,280,1.2611367448088724,reciprocal_rank_fusion_k=60
108,Q0,AP901212-0074,281,1.2468671403275717,reciprocal_rank_fusion_k=60
108,Q0,ZF32-132-186,282,1.2461463537735695,reciprocal_rank_fusion_k=60
108,Q0,ZF310-683-811,283,1.242763467603175,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06311039,284,1.242450371092576,reciprocal_rank_fusion_k=60
108,Q0,AP900608-0254,285,1.242241054556468,reciprocal_rank_fusion_k=60
108,Q0,ZF32-201-161,286,1.237507425248727,reciprocal_rank_fusion_k=60
108,Q0,AP900621-0240,287,1.2355234651594067,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06321155,288,1.2243780023017512,reciprocal_rank_fusion_k=60
108,Q0,ZF32-132-211,289,1.2197000871885706,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06248201,290,1.2154848627055026,reciprocal_rank_fusion_k=60
108,Q0,AP901130-0177,291,1.2105738563187196,reciprocal_rank_fusion_k=60
108,Q0,ZF32-201-349,292,1.2070180534140478,reciprocal_rank_fusion_k=60
108,Q0,AP900612-0023,293,1.1927409948286856,reciprocal_rank_fusion_k=60
108,Q0,AP900531-0245,294,1.192309002525188,reciprocal_rank_fusion_k=60
108,Q0,ZF32-003-385,295,1.1902493661747366,reciprocal_rank_fusion_k=60
108,Q0,AP901127-0120,296,1.1859337021905816,reciprocal_rank_fusion_k=60
108,Q0,AP900711-0117,297,1.185104008961614,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06354133,298,1.182450631038357,reciprocal_rank_fusion_k=60
108,Q0,AP901126-0254,299,1.1806823717924722,reciprocal_rank_fusion_k=60
108,Q0,ZF32-051-251,300,1.1805008102792345,reciprocal_rank_fusion_k=60
108,Q0,ZF32-029-167,301,1.1738375750862808,reciprocal_rank_fusion_k=60
108,Q0,AP900227-0164,302,1.1712042092460846,reciprocal_rank_fusion_k=60
108,Q0,ZF32-151-102,303,1.1662186754405712,reciprocal_rank_fusion_k=60
108,Q0,AP900906-0177,304,1.1572321150963243,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06317019,305,1.1553076913848503,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06149092,306,1.1525289166698895,reciprocal_rank_fusion_k=60
108,Q0,AP901215-0068,307,1.1487732541702953,reciprocal_rank_fusion_k=60
108,Q0,AP900611-0104,308,1.147603908111811,reciprocal_rank_fusion_k=60
108,Q0,AP901128-0017,309,1.1387031815529576,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06156110,310,1.135058822530516,reciprocal_rank_fusion_k=60
108,Q0,SJMN91-06138076,311,1.1312986110779792,reciprocal_rank_fusion_k=60
108,Q0,AP900419-0134,312,1.1304016496463558,reciprocal_rank_fusion_k=60
108,Q0,AP901206-0242,313,1.122187657810963,reciprocal_rank_fusion_k=60
108,Q0,AP900618-0249,314,1.120482547084871,reciprocal_rank_fusion_k=60
