r1,r2,score
input.acqnt2.gz,input.brkly8.gz,0.25177677958295686
input.brkly8.gz,input.acqnt2.gz,0.25177677958295686
input.acqnt2.gz,input.cityi1.gz,0.1859855833193382
input.cityi1.gz,input.acqnt2.gz,0.1859855833193382
input.acqnt2.gz,input.cityr1.gz,0.26076642306139297
input.cityr1.gz,input.acqnt2.gz,0.26076642306139297
input.acqnt2.gz,input.cityr2.gz,0.22537015663065177
input.cityr2.gz,input.acqnt2.gz,0.22537015663065177
input.acqnt2.gz,input.clarta.gz,0.21649963709967554
input.clarta.gz,input.acqnt2.gz,0.21649963709967554
input.acqnt2.gz,input.crnlqr.gz,0.22162351582204348
input.crnlqr.gz,input.acqnt2.gz,0.22162351582204348
input.acqnt2.gz,input.crnlrr.gz,0.21564820293026363
input.crnlrr.gz,input.acqnt2.gz,0.21564820293026363
input.acqnt2.gz,input.dortr1.gz,0.22537408285429478
input.dortr1.gz,input.acqnt2.gz,0.22537408285429478
input.acqnt2.gz,input.erimr1.gz,0.195381082603035
input.erimr1.gz,input.acqnt2.gz,0.195381082603035
input.acqnt2.gz,input.eth003.gz,0.20718481796945792
input.eth003.gz,input.acqnt2.gz,0.20718481796945792
input.acqnt2.gz,input.eth004.gz,0.2048898906528148
input.eth004.gz,input.acqnt2.gz,0.2048898906528148
input.acqnt2.gz,input.fdf1.gz,0.21734873601810006
input.fdf1.gz,input.acqnt2.gz,0.21734873601810006
input.acqnt2.gz,input.fdf2.gz,0.21765048239645401
input.fdf2.gz,input.acqnt2.gz,0.21765048239645401
input.acqnt2.gz,input.inq103.gz,0.22229778738371056
input.inq103.gz,input.acqnt2.gz,0.22229778738371056
input.acqnt2.gz,input.inq104.gz,0.2236105379369667
input.inq104.gz,input.acqnt2.gz,0.2236105379369667
input.acqnt2.gz,input.losPA1.gz,0.21973653566305548
input.losPA1.gz,input.acqnt2.gz,0.21973653566305548
input.acqnt2.gz,input.lsir1.gz,0.20901779352787891
input.lsir1.gz,input.acqnt2.gz,0.20901779352787891
input.acqnt2.gz,input.lsir2.gz,0.2260040441839153
input.lsir2.gz,input.acqnt2.gz,0.2260040441839153
input.acqnt2.gz,input.nyuir1.gz,0.18668429213208965
input.nyuir1.gz,input.acqnt2.gz,0.18668429213208965
input.acqnt2.gz,input.nyuir2.gz,0.19482226197325114
input.nyuir2.gz,input.acqnt2.gz,0.19482226197325114
input.acqnt2.gz,input.pircs3.gz,0.21910994495649988
input.pircs3.gz,input.acqnt2.gz,0.21910994495649988
input.acqnt2.gz,input.pircs4.gz,0.21963772209138882
input.pircs4.gz,input.acqnt2.gz,0.21963772209138882
input.acqnt2.gz,input.rutfur1.gz,0.18556302937957606
input.rutfur1.gz,input.acqnt2.gz,0.18556302937957606
