r1,r2,score
input.acqnt2.gz,input.brkly8.gz,0.2053081848537876
input.brkly8.gz,input.acqnt2.gz,0.2053081848537876
input.acqnt2.gz,input.cityi1.gz,0.16067522126599648
input.cityi1.gz,input.acqnt2.gz,0.16067522126599648
input.acqnt2.gz,input.cityr1.gz,0.20580450179853288
input.cityr1.gz,input.acqnt2.gz,0.20580450179853288
input.acqnt2.gz,input.cityr2.gz,0.1875758075406798
input.cityr2.gz,input.acqnt2.gz,0.1875758075406798
input.acqnt2.gz,input.clarta.gz,0.18250949897651123
input.clarta.gz,input.acqnt2.gz,0.18250949897651123
input.acqnt2.gz,input.crnlqr.gz,0.1899776023455976
input.crnlqr.gz,input.acqnt2.gz,0.1899776023455976
input.acqnt2.gz,input.crnlrr.gz,0.18749959123644472
input.crnlrr.gz,input.acqnt2.gz,0.18749959123644472
input.acqnt2.gz,input.dortr1.gz,0.19285509427195632
input.dortr1.gz,input.acqnt2.gz,0.19285509427195632
input.acqnt2.gz,input.erimr1.gz,0.17124613760043741
input.erimr1.gz,input.acqnt2.gz,0.17124613760043741
input.acqnt2.gz,input.eth003.gz,0.17913085191712863
input.eth003.gz,input.acqnt2.gz,0.17913085191712863
input.acqnt2.gz,input.eth004.gz,0.17752840383960544
input.eth004.gz,input.acqnt2.gz,0.17752840383960544
input.acqnt2.gz,input.fdf1.gz,0.18062013363294613
input.fdf1.gz,input.acqnt2.gz,0.18062013363294613
input.acqnt2.gz,input.fdf2.gz,0.1816802118626002
input.fdf2.gz,input.acqnt2.gz,0.1816802118626002
input.acqnt2.gz,input.inq103.gz,0.19068754028437826
input.inq103.gz,input.acqnt2.gz,0.19068754028437826
input.acqnt2.gz,input.inq104.gz,0.19777460439577907
input.inq104.gz,input.acqnt2.gz,0.19777460439577907
input.acqnt2.gz,input.losPA1.gz,0.19046088983137768
input.losPA1.gz,input.acqnt2.gz,0.19046088983137768
input.acqnt2.gz,input.lsir1.gz,0.18406545672647492
input.lsir1.gz,input.acqnt2.gz,0.18406545672647492
input.acqnt2.gz,input.lsir2.gz,0.192420924969052
input.lsir2.gz,input.acqnt2.gz,0.192420924969052
input.acqnt2.gz,input.nyuir1.gz,0.1638124068604005
input.nyuir1.gz,input.acqnt2.gz,0.1638124068604005
input.acqnt2.gz,input.nyuir2.gz,0.17438239323350188
input.nyuir2.gz,input.acqnt2.gz,0.17438239323350188
input.acqnt2.gz,input.pircs3.gz,0.1941538812718701
input.pircs3.gz,input.acqnt2.gz,0.1941538812718701
input.acqnt2.gz,input.pircs4.gz,0.18910033224378373
input.pircs4.gz,input.acqnt2.gz,0.18910033224378373
input.acqnt2.gz,input.rutfur1.gz,0.16721659926458282
input.rutfur1.gz,input.acqnt2.gz,0.16721659926458282
input.acqnt2.gz,input.rutfur2.gz,0.16318896859693463
input.rutfur2.gz,input.acqnt2.gz,0.16318896859693463
input.acqnt2.gz,input.ucf101.gz,0.1934638301729857
input.ucf101.gz,input.acqnt2.gz,0.1934638301729857
input.acqnt2.gz,input.westp2.gz,0.18586275485211462
input.westp2.gz,input.acqnt2.gz,0.18586275485211462
input.acqnt2.gz,input.xerox1.gz,0.17712894591646924
input.xerox1.gz,input.acqnt2.gz,0.17712894591646924
input.acqnt2.gz,input.xerox2.gz,0.1827488723652916
input.xerox2.gz,input.acqnt2.gz,0.1827488723652916
input.brkly8.gz,input.cityi1.gz,0.17989169831371438
input.cityi1.gz,input.brkly8.gz,0.17989169831371438
input.brkly8.gz,input.cityr1.gz,0.2249542328536184
input.cityr1.gz,input.brkly8.gz,0.2249542328536184
input.brkly8.gz,input.cityr2.gz,0.21219553642714617
input.cityr2.gz,input.brkly8.gz,0.21219553642714617
input.brkly8.gz,input.clarta.gz,0.20943250384894513
input.clarta.gz,input.brkly8.gz,0.20943250384894513
input.brkly8.gz,input.crnlqr.gz,0.2156092523554353
input.crnlqr.gz,input.brkly8.gz,0.2156092523554353
input.brkly8.gz,input.crnlrr.gz,0.2155902852399783
input.crnlrr.gz,input.brkly8.gz,0.2155902852399783
input.brkly8.gz,input.dortr1.gz,0.2207924009877567
input.dortr1.gz,input.brkly8.gz,0.2207924009877567
input.brkly8.gz,input.erimr1.gz,0.2030050086111288
input.erimr1.gz,input.brkly8.gz,0.2030050086111288
input.brkly8.gz,input.eth003.gz,0.20624263171068744
input.eth003.gz,input.brkly8.gz,0.20624263171068744
input.brkly8.gz,input.eth004.gz,0.20419516462502446
input.eth004.gz,input.brkly8.gz,0.20419516462502446
input.brkly8.gz,input.fdf1.gz,0.19613619401656815
input.fdf1.gz,input.brkly8.gz,0.19613619401656815
input.brkly8.gz,input.fdf2.gz,0.1975335340375301
input.fdf2.gz,input.brkly8.gz,0.1975335340375301
input.brkly8.gz,input.inq103.gz,0.2089096251297259
input.inq103.gz,input.brkly8.gz,0.2089096251297259
input.brkly8.gz,input.inq104.gz,0.21296820383179
input.inq104.gz,input.brkly8.gz,0.21296820383179
input.brkly8.gz,input.losPA1.gz,0.22345623383701527
input.losPA1.gz,input.brkly8.gz,0.22345623383701527
input.brkly8.gz,input.lsir1.gz,0.2186594168184023
input.lsir1.gz,input.brkly8.gz,0.2186594168184023
input.brkly8.gz,input.lsir2.gz,0.22424110575672396
input.lsir2.gz,input.brkly8.gz,0.22424110575672396
input.brkly8.gz,input.nyuir1.gz,0.1883097446478134
input.nyuir1.gz,input.brkly8.gz,0.1883097446478134
input.brkly8.gz,input.nyuir2.gz,0.1991721766390055
input.nyuir2.gz,input.brkly8.gz,0.1991721766390055
input.brkly8.gz,input.pircs3.gz,0.21724154913260896
input.pircs3.gz,input.brkly8.gz,0.21724154913260896
input.brkly8.gz,input.pircs4.gz,0.21558892868791862
input.pircs4.gz,input.brkly8.gz,0.21558892868791862
input.brkly8.gz,input.rutfur1.gz,0.18622741436331414
input.rutfur1.gz,input.brkly8.gz,0.18622741436331414
input.brkly8.gz,input.rutfur2.gz,0.1814526163110101
input.rutfur2.gz,input.brkly8.gz,0.1814526163110101
input.brkly8.gz,input.ucf101.gz,0.21606925372313524
input.ucf101.gz,input.brkly8.gz,0.21606925372313524
input.brkly8.gz,input.westp2.gz,0.20384750932105028
input.westp2.gz,input.brkly8.gz,0.20384750932105028
input.brkly8.gz,input.xerox1.gz,0.2117845359713026
input.xerox1.gz,input.brkly8.gz,0.2117845359713026
input.brkly8.gz,input.xerox2.gz,0.21428285292358407
input.xerox2.gz,input.brkly8.gz,0.21428285292358407
input.cityi1.gz,input.cityr1.gz,0.18686108025296902
input.cityr1.gz,input.cityi1.gz,0.18686108025296902
input.cityi1.gz,input.cityr2.gz,0.17314983647696933
input.cityr2.gz,input.cityi1.gz,0.17314983647696933
input.cityi1.gz,input.clarta.gz,0.17115483454354663
input.clarta.gz,input.cityi1.gz,0.17115483454354663
input.cityi1.gz,input.crnlqr.gz,0.17605420407436656
input.crnlqr.gz,input.cityi1.gz,0.17605420407436656
input.cityi1.gz,input.crnlrr.gz,0.17350032606403362
input.crnlrr.gz,input.cityi1.gz,0.17350032606403362
input.cityi1.gz,input.dortr1.gz,0.1831187908734245
input.dortr1.gz,input.cityi1.gz,0.1831187908734245
input.cityi1.gz,input.erimr1.gz,0.16499764988486562
input.erimr1.gz,input.cityi1.gz,0.16499764988486562
input.cityi1.gz,input.eth003.gz,0.16757819172479796
input.eth003.gz,input.cityi1.gz,0.16757819172479796
input.cityi1.gz,input.eth004.gz,0.1683446324282231
input.eth004.gz,input.cityi1.gz,0.1683446324282231
input.cityi1.gz,input.fdf1.gz,0.16659743173214095
input.fdf1.gz,input.cityi1.gz,0.16659743173214095
input.cityi1.gz,input.fdf2.gz,0.1687149856075739
input.fdf2.gz,input.cityi1.gz,0.1687149856075739
input.cityi1.gz,input.inq103.gz,0.1774793025698268
input.inq103.gz,input.cityi1.gz,0.1774793025698268
input.cityi1.gz,input.inq104.gz,0.17953073246707038
input.inq104.gz,input.cityi1.gz,0.17953073246707038
input.cityi1.gz,input.losPA1.gz,0.17754758212556393
input.losPA1.gz,input.cityi1.gz,0.17754758212556393
input.cityi1.gz,input.lsir1.gz,0.17703231648731227
input.lsir1.gz,input.cityi1.gz,0.17703231648731227
input.cityi1.gz,input.lsir2.gz,0.18607868017556123
input.lsir2.gz,input.cityi1.gz,0.18607868017556123
input.cityi1.gz,input.nyuir1.gz,0.15830149418282025
input.nyuir1.gz,input.cityi1.gz,0.15830149418282025
input.cityi1.gz,input.nyuir2.gz,0.16344880152632196
input.nyuir2.gz,input.cityi1.gz,0.16344880152632196
input.cityi1.gz,input.pircs3.gz,0.18082424458150118
input.pircs3.gz,input.cityi1.gz,0.18082424458150118
input.cityi1.gz,input.pircs4.gz,0.17762596845251652
input.pircs4.gz,input.cityi1.gz,0.17762596845251652
input.cityi1.gz,input.rutfur1.gz,0.15425186970026222
input.rutfur1.gz,input.cityi1.gz,0.15425186970026222
input.cityi1.gz,input.rutfur2.gz,0.1545598929815951
input.rutfur2.gz,input.cityi1.gz,0.1545598929815951
input.cityi1.gz,input.ucf101.gz,0.1883380575907126
input.ucf101.gz,input.cityi1.gz,0.1883380575907126
input.cityi1.gz,input.westp2.gz,0.17570654060740795
input.westp2.gz,input.cityi1.gz,0.17570654060740795
input.cityi1.gz,input.xerox1.gz,0.1585961661970452
input.xerox1.gz,input.cityi1.gz,0.1585961661970452
input.cityi1.gz,input.xerox2.gz,0.16408427864199585
input.xerox2.gz,input.cityi1.gz,0.16408427864199585
input.cityr1.gz,input.cityr2.gz,0.21078897751640296
input.cityr2.gz,input.cityr1.gz,0.21078897751640296
input.cityr1.gz,input.clarta.gz,0.21948875630293196
input.clarta.gz,input.cityr1.gz,0.21948875630293196
input.cityr1.gz,input.crnlqr.gz,0.21338034053454055
input.crnlqr.gz,input.cityr1.gz,0.21338034053454055
input.cityr1.gz,input.crnlrr.gz,0.2111576986183663
input.crnlrr.gz,input.cityr1.gz,0.2111576986183663
input.cityr1.gz,input.dortr1.gz,0.22373846326600036
input.dortr1.gz,input.cityr1.gz,0.22373846326600036
input.cityr1.gz,input.erimr1.gz,0.19426389248892031
input.erimr1.gz,input.cityr1.gz,0.19426389248892031
input.cityr1.gz,input.eth003.gz,0.20459069418409195
input.eth003.gz,input.cityr1.gz,0.20459069418409195
input.cityr1.gz,input.eth004.gz,0.20175928299296872
input.eth004.gz,input.cityr1.gz,0.20175928299296872
input.cityr1.gz,input.fdf1.gz,0.20416961094760921
input.fdf1.gz,input.cityr1.gz,0.20416961094760921
input.cityr1.gz,input.fdf2.gz,0.20567332009491007
input.fdf2.gz,input.cityr1.gz,0.20567332009491007
input.cityr1.gz,input.inq103.gz,0.21818529053983723
input.inq103.gz,input.cityr1.gz,0.21818529053983723
input.cityr1.gz,input.inq104.gz,0.22033594129725156
