r1,r2,score
input.acqnt2.gz,input.brkly8.gz,0.19474029475626198
input.brkly8.gz,input.acqnt2.gz,0.19474029475626198
input.acqnt2.gz,input.cityi1.gz,0.16755953732624648
input.cityi1.gz,input.acqnt2.gz,0.16755953732624648
input.acqnt2.gz,input.cityr1.gz,0.2161892684362005
input.cityr1.gz,input.acqnt2.gz,0.2161892684362005
input.acqnt2.gz,input.cityr2.gz,0.1929125599235204
input.cityr2.gz,input.acqnt2.gz,0.1929125599235204
input.acqnt2.gz,input.clarta.gz,0.18526557455297726
input.clarta.gz,input.acqnt2.gz,0.18526557455297726
input.acqnt2.gz,input.crnlqr.gz,0.1922820892114355
input.crnlqr.gz,input.acqnt2.gz,0.1922820892114355
input.acqnt2.gz,input.crnlrr.gz,0.19008231489561728
input.crnlrr.gz,input.acqnt2.gz,0.19008231489561728
input.acqnt2.gz,input.dortr1.gz,0.19446423682689812
input.dortr1.gz,input.acqnt2.gz,0.19446423682689812
input.acqnt2.gz,input.erimr1.gz,0.16936876630165168
input.erimr1.gz,input.acqnt2.gz,0.16936876630165168
input.acqnt2.gz,input.eth003.gz,0.1789595664608975
input.eth003.gz,input.acqnt2.gz,0.1789595664608975
input.acqnt2.gz,input.eth004.gz,0.17579994875315408
input.eth004.gz,input.acqnt2.gz,0.17579994875315408
input.acqnt2.gz,input.fdf1.gz,0.1852710116237711
input.fdf1.gz,input.acqnt2.gz,0.1852710116237711
input.acqnt2.gz,input.fdf2.gz,0.18742840409997613
input.fdf2.gz,input.acqnt2.gz,0.18742840409997613
input.acqnt2.gz,input.inq103.gz,0.16861764067696727
input.inq103.gz,input.acqnt2.gz,0.16861764067696727
input.acqnt2.gz,input.inq104.gz,0.17319310660529347
input.inq104.gz,input.acqnt2.gz,0.17319310660529347
input.acqnt2.gz,input.losPA1.gz,0.20617604546762092
input.losPA1.gz,input.acqnt2.gz,0.20617604546762092
input.acqnt2.gz,input.lsir1.gz,0.1816829418950045
input.lsir1.gz,input.acqnt2.gz,0.1816829418950045
input.acqnt2.gz,input.lsir2.gz,0.18752812868162558
input.lsir2.gz,input.acqnt2.gz,0.18752812868162558
input.acqnt2.gz,input.nyuir1.gz,0.16836221545038513
input.nyuir1.gz,input.acqnt2.gz,0.16836221545038513
input.acqnt2.gz,input.nyuir2.gz,0.17574240170662633
input.nyuir2.gz,input.acqnt2.gz,0.17574240170662633
input.acqnt2.gz,input.pircs3.gz,0.20272391971682505
input.pircs3.gz,input.acqnt2.gz,0.20272391971682505
input.acqnt2.gz,input.pircs4.gz,0.1975046872973088
input.pircs4.gz,input.acqnt2.gz,0.1975046872973088
input.acqnt2.gz,input.rutfur1.gz,0.15473184566942258
input.rutfur1.gz,input.acqnt2.gz,0.15473184566942258
input.acqnt2.gz,input.rutfur2.gz,0.15024503483889803
input.rutfur2.gz,input.acqnt2.gz,0.15024503483889803
input.acqnt2.gz,input.ucf101.gz,0.20472745561184222
input.ucf101.gz,input.acqnt2.gz,0.20472745561184222
input.acqnt2.gz,input.westp2.gz,0.16490340762611044
input.westp2.gz,input.acqnt2.gz,0.16490340762611044
input.acqnt2.gz,input.xerox1.gz,0.1722267928792647
input.xerox1.gz,input.acqnt2.gz,0.1722267928792647
input.acqnt2.gz,input.xerox2.gz,0.17607581687274454
input.xerox2.gz,input.acqnt2.gz,0.17607581687274454
input.brkly8.gz,input.cityi1.gz,0.16995334972690138
input.cityi1.gz,input.brkly8.gz,0.16995334972690138
input.brkly8.gz,input.cityr1.gz,0.2300456399706435
input.cityr1.gz,input.brkly8.gz,0.2300456399706435
input.brkly8.gz,input.cityr2.gz,0.2078309533325676
input.cityr2.gz,input.brkly8.gz,0.2078309533325676
input.brkly8.gz,input.clarta.gz,0.20376942500943898
input.clarta.gz,input.brkly8.gz,0.20376942500943898
input.brkly8.gz,input.crnlqr.gz,0.21025295916504821
input.crnlqr.gz,input.brkly8.gz,0.21025295916504821
input.brkly8.gz,input.crnlrr.gz,0.20929594072954455
