r1,r2,score
input.acqnt2.gz,input.brkly8.gz,0.22670473893172235
input.brkly8.gz,input.acqnt2.gz,0.22670473893172235
input.acqnt2.gz,input.cityi1.gz,0.17819197813301355
input.cityi1.gz,input.acqnt2.gz,0.17819197813301355
input.acqnt2.gz,input.cityr1.gz,0.22824456422560147
input.cityr1.gz,input.acqnt2.gz,0.22824456422560147
input.acqnt2.gz,input.cityr2.gz,0.20765792582560832
input.cityr2.gz,input.acqnt2.gz,0.20765792582560832
input.acqnt2.gz,input.clarta.gz,0.20827202100871967
input.clarta.gz,input.acqnt2.gz,0.20827202100871967
input.acqnt2.gz,input.crnlqr.gz,0.20331582909981397
input.crnlqr.gz,input.acqnt2.gz,0.20331582909981397
input.acqnt2.gz,input.crnlrr.gz,0.20265802959904114
input.crnlrr.gz,input.acqnt2.gz,0.20265802959904114
input.acqnt2.gz,input.dortr1.gz,0.20795068346432438
input.dortr1.gz,input.acqnt2.gz,0.20795068346432438
input.acqnt2.gz,input.erimr1.gz,0.17625925706051213
input.erimr1.gz,input.acqnt2.gz,0.17625925706051213
input.acqnt2.gz,input.eth003.gz,0.18760447011326445
input.eth003.gz,input.acqnt2.gz,0.18760447011326445
input.acqnt2.gz,input.eth004.gz,0.17732102067860875
input.eth004.gz,input.acqnt2.gz,0.17732102067860875
input.acqnt2.gz,input.fdf1.gz,0.1914350690356477
input.fdf1.gz,input.acqnt2.gz,0.1914350690356477
input.acqnt2.gz,input.fdf2.gz,0.1920781536874904
input.fdf2.gz,input.acqnt2.gz,0.1920781536874904
input.acqnt2.gz,input.inq103.gz,0.19881063884039213
input.inq103.gz,input.acqnt2.gz,0.19881063884039213
input.acqnt2.gz,input.inq104.gz,0.20115741599978915
input.inq104.gz,input.acqnt2.gz,0.20115741599978915
input.acqnt2.gz,input.losPA1.gz,0.19914253077743468
input.losPA1.gz,input.acqnt2.gz,0.19914253077743468
input.acqnt2.gz,input.lsir1.gz,0.1878289974023281
input.lsir1.gz,input.acqnt2.gz,0.1878289974023281
input.acqnt2.gz,input.lsir2.gz,0.20605276980355383
input.lsir2.gz,input.acqnt2.gz,0.20605276980355383
input.acqnt2.gz,input.nyuir1.gz,0.17450295674262012
input.nyuir1.gz,input.acqnt2.gz,0.17450295674262012
input.acqnt2.gz,input.nyuir2.gz,0.17993621260906636
input.nyuir2.gz,input.acqnt2.gz,0.17993621260906636
input.acqnt2.gz,input.pircs3.gz,0.19492417288678388
input.pircs3.gz,input.acqnt2.gz,0.19492417288678388
input.acqnt2.gz,input.pircs4.gz,0.1942978594062352
input.pircs4.gz,input.acqnt2.gz,0.1942978594062352
input.acqnt2.gz,input.rutfur1.gz,0.17188226651969818
input.rutfur1.gz,input.acqnt2.gz,0.17188226651969818
input.acqnt2.gz,input.rutfur2.gz,0.16878946629294267
input.rutfur2.gz,input.acqnt2.gz,0.16878946629294267
input.acqnt2.gz,input.ucf101.gz,0.20025700723828727
input.ucf101.gz,input.acqnt2.gz,0.20025700723828727
input.acqnt2.gz,input.westp2.gz,0.19902816557158903
input.westp2.gz,input.acqnt2.gz,0.19902816557158903
input.acqnt2.gz,input.xerox1.gz,0.18799176095834827
input.xerox1.gz,input.acqnt2.gz,0.18799176095834827
input.acqnt2.gz,input.xerox2.gz,0.1904978671151291
input.xerox2.gz,input.acqnt2.gz,0.1904978671151291
input.brkly8.gz,input.cityi1.gz,0.21636289253108085
input.cityi1.gz,input.brkly8.gz,0.21636289253108085
input.brkly8.gz,input.cityr1.gz,0.24430623596091547
input.cityr1.gz,input.brkly8.gz,0.24430623596091547
input.brkly8.gz,input.cityr2.gz,0.23023611619393955
input.cityr2.gz,input.brkly8.gz,0.23023611619393955
input.brkly8.gz,input.clarta.gz,0.2297545274202076
input.clarta.gz,input.brkly8.gz,0.2297545274202076
input.brkly8.gz,input.crnlqr.gz,0.2301055472320228
input.crnlqr.gz,input.brkly8.gz,0.2301055472320228
input.brkly8.gz,input.crnlrr.gz,0.23206533857513695
input.crnlrr.gz,input.brkly8.gz,0.23206533857513695
input.brkly8.gz,input.dortr1.gz,0.23854404908400856
input.dortr1.gz,input.brkly8.gz,0.23854404908400856
input.brkly8.gz,input.erimr1.gz,0.2209781502458791
input.erimr1.gz,input.brkly8.gz,0.2209781502458791
input.brkly8.gz,input.eth003.gz,0.22521424260324788
input.eth003.gz,input.brkly8.gz,0.22521424260324788
input.brkly8.gz,input.eth004.gz,0.2183612392566429
input.eth004.gz,input.brkly8.gz,0.2183612392566429
input.brkly8.gz,input.fdf1.gz,0.2122299176080432
input.fdf1.gz,input.brkly8.gz,0.2122299176080432
input.brkly8.gz,input.fdf2.gz,0.212819683884048
input.fdf2.gz,input.brkly8.gz,0.212819683884048
input.brkly8.gz,input.inq103.gz,0.22738160970597293
input.inq103.gz,input.brkly8.gz,0.22738160970597293
input.brkly8.gz,input.inq104.gz,0.22600700585261654
input.inq104.gz,input.brkly8.gz,0.22600700585261654
input.brkly8.gz,input.losPA1.gz,0.23391802215495883
input.losPA1.gz,input.brkly8.gz,0.23391802215495883
input.brkly8.gz,input.lsir1.gz,0.22751719921973096
input.lsir1.gz,input.brkly8.gz,0.22751719921973096
input.brkly8.gz,input.lsir2.gz,0.23556867734179518
input.lsir2.gz,input.brkly8.gz,0.23556867734179518
input.brkly8.gz,input.nyuir1.gz,0.21200867088664338
input.nyuir1.gz,input.brkly8.gz,0.21200867088664338
input.brkly8.gz,input.nyuir2.gz,0.2163506014506326
input.nyuir2.gz,input.brkly8.gz,0.2163506014506326
input.brkly8.gz,input.pircs3.gz,0.22431844178614319
input.pircs3.gz,input.brkly8.gz,0.22431844178614319
input.brkly8.gz,input.pircs4.gz,0.22830174706572431
input.pircs4.gz,input.brkly8.gz,0.22830174706572431
input.brkly8.gz,input.rutfur1.gz,0.21181645716832848
input.rutfur1.gz,input.brkly8.gz,0.21181645716832848
input.brkly8.gz,input.rutfur2.gz,0.20967141563228764
input.rutfur2.gz,input.brkly8.gz,0.20967141563228764
input.brkly8.gz,input.ucf101.gz,0.22764969856980583
input.ucf101.gz,input.brkly8.gz,0.22764969856980583
input.brkly8.gz,input.westp2.gz,0.2188381069490525
input.westp2.gz,input.brkly8.gz,0.2188381069490525
