r1,r2,score
input.acqnt2.gz,input.brkly8.gz,0.7050000000000001
input.brkly8.gz,input.acqnt2.gz,0.7050000000000001
input.acqnt2.gz,input.cityi1.gz,0.6325
input.cityi1.gz,input.acqnt2.gz,0.6325
input.acqnt2.gz,input.cityr1.gz,0.68
input.cityr1.gz,input.acqnt2.gz,0.68
input.acqnt2.gz,input.cityr2.gz,0.6699999999999999
input.cityr2.gz,input.acqnt2.gz,0.6699999999999999
input.acqnt2.gz,input.clarta.gz,0.655
input.clarta.gz,input.acqnt2.gz,0.655
input.acqnt2.gz,input.crnlqr.gz,0.6775
input.crnlqr.gz,input.acqnt2.gz,0.6775
input.acqnt2.gz,input.crnlrr.gz,0.67
input.crnlrr.gz,input.acqnt2.gz,0.67
input.acqnt2.gz,input.dortr1.gz,0.6675
input.dortr1.gz,input.acqnt2.gz,0.6675
input.acqnt2.gz,input.erimr1.gz,0.61
input.erimr1.gz,input.acqnt2.gz,0.61
input.acqnt2.gz,input.eth003.gz,0.615
input.eth003.gz,input.acqnt2.gz,0.615
input.acqnt2.gz,input.eth004.gz,0.6224999999999999
input.eth004.gz,input.acqnt2.gz,0.6224999999999999
input.acqnt2.gz,input.fdf1.gz,0.6625
input.fdf1.gz,input.acqnt2.gz,0.6625
input.acqnt2.gz,input.fdf2.gz,0.655
input.fdf2.gz,input.acqnt2.gz,0.655
input.acqnt2.gz,input.inq103.gz,0.6725
input.inq103.gz,input.acqnt2.gz,0.6725
input.acqnt2.gz,input.inq104.gz,0.6625
input.inq104.gz,input.acqnt2.gz,0.6625
input.acqnt2.gz,input.losPA1.gz,0.6775
input.losPA1.gz,input.acqnt2.gz,0.6775
input.acqnt2.gz,input.lsir1.gz,0.6300000000000001
input.lsir1.gz,input.acqnt2.gz,0.6300000000000001
input.acqnt2.gz,input.lsir2.gz,0.6900000000000001
input.lsir2.gz,input.acqnt2.gz,0.6900000000000001
input.acqnt2.gz,input.nyuir1.gz,0.6050000000000001
input.nyuir1.gz,input.acqnt2.gz,0.6050000000000001
input.acqnt2.gz,input.nyuir2.gz,0.6375
input.nyuir2.gz,input.acqnt2.gz,0.6375
input.acqnt2.gz,input.pircs3.gz,0.6675
input.pircs3.gz,input.acqnt2.gz,0.6675
input.acqnt2.gz,input.pircs4.gz,0.6525000000000001
input.pircs4.gz,input.acqnt2.gz,0.6525000000000001
input.acqnt2.gz,input.rutfur1.gz,0.585
input.rutfur1.gz,input.acqnt2.gz,0.585
input.acqnt2.gz,input.rutfur2.gz,0.5825
input.rutfur2.gz,input.acqnt2.gz,0.5825
input.acqnt2.gz,input.ucf101.gz,0.6525
input.ucf101.gz,input.acqnt2.gz,0.6525
input.acqnt2.gz,input.westp2.gz,0.675
input.westp2.gz,input.acqnt2.gz,0.675
input.acqnt2.gz,input.xerox1.gz,0.6224999999999999
input.xerox1.gz,input.acqnt2.gz,0.6224999999999999
input.acqnt2.gz,input.xerox2.gz,0.6224999999999999
input.xerox2.gz,input.acqnt2.gz,0.6224999999999999
input.brkly8.gz,input.cityi1.gz,0.6525000000000001
input.cityi1.gz,input.brkly8.gz,0.6525000000000001
input.brkly8.gz,input.cityr1.gz,0.72
input.cityr1.gz,input.brkly8.gz,0.72
input.brkly8.gz,input.cityr2.gz,0.71
input.cityr2.gz,input.brkly8.gz,0.71
input.brkly8.gz,input.clarta.gz,0.6849999999999999
input.clarta.gz,input.brkly8.gz,0.6849999999999999
