r1,r2,score
input.acqnt2.gz,input.brkly8.gz,0.7025
input.brkly8.gz,input.acqnt2.gz,0.7025
input.acqnt2.gz,input.cityi1.gz,0.65
input.cityi1.gz,input.acqnt2.gz,0.65
input.acqnt2.gz,input.cityr1.gz,0.6925000000000001
input.cityr1.gz,input.acqnt2.gz,0.6925000000000001
input.acqnt2.gz,input.cityr2.gz,0.6725
input.cityr2.gz,input.acqnt2.gz,0.6725
input.acqnt2.gz,input.clarta.gz,0.6675000000000001
input.clarta.gz,input.acqnt2.gz,0.6675000000000001
input.acqnt2.gz,input.crnlqr.gz,0.6825
input.crnlqr.gz,input.acqnt2.gz,0.6825
input.acqnt2.gz,input.crnlrr.gz,0.6725
input.crnlrr.gz,input.acqnt2.gz,0.6725
input.acqnt2.gz,input.dortr1.gz,0.665
input.dortr1.gz,input.acqnt2.gz,0.665
input.acqnt2.gz,input.erimr1.gz,0.615
input.erimr1.gz,input.acqnt2.gz,0.615
input.acqnt2.gz,input.eth003.gz,0.6125
input.eth003.gz,input.acqnt2.gz,0.6125
input.acqnt2.gz,input.eth004.gz,0.6275000000000001
input.eth004.gz,input.acqnt2.gz,0.6275000000000001
input.acqnt2.gz,input.fdf1.gz,0.6599999999999999
input.fdf1.gz,input.acqnt2.gz,0.6599999999999999
input.acqnt2.gz,input.fdf2.gz,0.655
input.fdf2.gz,input.acqnt2.gz,0.655
input.acqnt2.gz,input.inq103.gz,0.6775
input.inq103.gz,input.acqnt2.gz,0.6775
input.acqnt2.gz,input.inq104.gz,0.655
input.inq104.gz,input.acqnt2.gz,0.655
input.acqnt2.gz,input.losPA1.gz,0.6699999999999999
input.losPA1.gz,input.acqnt2.gz,0.6699999999999999
input.acqnt2.gz,input.lsir1.gz,0.6375
input.lsir1.gz,input.acqnt2.gz,0.6375
input.acqnt2.gz,input.lsir2.gz,0.6925
input.lsir2.gz,input.acqnt2.gz,0.6925
input.acqnt2.gz,input.nyuir1.gz,0.61
input.nyuir1.gz,input.acqnt2.gz,0.61
input.acqnt2.gz,input.nyuir2.gz,0.635
input.nyuir2.gz,input.acqnt2.gz,0.635
input.acqnt2.gz,input.pircs3.gz,0.6675
input.pircs3.gz,input.acqnt2.gz,0.6675
input.acqnt2.gz,input.pircs4.gz,0.6575
input.pircs4.gz,input.acqnt2.gz,0.6575
input.acqnt2.gz,input.rutfur1.gz,0.6174999999999999
input.rutfur1.gz,input.acqnt2.gz,0.6174999999999999
input.acqnt2.gz,input.rutfur2.gz,0.6174999999999999
input.rutfur2.gz,input.acqnt2.gz,0.6174999999999999
input.acqnt2.gz,input.ucf101.gz,0.6525000000000001
input.ucf101.gz,input.acqnt2.gz,0.6525000000000001
input.acqnt2.gz,input.westp2.gz,0.6725
input.westp2.gz,input.acqnt2.gz,0.6725
input.acqnt2.gz,input.xerox1.gz,0.6199999999999999
input.xerox1.gz,input.acqnt2.gz,0.6199999999999999
input.acqnt2.gz,input.xerox2.gz,0.6375
input.xerox2.gz,input.acqnt2.gz,0.6375
input.brkly8.gz,input.cityi1.gz,0.68
input.cityi1.gz,input.brkly8.gz,0.68
input.brkly8.gz,input.cityr1.gz,0.7175
input.cityr1.gz,input.brkly8.gz,0.7175
input.brkly8.gz,input.cityr2.gz,0.705
input.cityr2.gz,input.brkly8.gz,0.705
input.brkly8.gz,input.clarta.gz,0.7
input.clarta.gz,input.brkly8.gz,0.7
input.brkly8.gz,input.crnlqr.gz,0.7075
input.crnlqr.gz,input.brkly8.gz,0.7075
input.brkly8.gz,input.crnlrr.gz,0.7
input.crnlrr.gz,input.brkly8.gz,0.7
input.brkly8.gz,input.dortr1.gz,0.7150000000000001
input.dortr1.gz,input.brkly8.gz,0.7150000000000001
input.brkly8.gz,input.erimr1.gz,0.6925000000000001
input.erimr1.gz,input.brkly8.gz,0.6925000000000001
input.brkly8.gz,input.eth003.gz,0.6975
input.eth003.gz,input.brkly8.gz,0.6975
input.brkly8.gz,input.eth004.gz,0.6849999999999999
input.eth004.gz,input.brkly8.gz,0.6849999999999999
input.brkly8.gz,input.fdf1.gz,0.6675000000000001
input.fdf1.gz,input.brkly8.gz,0.6675000000000001
input.brkly8.gz,input.fdf2.gz,0.6775
input.fdf2.gz,input.brkly8.gz,0.6775
input.brkly8.gz,input.inq103.gz,0.6900000000000001
input.inq103.gz,input.brkly8.gz,0.6900000000000001
input.brkly8.gz,input.inq104.gz,0.7150000000000001
input.inq104.gz,input.brkly8.gz,0.7150000000000001
input.brkly8.gz,input.losPA1.gz,0.7074999999999999
input.losPA1.gz,input.brkly8.gz,0.7074999999999999
input.brkly8.gz,input.lsir1.gz,0.71
input.lsir1.gz,input.brkly8.gz,0.71
input.brkly8.gz,input.lsir2.gz,0.75
input.lsir2.gz,input.brkly8.gz,0.75
input.brkly8.gz,input.nyuir1.gz,0.6900000000000001
input.nyuir1.gz,input.brkly8.gz,0.6900000000000001
input.brkly8.gz,input.nyuir2.gz,0.6975
input.nyuir2.gz,input.brkly8.gz,0.6975
input.brkly8.gz,input.pircs3.gz,0.6950000000000001
input.pircs3.gz,input.brkly8.gz,0.6950000000000001
input.brkly8.gz,input.pircs4.gz,0.6975
input.pircs4.gz,input.brkly8.gz,0.6975
input.brkly8.gz,input.rutfur1.gz,0.6575
input.rutfur1.gz,input.brkly8.gz,0.6575
input.brkly8.gz,input.rutfur2.gz,0.6625
input.rutfur2.gz,input.brkly8.gz,0.6625
input.brkly8.gz,input.ucf101.gz,0.71
input.ucf101.gz,input.brkly8.gz,0.71
input.brkly8.gz,input.westp2.gz,0.6775
input.westp2.gz,input.brkly8.gz,0.6775
input.brkly8.gz,input.xerox1.gz,0.67
input.xerox1.gz,input.brkly8.gz,0.67
input.brkly8.gz,input.xerox2.gz,0.675
input.xerox2.gz,input.brkly8.gz,0.675
input.cityi1.gz,input.cityr1.gz,0.6825
input.cityr1.gz,input.cityi1.gz,0.6825
input.cityi1.gz,input.cityr2.gz,0.63
input.cityr2.gz,input.cityi1.gz,0.63
input.cityi1.gz,input.clarta.gz,0.6325
input.clarta.gz,input.cityi1.gz,0.6325
input.cityi1.gz,input.crnlqr.gz,0.6325000000000001
input.crnlqr.gz,input.cityi1.gz,0.6325000000000001
input.cityi1.gz,input.crnlrr.gz,0.635
input.crnlrr.gz,input.cityi1.gz,0.635
input.cityi1.gz,input.dortr1.gz,0.6399999999999999
input.dortr1.gz,input.cityi1.gz,0.6399999999999999
input.cityi1.gz,input.erimr1.gz,0.585
input.erimr1.gz,input.cityi1.gz,0.585
input.cityi1.gz,input.eth003.gz,0.595
input.eth003.gz,input.cityi1.gz,0.595
input.cityi1.gz,input.eth004.gz,0.6275000000000001
input.eth004.gz,input.cityi1.gz,0.6275000000000001
input.cityi1.gz,input.fdf1.gz,0.6100000000000001
input.fdf1.gz,input.cityi1.gz,0.6100000000000001
input.cityi1.gz,input.fdf2.gz,0.6074999999999999
input.fdf2.gz,input.cityi1.gz,0.6074999999999999
input.cityi1.gz,input.inq103.gz,0.63
input.inq103.gz,input.cityi1.gz,0.63
input.cityi1.gz,input.inq104.gz,0.615
input.inq104.gz,input.cityi1.gz,0.615
input.cityi1.gz,input.losPA1.gz,0.615
input.losPA1.gz,input.cityi1.gz,0.615
input.cityi1.gz,input.lsir1.gz,0.5800000000000001
input.lsir1.gz,input.cityi1.gz,0.5800000000000001
input.cityi1.gz,input.lsir2.gz,0.6675000000000001
input.lsir2.gz,input.cityi1.gz,0.6675000000000001
input.cityi1.gz,input.nyuir1.gz,0.5900000000000001
input.nyuir1.gz,input.cityi1.gz,0.5900000000000001
input.cityi1.gz,input.nyuir2.gz,0.6174999999999999
input.nyuir2.gz,input.cityi1.gz,0.6174999999999999
input.cityi1.gz,input.pircs3.gz,0.625
input.pircs3.gz,input.cityi1.gz,0.625
input.cityi1.gz,input.pircs4.gz,0.6425000000000001
input.pircs4.gz,input.cityi1.gz,0.6425000000000001
input.cityi1.gz,input.rutfur1.gz,0.5700000000000001
input.rutfur1.gz,input.cityi1.gz,0.5700000000000001
input.cityi1.gz,input.rutfur2.gz,0.575
input.rutfur2.gz,input.cityi1.gz,0.575
input.cityi1.gz,input.ucf101.gz,0.65
input.ucf101.gz,input.cityi1.gz,0.65
input.cityi1.gz,input.westp2.gz,0.6199999999999999
input.westp2.gz,input.cityi1.gz,0.6199999999999999
input.cityi1.gz,input.xerox1.gz,0.5875
input.xerox1.gz,input.cityi1.gz,0.5875
input.cityi1.gz,input.xerox2.gz,0.5925
input.xerox2.gz,input.cityi1.gz,0.5925
input.cityr1.gz,input.cityr2.gz,0.665
input.cityr2.gz,input.cityr1.gz,0.665
input.cityr1.gz,input.clarta.gz,0.7074999999999999
input.clarta.gz,input.cityr1.gz,0.7074999999999999
input.cityr1.gz,input.crnlqr.gz,0.6824999999999999
input.crnlqr.gz,input.cityr1.gz,0.6824999999999999
