r1,r2,score
input.acqnt2.gz,input.brkly8.gz,0.6725
input.brkly8.gz,input.acqnt2.gz,0.6725
input.acqnt2.gz,input.cityi1.gz,0.6525000000000001
input.cityi1.gz,input.acqnt2.gz,0.6525000000000001
input.acqnt2.gz,input.cityr1.gz,0.71
input.cityr1.gz,input.acqnt2.gz,0.71
input.acqnt2.gz,input.cityr2.gz,0.6925
input.cityr2.gz,input.acqnt2.gz,0.6925
input.acqnt2.gz,input.clarta.gz,0.6849999999999999
input.clarta.gz,input.acqnt2.gz,0.6849999999999999
input.acqnt2.gz,input.crnlqr.gz,0.6775
input.crnlqr.gz,input.acqnt2.gz,0.6775
input.acqnt2.gz,input.crnlrr.gz,0.6775
input.crnlrr.gz,input.acqnt2.gz,0.6775
input.acqnt2.gz,input.dortr1.gz,0.6599999999999999
input.dortr1.gz,input.acqnt2.gz,0.6599999999999999
input.acqnt2.gz,input.erimr1.gz,0.6300000000000001
input.erimr1.gz,input.acqnt2.gz,0.6300000000000001
input.acqnt2.gz,input.eth003.gz,0.6425000000000001
input.eth003.gz,input.acqnt2.gz,0.6425000000000001
input.acqnt2.gz,input.eth004.gz,0.635
input.eth004.gz,input.acqnt2.gz,0.635
input.acqnt2.gz,input.fdf1.gz,0.6599999999999999
input.fdf1.gz,input.acqnt2.gz,0.6599999999999999
input.acqnt2.gz,input.fdf2.gz,0.6625
input.fdf2.gz,input.acqnt2.gz,0.6625
input.acqnt2.gz,input.inq103.gz,0.6299999999999999
input.inq103.gz,input.acqnt2.gz,0.6299999999999999
input.acqnt2.gz,input.inq104.gz,0.6375
input.inq104.gz,input.acqnt2.gz,0.6375
input.acqnt2.gz,input.losPA1.gz,0.66
input.losPA1.gz,input.acqnt2.gz,0.66
input.acqnt2.gz,input.lsir1.gz,0.65
input.lsir1.gz,input.acqnt2.gz,0.65
input.acqnt2.gz,input.lsir2.gz,0.65
input.lsir2.gz,input.acqnt2.gz,0.65
input.acqnt2.gz,input.nyuir1.gz,0.6224999999999999
input.nyuir1.gz,input.acqnt2.gz,0.6224999999999999
input.acqnt2.gz,input.nyuir2.gz,0.6425
input.nyuir2.gz,input.acqnt2.gz,0.6425
input.acqnt2.gz,input.pircs3.gz,0.6599999999999999
input.pircs3.gz,input.acqnt2.gz,0.6599999999999999
input.acqnt2.gz,input.pircs4.gz,0.6425000000000001
input.pircs4.gz,input.acqnt2.gz,0.6425000000000001
input.acqnt2.gz,input.rutfur1.gz,0.6025
input.rutfur1.gz,input.acqnt2.gz,0.6025
input.acqnt2.gz,input.rutfur2.gz,0.6025
input.rutfur2.gz,input.acqnt2.gz,0.6025
input.acqnt2.gz,input.ucf101.gz,0.675
input.ucf101.gz,input.acqnt2.gz,0.675
input.acqnt2.gz,input.westp2.gz,0.6375
input.westp2.gz,input.acqnt2.gz,0.6375
input.acqnt2.gz,input.xerox1.gz,0.575
input.xerox1.gz,input.acqnt2.gz,0.575
input.acqnt2.gz,input.xerox2.gz,0.5775
input.xerox2.gz,input.acqnt2.gz,0.5775
input.brkly8.gz,input.cityi1.gz,0.63
input.cityi1.gz,input.brkly8.gz,0.63
input.brkly8.gz,input.cityr1.gz,0.7025
input.cityr1.gz,input.brkly8.gz,0.7025
input.brkly8.gz,input.cityr2.gz,0.68
input.cityr2.gz,input.brkly8.gz,0.68
input.brkly8.gz,input.clarta.gz,0.6925
input.clarta.gz,input.brkly8.gz,0.6925
input.brkly8.gz,input.crnlqr.gz,0.6975
input.crnlqr.gz,input.brkly8.gz,0.6975
input.brkly8.gz,input.crnlrr.gz,0.6725
input.crnlrr.gz,input.brkly8.gz,0.6725
input.brkly8.gz,input.dortr1.gz,0.6875
input.dortr1.gz,input.brkly8.gz,0.6875
input.brkly8.gz,input.erimr1.gz,0.605
input.erimr1.gz,input.brkly8.gz,0.605
input.brkly8.gz,input.eth003.gz,0.6125
input.eth003.gz,input.brkly8.gz,0.6125
input.brkly8.gz,input.eth004.gz,0.6475
input.eth004.gz,input.brkly8.gz,0.6475
input.brkly8.gz,input.fdf1.gz,0.655
input.fdf1.gz,input.brkly8.gz,0.655
input.brkly8.gz,input.fdf2.gz,0.645
input.fdf2.gz,input.brkly8.gz,0.645
input.brkly8.gz,input.inq103.gz,0.7074999999999999
input.inq103.gz,input.brkly8.gz,0.7074999999999999
input.brkly8.gz,input.inq104.gz,0.6950000000000001
input.inq104.gz,input.brkly8.gz,0.6950000000000001
input.brkly8.gz,input.losPA1.gz,0.665
input.losPA1.gz,input.brkly8.gz,0.665
input.brkly8.gz,input.lsir1.gz,0.605
input.lsir1.gz,input.brkly8.gz,0.605
input.brkly8.gz,input.lsir2.gz,0.7274999999999999
input.lsir2.gz,input.brkly8.gz,0.7274999999999999
input.brkly8.gz,input.nyuir1.gz,0.56
input.nyuir1.gz,input.brkly8.gz,0.56
input.brkly8.gz,input.nyuir2.gz,0.6525000000000001
input.nyuir2.gz,input.brkly8.gz,0.6525000000000001
input.brkly8.gz,input.pircs3.gz,0.6675
input.pircs3.gz,input.brkly8.gz,0.6675
input.brkly8.gz,input.pircs4.gz,0.6725
input.pircs4.gz,input.brkly8.gz,0.6725
input.brkly8.gz,input.rutfur1.gz,0.6074999999999999
input.rutfur1.gz,input.brkly8.gz,0.6074999999999999
input.brkly8.gz,input.rutfur2.gz,0.6125
input.rutfur2.gz,input.brkly8.gz,0.6125
input.brkly8.gz,input.ucf101.gz,0.6875
input.ucf101.gz,input.brkly8.gz,0.6875
input.brkly8.gz,input.westp2.gz,0.6925
input.westp2.gz,input.brkly8.gz,0.6925
input.brkly8.gz,input.xerox1.gz,0.5525
input.xerox1.gz,input.brkly8.gz,0.5525
input.brkly8.gz,input.xerox2.gz,0.5775
input.xerox2.gz,input.brkly8.gz,0.5775
input.cityi1.gz,input.cityr1.gz,0.68
input.cityr1.gz,input.cityi1.gz,0.68
input.cityi1.gz,input.cityr2.gz,0.6325
input.cityr2.gz,input.cityi1.gz,0.6325
input.cityi1.gz,input.clarta.gz,0.6375
input.clarta.gz,input.cityi1.gz,0.6375
input.cityi1.gz,input.crnlqr.gz,0.6275
input.crnlqr.gz,input.cityi1.gz,0.6275
input.cityi1.gz,input.crnlrr.gz,0.6325000000000001
input.crnlrr.gz,input.cityi1.gz,0.6325000000000001
input.cityi1.gz,input.dortr1.gz,0.64
input.dortr1.gz,input.cityi1.gz,0.64
input.cityi1.gz,input.erimr1.gz,0.5725
input.erimr1.gz,input.cityi1.gz,0.5725
input.cityi1.gz,input.eth003.gz,0.5925
input.eth003.gz,input.cityi1.gz,0.5925
input.cityi1.gz,input.eth004.gz,0.5974999999999999
input.eth004.gz,input.cityi1.gz,0.5974999999999999
input.cityi1.gz,input.fdf1.gz,0.615
input.fdf1.gz,input.cityi1.gz,0.615
input.cityi1.gz,input.fdf2.gz,0.615
input.fdf2.gz,input.cityi1.gz,0.615
input.cityi1.gz,input.inq103.gz,0.5975
input.inq103.gz,input.cityi1.gz,0.5975
input.cityi1.gz,input.inq104.gz,0.595
input.inq104.gz,input.cityi1.gz,0.595
input.cityi1.gz,input.losPA1.gz,0.6174999999999999
input.losPA1.gz,input.cityi1.gz,0.6174999999999999
input.cityi1.gz,input.lsir1.gz,0.595
input.lsir1.gz,input.cityi1.gz,0.595
input.cityi1.gz,input.lsir2.gz,0.6525000000000001
input.lsir2.gz,input.cityi1.gz,0.6525000000000001
input.cityi1.gz,input.nyuir1.gz,0.6
input.nyuir1.gz,input.cityi1.gz,0.6
input.cityi1.gz,input.nyuir2.gz,0.6174999999999999
input.nyuir2.gz,input.cityi1.gz,0.6174999999999999
input.cityi1.gz,input.pircs3.gz,0.6325000000000001
input.pircs3.gz,input.cityi1.gz,0.6325000000000001
input.cityi1.gz,input.pircs4.gz,0.6475
input.pircs4.gz,input.cityi1.gz,0.6475
input.cityi1.gz,input.rutfur1.gz,0.5774999999999999
input.rutfur1.gz,input.cityi1.gz,0.5774999999999999
input.cityi1.gz,input.rutfur2.gz,0.5775
input.rutfur2.gz,input.cityi1.gz,0.5775
input.cityi1.gz,input.ucf101.gz,0.6224999999999999
input.ucf101.gz,input.cityi1.gz,0.6224999999999999
input.cityi1.gz,input.westp2.gz,0.5850000000000001
input.westp2.gz,input.cityi1.gz,0.5850000000000001
input.cityi1.gz,input.xerox1.gz,0.56
input.xerox1.gz,input.cityi1.gz,0.56
input.cityi1.gz,input.xerox2.gz,0.5575
input.xerox2.gz,input.cityi1.gz,0.5575
input.cityr1.gz,input.cityr2.gz,0.68
input.cityr2.gz,input.cityr1.gz,0.68
input.cityr1.gz,input.clarta.gz,0.7150000000000001
input.clarta.gz,input.cityr1.gz,0.7150000000000001
input.cityr1.gz,input.crnlqr.gz,0.6875
input.crnlqr.gz,input.cityr1.gz,0.6875
input.cityr1.gz,input.crnlrr.gz,0.6925
input.crnlrr.gz,input.cityr1.gz,0.6925
input.cityr1.gz,input.dortr1.gz,0.7125
input.dortr1.gz,input.cityr1.gz,0.7125
input.cityr1.gz,input.erimr1.gz,0.67
input.erimr1.gz,input.cityr1.gz,0.67
input.cityr1.gz,input.eth003.gz,0.665
input.eth003.gz,input.cityr1.gz,0.665
input.cityr1.gz,input.eth004.gz,0.6975
input.eth004.gz,input.cityr1.gz,0.6975
input.cityr1.gz,input.fdf1.gz,0.665
input.fdf1.gz,input.cityr1.gz,0.665
input.cityr1.gz,input.fdf2.gz,0.6575
input.fdf2.gz,input.cityr1.gz,0.6575
input.cityr1.gz,input.inq103.gz,0.6950000000000001
input.inq103.gz,input.cityr1.gz,0.6950000000000001
input.cityr1.gz,input.inq104.gz,0.7
input.inq104.gz,input.cityr1.gz,0.7
input.cityr1.gz,input.losPA1.gz,0.6924999999999999
input.losPA1.gz,input.cityr1.gz,0.6924999999999999
input.cityr1.gz,input.lsir1.gz,0.67
input.lsir1.gz,input.cityr1.gz,0.67
input.cityr1.gz,input.lsir2.gz,0.7074999999999999
input.lsir2.gz,input.cityr1.gz,0.7074999999999999
input.cityr1.gz,input.nyuir1.gz,0.655
input.nyuir1.gz,input.cityr1.gz,0.655
input.cityr1.gz,input.nyuir2.gz,0.6925000000000001
input.nyuir2.gz,input.cityr1.gz,0.6925000000000001
input.cityr1.gz,input.pircs3.gz,0.6675000000000001
input.pircs3.gz,input.cityr1.gz,0.6675000000000001
input.cityr1.gz,input.pircs4.gz,0.6975
input.pircs4.gz,input.cityr1.gz,0.6975
input.cityr1.gz,input.rutfur1.gz,0.6775
input.rutfur1.gz,input.cityr1.gz,0.6775
input.cityr1.gz,input.rutfur2.gz,0.6725
input.rutfur2.gz,input.cityr1.gz,0.6725
input.cityr1.gz,input.ucf101.gz,0.7025
input.ucf101.gz,input.cityr1.gz,0.7025
input.cityr1.gz,input.westp2.gz,0.6900000000000001
input.westp2.gz,input.cityr1.gz,0.6900000000000001
input.cityr1.gz,input.xerox1.gz,0.6
