r1,r2,score
input.acqnt2.gz,input.brkly8.gz,0.6525000000000001
input.brkly8.gz,input.acqnt2.gz,0.6525000000000001
input.acqnt2.gz,input.cityi1.gz,0.5549999999999999
input.cityi1.gz,input.acqnt2.gz,0.5549999999999999
input.acqnt2.gz,input.cityr1.gz,0.65
input.cityr1.gz,input.acqnt2.gz,0.65
input.acqnt2.gz,input.cityr2.gz,0.635
input.cityr2.gz,input.acqnt2.gz,0.635
input.acqnt2.gz,input.clarta.gz,0.5900000000000001
input.clarta.gz,input.acqnt2.gz,0.5900000000000001
input.acqnt2.gz,input.crnlqr.gz,0.615
input.crnlqr.gz,input.acqnt2.gz,0.615
input.acqnt2.gz,input.crnlrr.gz,0.6
input.crnlrr.gz,input.acqnt2.gz,0.6
input.acqnt2.gz,input.dortr1.gz,0.605
input.dortr1.gz,input.acqnt2.gz,0.605
input.acqnt2.gz,input.erimr1.gz,0.56
input.erimr1.gz,input.acqnt2.gz,0.56
input.acqnt2.gz,input.eth003.gz,0.5900000000000001
input.eth003.gz,input.acqnt2.gz,0.5900000000000001
input.acqnt2.gz,input.eth004.gz,0.5775
input.eth004.gz,input.acqnt2.gz,0.5775
input.acqnt2.gz,input.fdf1.gz,0.585
input.fdf1.gz,input.acqnt2.gz,0.585
input.acqnt2.gz,input.fdf2.gz,0.5900000000000001
input.fdf2.gz,input.acqnt2.gz,0.5900000000000001
input.acqnt2.gz,input.inq103.gz,0.6174999999999999
input.inq103.gz,input.acqnt2.gz,0.6174999999999999
input.acqnt2.gz,input.inq104.gz,0.6125
input.inq104.gz,input.acqnt2.gz,0.6125
input.acqnt2.gz,input.losPA1.gz,0.605
input.losPA1.gz,input.acqnt2.gz,0.605
input.acqnt2.gz,input.lsir1.gz,0.5824999999999999
input.lsir1.gz,input.acqnt2.gz,0.5824999999999999
input.acqnt2.gz,input.lsir2.gz,0.6275000000000001
input.lsir2.gz,input.acqnt2.gz,0.6275000000000001
input.acqnt2.gz,input.nyuir1.gz,0.5725
input.nyuir1.gz,input.acqnt2.gz,0.5725
input.acqnt2.gz,input.nyuir2.gz,0.5875
input.nyuir2.gz,input.acqnt2.gz,0.5875
input.acqnt2.gz,input.pircs3.gz,0.5974999999999999
input.pircs3.gz,input.acqnt2.gz,0.5974999999999999
input.acqnt2.gz,input.pircs4.gz,0.595
input.pircs4.gz,input.acqnt2.gz,0.595
input.acqnt2.gz,input.rutfur1.gz,0.5525
input.rutfur1.gz,input.acqnt2.gz,0.5525
input.acqnt2.gz,input.rutfur2.gz,0.5349999999999999
input.rutfur2.gz,input.acqnt2.gz,0.5349999999999999
input.acqnt2.gz,input.ucf101.gz,0.605
input.ucf101.gz,input.acqnt2.gz,0.605
input.acqnt2.gz,input.westp2.gz,0.625
input.westp2.gz,input.acqnt2.gz,0.625
input.acqnt2.gz,input.xerox1.gz,0.5900000000000001
input.xerox1.gz,input.acqnt2.gz,0.5900000000000001
input.acqnt2.gz,input.xerox2.gz,0.5950000000000001
input.xerox2.gz,input.acqnt2.gz,0.5950000000000001
input.brkly8.gz,input.cityi1.gz,0.6375
input.cityi1.gz,input.brkly8.gz,0.6375
input.brkly8.gz,input.cityr1.gz,0.6775
input.cityr1.gz,input.brkly8.gz,0.6775
input.brkly8.gz,input.cityr2.gz,0.65
input.cityr2.gz,input.brkly8.gz,0.65
input.brkly8.gz,input.clarta.gz,0.6525000000000001
input.clarta.gz,input.brkly8.gz,0.6525000000000001
input.brkly8.gz,input.crnlqr.gz,0.6625
input.crnlqr.gz,input.brkly8.gz,0.6625
input.brkly8.gz,input.crnlrr.gz,0.6599999999999999
input.crnlrr.gz,input.brkly8.gz,0.6599999999999999
input.brkly8.gz,input.dortr1.gz,0.6675
input.dortr1.gz,input.brkly8.gz,0.6675
input.brkly8.gz,input.erimr1.gz,0.6325000000000001
input.erimr1.gz,input.brkly8.gz,0.6325000000000001
input.brkly8.gz,input.eth003.gz,0.62
input.eth003.gz,input.brkly8.gz,0.62
input.brkly8.gz,input.eth004.gz,0.63
input.eth004.gz,input.brkly8.gz,0.63
input.brkly8.gz,input.fdf1.gz,0.61
input.fdf1.gz,input.brkly8.gz,0.61
input.brkly8.gz,input.fdf2.gz,0.615
input.fdf2.gz,input.brkly8.gz,0.615
input.brkly8.gz,input.inq103.gz,0.6575
input.inq103.gz,input.brkly8.gz,0.6575
input.brkly8.gz,input.inq104.gz,0.6475
input.inq104.gz,input.brkly8.gz,0.6475
input.brkly8.gz,input.losPA1.gz,0.6799999999999999
input.losPA1.gz,input.brkly8.gz,0.6799999999999999
input.brkly8.gz,input.lsir1.gz,0.6425
input.lsir1.gz,input.brkly8.gz,0.6425
input.brkly8.gz,input.lsir2.gz,0.6775
input.lsir2.gz,input.brkly8.gz,0.6775
input.brkly8.gz,input.nyuir1.gz,0.615
input.nyuir1.gz,input.brkly8.gz,0.615
input.brkly8.gz,input.nyuir2.gz,0.645
input.nyuir2.gz,input.brkly8.gz,0.645
input.brkly8.gz,input.pircs3.gz,0.6475
input.pircs3.gz,input.brkly8.gz,0.6475
input.brkly8.gz,input.pircs4.gz,0.6475
input.pircs4.gz,input.brkly8.gz,0.6475
input.brkly8.gz,input.rutfur1.gz,0.62
input.rutfur1.gz,input.brkly8.gz,0.62
input.brkly8.gz,input.rutfur2.gz,0.625
input.rutfur2.gz,input.brkly8.gz,0.625
input.brkly8.gz,input.ucf101.gz,0.6475
input.ucf101.gz,input.brkly8.gz,0.6475
input.brkly8.gz,input.westp2.gz,0.635
input.westp2.gz,input.brkly8.gz,0.635
input.brkly8.gz,input.xerox1.gz,0.6275000000000001
input.xerox1.gz,input.brkly8.gz,0.6275000000000001
input.brkly8.gz,input.xerox2.gz,0.6275000000000001
input.xerox2.gz,input.brkly8.gz,0.6275000000000001
input.cityi1.gz,input.cityr1.gz,0.64
input.cityr1.gz,input.cityi1.gz,0.64
input.cityi1.gz,input.cityr2.gz,0.59
input.cityr2.gz,input.cityi1.gz,0.59
input.cityi1.gz,input.clarta.gz,0.575
input.clarta.gz,input.cityi1.gz,0.575
input.cityi1.gz,input.crnlqr.gz,0.5675000000000001
input.crnlqr.gz,input.cityi1.gz,0.5675000000000001
input.cityi1.gz,input.crnlrr.gz,0.5725
input.crnlrr.gz,input.cityi1.gz,0.5725
input.cityi1.gz,input.dortr1.gz,0.5650000000000001
input.dortr1.gz,input.cityi1.gz,0.5650000000000001
input.cityi1.gz,input.erimr1.gz,0.5175000000000001
input.erimr1.gz,input.cityi1.gz,0.5175000000000001
input.cityi1.gz,input.eth003.gz,0.5375
input.eth003.gz,input.cityi1.gz,0.5375
input.cityi1.gz,input.eth004.gz,0.5275
input.eth004.gz,input.cityi1.gz,0.5275
input.cityi1.gz,input.fdf1.gz,0.5675
input.fdf1.gz,input.cityi1.gz,0.5675
input.cityi1.gz,input.fdf2.gz,0.575
input.fdf2.gz,input.cityi1.gz,0.575
input.cityi1.gz,input.inq103.gz,0.5700000000000001
input.inq103.gz,input.cityi1.gz,0.5700000000000001
input.cityi1.gz,input.inq104.gz,0.555
input.inq104.gz,input.cityi1.gz,0.555
input.cityi1.gz,input.losPA1.gz,0.58
input.losPA1.gz,input.cityi1.gz,0.58
input.cityi1.gz,input.lsir1.gz,0.525
input.lsir1.gz,input.cityi1.gz,0.525
input.cityi1.gz,input.lsir2.gz,0.61
input.lsir2.gz,input.cityi1.gz,0.61
input.cityi1.gz,input.nyuir1.gz,0.5475
input.nyuir1.gz,input.cityi1.gz,0.5475
input.cityi1.gz,input.nyuir2.gz,0.5575
input.nyuir2.gz,input.cityi1.gz,0.5575
input.cityi1.gz,input.pircs3.gz,0.5625
input.pircs3.gz,input.cityi1.gz,0.5625
input.cityi1.gz,input.pircs4.gz,0.5725
input.pircs4.gz,input.cityi1.gz,0.5725
input.cityi1.gz,input.rutfur1.gz,0.5199999999999999
input.rutfur1.gz,input.cityi1.gz,0.5199999999999999
input.cityi1.gz,input.rutfur2.gz,0.5125
input.rutfur2.gz,input.cityi1.gz,0.5125
input.cityi1.gz,input.ucf101.gz,0.5700000000000001
input.ucf101.gz,input.cityi1.gz,0.5700000000000001
input.cityi1.gz,input.westp2.gz,0.5575
input.westp2.gz,input.cityi1.gz,0.5575
input.cityi1.gz,input.xerox1.gz,0.5149999999999999
input.xerox1.gz,input.cityi1.gz,0.5149999999999999
input.cityi1.gz,input.xerox2.gz,0.5275000000000001
input.xerox2.gz,input.cityi1.gz,0.5275000000000001
input.cityr1.gz,input.cityr2.gz,0.635
input.cityr2.gz,input.cityr1.gz,0.635
input.cityr1.gz,input.clarta.gz,0.665
input.clarta.gz,input.cityr1.gz,0.665
input.cityr1.gz,input.crnlqr.gz,0.645
input.crnlqr.gz,input.cityr1.gz,0.645
input.cityr1.gz,input.crnlrr.gz,0.6475
input.crnlrr.gz,input.cityr1.gz,0.6475
input.cityr1.gz,input.dortr1.gz,0.6575
input.dortr1.gz,input.cityr1.gz,0.6575
input.cityr1.gz,input.erimr1.gz,0.6275000000000001
input.erimr1.gz,input.cityr1.gz,0.6275000000000001
input.cityr1.gz,input.eth003.gz,0.6224999999999999
input.eth003.gz,input.cityr1.gz,0.6224999999999999
input.cityr1.gz,input.eth004.gz,0.6575
input.eth004.gz,input.cityr1.gz,0.6575
input.cityr1.gz,input.fdf1.gz,0.625
input.fdf1.gz,input.cityr1.gz,0.625
input.cityr1.gz,input.fdf2.gz,0.6224999999999999
input.fdf2.gz,input.cityr1.gz,0.6224999999999999
input.cityr1.gz,input.inq103.gz,0.6475000000000001
input.inq103.gz,input.cityr1.gz,0.6475000000000001
input.cityr1.gz,input.inq104.gz,0.645
input.inq104.gz,input.cityr1.gz,0.645
input.cityr1.gz,input.losPA1.gz,0.6775
input.losPA1.gz,input.cityr1.gz,0.6775
input.cityr1.gz,input.lsir1.gz,0.6325
input.lsir1.gz,input.cityr1.gz,0.6325
input.cityr1.gz,input.lsir2.gz,0.6849999999999999
input.lsir2.gz,input.cityr1.gz,0.6849999999999999
input.cityr1.gz,input.nyuir1.gz,0.6449999999999999
input.nyuir1.gz,input.cityr1.gz,0.6449999999999999
input.cityr1.gz,input.nyuir2.gz,0.6575
input.nyuir2.gz,input.cityr1.gz,0.6575
input.cityr1.gz,input.pircs3.gz,0.64
input.pircs3.gz,input.cityr1.gz,0.64
input.cityr1.gz,input.pircs4.gz,0.65
input.pircs4.gz,input.cityr1.gz,0.65
input.cityr1.gz,input.rutfur1.gz,0.6425
input.rutfur1.gz,input.cityr1.gz,0.6425
input.cityr1.gz,input.rutfur2.gz,0.6225
input.rutfur2.gz,input.cityr1.gz,0.6225
input.cityr1.gz,input.ucf101.gz,0.6675000000000001
input.ucf101.gz,input.cityr1.gz,0.6675000000000001
input.cityr1.gz,input.westp2.gz,0.6525
input.westp2.gz,input.cityr1.gz,0.6525
input.cityr1.gz,input.xerox1.gz,0.6599999999999999
input.xerox1.gz,input.cityr1.gz,0.6599999999999999
input.cityr1.gz,input.xerox2.gz,0.6475
input.xerox2.gz,input.cityr1.gz,0.6475
input.cityr2.gz,input.clarta.gz,0.6375
input.clarta.gz,input.cityr2.gz,0.6375
input.cityr2.gz,input.crnlqr.gz,0.635
input.crnlqr.gz,input.cityr2.gz,0.635
input.cityr2.gz,input.crnlrr.gz,0.6375
input.crnlrr.gz,input.cityr2.gz,0.6375
input.cityr2.gz,input.dortr1.gz,0.645
input.dortr1.gz,input.cityr2.gz,0.645
input.cityr2.gz,input.erimr1.gz,0.615
input.erimr1.gz,input.cityr2.gz,0.615
input.cityr2.gz,input.eth003.gz,0.5900000000000001
input.eth003.gz,input.cityr2.gz,0.5900000000000001
input.cityr2.gz,input.eth004.gz,0.61
input.eth004.gz,input.cityr2.gz,0.61
input.cityr2.gz,input.fdf1.gz,0.61
input.fdf1.gz,input.cityr2.gz,0.61
input.cityr2.gz,input.fdf2.gz,0.6050000000000001
input.fdf2.gz,input.cityr2.gz,0.6050000000000001
input.cityr2.gz,input.inq103.gz,0.6224999999999999
input.inq103.gz,input.cityr2.gz,0.6224999999999999
