r1,weight
input.acqnt2.gz,5.603016084429102
input.brkly8.gz,6.396067773742117
input.cityi1.gz,5.517903765368622
input.cityr1.gz,6.999505962925457
input.cityr2.gz,6.445689410954694
input.clarta.gz,6.047269331768369
input.crnlqr.gz,6.256088456529932
input.crnlrr.gz,6.156473927060076
input.dortr1.gz,6.3937569849285
input.erimr1.gz,5.587672807243755
input.eth003.gz,5.832472849690532
input.eth004.gz,5.7049081651098295
input.fdf1.gz,5.8511557802876375
input.fdf2.gz,5.8570994041281965
input.inq103.gz,5.831887034347396
input.inq104.gz,5.818739523620992
input.losPA1.gz,6.470851036238464
input.lsir1.gz,5.947128651334789
input.lsir2.gz,6.327282521882338
input.nyuir1.gz,5.392103278213587
input.nyuir2.gz,5.556533637348523
input.pircs3.gz,6.17942717632024
input.pircs4.gz,6.213811012059699
input.rutfur1.gz,5.2607421143349935
input.rutfur2.gz,5.245887079725896
input.ucf101.gz,6.219300793093255
input.westp2.gz,5.701298535957943
input.xerox1.gz,5.430801749617712
input.xerox2.gz,5.564884180051231
