r1,weight
input.acqnt2.gz,6.227365637159079
input.brkly8.gz,7.349547942566583
input.cityi1.gz,5.868311288210914
input.cityr1.gz,7.773711565138227
input.cityr2.gz,7.068557881749344
input.clarta.gz,6.631330600296368
input.crnlqr.gz,6.767201858154692
input.crnlrr.gz,6.7020630279272
input.dortr1.gz,6.937961981702106
input.erimr1.gz,6.036620939543672
input.eth003.gz,6.3045072311848305
input.eth004.gz,6.051453935117537
input.fdf1.gz,6.394886653042578
input.fdf2.gz,6.415987971403341
input.inq103.gz,6.831684183053698
input.inq104.gz,6.774327062715145
input.losPA1.gz,6.935261326664598
input.lsir1.gz,6.358568839720907
input.lsir2.gz,7.03352057555753
input.nyuir1.gz,5.779622452025959
input.nyuir2.gz,5.994780475890188
input.pircs3.gz,6.702841524961041
input.pircs4.gz,6.686926938543575
input.rutfur1.gz,5.812043677453184
input.rutfur2.gz,5.795942446448858
input.ucf101.gz,6.7818264471082
input.westp2.gz,6.509798001493694
input.xerox1.gz,6.210581626074368
input.xerox2.gz,6.302455733365798
