r1,weight
input.acqnt2.gz,6.140163821529901
input.brkly8.gz,7.304012725325568
input.cityi1.gz,5.876424759014333
input.cityr1.gz,7.747675290509993
input.cityr2.gz,7.018654250396593
input.clarta.gz,6.533663638203537
input.crnlqr.gz,6.7610780805473985
input.crnlrr.gz,6.679788072679282
input.dortr1.gz,6.918603132645118
input.erimr1.gz,6.104719374744975
input.eth003.gz,6.270537149713916
input.eth004.gz,6.238534735563438
input.fdf1.gz,6.418025284699358
input.fdf2.gz,6.421243046986265
input.inq103.gz,6.817183719356633
input.inq104.gz,6.7746361359958085
input.losPA1.gz,6.83052792659136
input.lsir1.gz,6.325681918951137
input.lsir2.gz,7.049175753171903
input.nyuir1.gz,5.766238034617951
input.nyuir2.gz,5.9784674341073485
input.pircs3.gz,6.731211120538862
input.pircs4.gz,6.688716684667053
input.rutfur1.gz,5.876342696000302
input.rutfur2.gz,5.832136155185679
input.ucf101.gz,6.805242529097457
input.westp2.gz,6.5043681692664475
input.xerox1.gz,6.3351152445379055
input.xerox2.gz,6.388389282944487
