r1,weight
input.acqnt2.gz,19.4475
input.brkly8.gz,20.72
input.cityi1.gz,17.84
input.cityr1.gz,20.8175
input.cityr2.gz,19.9125
input.clarta.gz,19.2775
input.crnlqr.gz,19.5375
input.crnlrr.gz,19.16
input.dortr1.gz,19.4625
input.erimr1.gz,17.655
input.eth003.gz,17.93
input.eth004.gz,17.875
input.fdf1.gz,19.1575
input.fdf2.gz,19.225
input.inq103.gz,19.7175
input.inq104.gz,19.3025
input.losPA1.gz,19.6625
input.lsir1.gz,17.895
input.lsir2.gz,20.41
input.nyuir1.gz,17.4775
input.nyuir2.gz,18.395
input.pircs3.gz,19.235
input.pircs4.gz,19.0175
input.rutfur1.gz,17.3275
input.rutfur2.gz,17.252499999999998
input.ucf101.gz,19.0925
input.westp2.gz,19.1975
input.xerox1.gz,18.2275
input.xerox2.gz,18.21
