r1,weight
input.acqnt2.gz,18.7525
input.brkly8.gz,19.8625
input.cityi1.gz,17.655
input.cityr1.gz,19.6375
input.cityr2.gz,18.99
input.clarta.gz,18.4775
input.crnlqr.gz,18.68
input.crnlrr.gz,18.5375
input.dortr1.gz,18.8075
input.erimr1.gz,17.2725
input.eth003.gz,17.17
input.eth004.gz,17.345
input.fdf1.gz,18.2425
input.fdf2.gz,18.267500000000002
input.inq103.gz,18.605
input.inq104.gz,18.64
input.losPA1.gz,18.7925
input.lsir1.gz,17.04
input.lsir2.gz,19.765
input.nyuir1.gz,16.625
input.nyuir2.gz,17.7675
input.pircs3.gz,18.5525
input.pircs4.gz,18.4725
input.rutfur1.gz,16.54
input.rutfur2.gz,16.43
input.ucf101.gz,18.535
input.westp2.gz,18.267500000000002
input.xerox1.gz,17.517500000000002
input.xerox2.gz,17.675
