r1,weight
input.acqnt2.gz,18.89
input.brkly8.gz,20.13
input.cityi1.gz,17.9225
input.cityr1.gz,19.9125
input.cityr2.gz,19.225
input.clarta.gz,18.7675
input.crnlqr.gz,18.82
input.crnlrr.gz,18.7225
input.dortr1.gz,18.9575
input.erimr1.gz,17.392500000000002
input.eth003.gz,17.4475
input.eth004.gz,17.5425
input.fdf1.gz,18.39
input.fdf2.gz,18.4225
input.inq103.gz,18.78
input.inq104.gz,18.695
input.losPA1.gz,18.8425
input.lsir1.gz,17.28
input.lsir2.gz,20.06
input.nyuir1.gz,16.9525
input.nyuir2.gz,17.9525
input.pircs3.gz,18.634999999999998
input.pircs4.gz,18.57
input.rutfur1.gz,17.075
input.rutfur2.gz,16.95
input.ucf101.gz,18.6925
input.westp2.gz,18.4875
input.xerox1.gz,17.715
input.xerox2.gz,17.8375
