r1,weight
input.acqnt2.gz,18.7175
input.brkly8.gz,18.96
input.cityi1.gz,17.6975
input.cityr1.gz,19.76
input.cityr2.gz,19.005
input.clarta.gz,18.585
input.crnlqr.gz,18.575
input.crnlrr.gz,18.497500000000002
input.dortr1.gz,18.8
input.erimr1.gz,16.81
input.eth003.gz,17.115000000000002
input.eth004.gz,17.2425
input.fdf1.gz,18.02
input.fdf2.gz,18.0375
input.inq103.gz,17.9175
input.inq104.gz,17.7925
input.losPA1.gz,18.439999999999998
input.lsir1.gz,16.919999999999998
input.lsir2.gz,19.1625
input.nyuir1.gz,16.23
input.nyuir2.gz,17.5125
input.pircs3.gz,18.175
input.pircs4.gz,18.35
input.rutfur1.gz,16.665
input.rutfur2.gz,16.5675
input.ucf101.gz,18.2225
input.westp2.gz,17.6125
input.xerox1.gz,15.780000000000001
input.xerox2.gz,16.0625
