r1,weight
input.acqnt2.gz,5.4243900370843585
input.brkly8.gz,6.554460353229842
input.cityi1.gz,5.161420808516391
input.cityr1.gz,6.7491156309311995
input.cityr2.gz,6.25461347683551
input.clarta.gz,5.691225382884534
input.crnlqr.gz,6.020699085065945
input.crnlrr.gz,5.988318953709751
input.dortr1.gz,6.22770367663952
input.erimr1.gz,5.4555723351885295
input.eth003.gz,5.6168954634461254
input.eth004.gz,5.575797630661786
input.fdf1.gz,5.60808516358323
input.fdf2.gz,5.665703430942863
input.inq103.gz,5.962944141012156
input.inq104.gz,5.985138576739403
input.losPA1.gz,6.306740782031492
input.lsir1.gz,5.849212965296829
input.lsir2.gz,6.3594432552572995
input.nyuir1.gz,5.173796005376652
input.nyuir2.gz,5.3572340804893095
input.pircs3.gz,5.986157488139336
input.pircs4.gz,5.96358573334067
input.rutfur1.gz,5.010327696081892
input.rutfur2.gz,4.9570118413936815
input.ucf101.gz,6.211827869385988
input.westp2.gz,5.789920235318715
input.xerox1.gz,5.691919591926766
input.xerox2.gz,5.752494939632811
