,score
input.aplrob03a.gz,0.26277460191943164
input.aplrob03b.gz,0.20465631706935988
input.aplrob03c.gz,0.20938053730015316
input.aplrob03d.gz,0.22639876466726888
input.aplrob03e.gz,0.20864619315718827
input.fub03IeOLKe3.gz,0.21878667375205488
input.fub03InB2e3.gz,0.20910718096432634
input.fub03IneOBu3.gz,0.20336107685457935
input.fub03IneOLe3.gz,0.2137719621122227
input.fub03InOLe3.gz,0.21868818330270115
input.humR03d.gz,0.19941661146560913
input.humR03de.gz,0.2273729761809795
input.InexpC2.gz,0.1994806396024702
input.InexpC2QE.gz,0.20800991834856078
input.MU03rob01.gz,0.16985386541417774
input.MU03rob02.gz,0.19410471571653082
input.MU03rob04.gz,0.18817813930683452
input.MU03rob05.gz,0.18058189591375506
input.UIUC03Rd1.gz,0.21546046328490503
input.UIUC03Rd2.gz,0.2137374538884916
input.UIUC03Rd3.gz,0.22117572324957085
input.UIUC03Rt1.gz,0.17688671945848136
input.UIUC03Rtd1.gz,0.2370480990950062
