,score
input.aplrob03a.gz,0.48375
input.aplrob03b.gz,0.36124999999999996
input.aplrob03c.gz,0.3975
input.aplrob03d.gz,0.40374999999999994
input.aplrob03e.gz,0.3625
input.fub03IeOLKe3.gz,0.4262499999999999
input.fub03InB2e3.gz,0.41500000000000004
input.fub03IneOBu3.gz,0.39875
input.fub03IneOLe3.gz,0.41875
input.fub03InOLe3.gz,0.42750000000000005
input.humR03d.gz,0.3875
input.humR03dc.gz,0.20500000000000002
input.humR03de.gz,0.42374999999999996
input.InexpC2.gz,0.36124999999999996
input.InexpC2QE.gz,0.375
input.MU03rob01.gz,0.34875
input.MU03rob02.gz,0.42125
input.MU03rob03.gz,0.36124999999999996
input.MU03rob04.gz,0.40374999999999994
input.MU03rob05.gz,0.37625000000000003
input.NLPR03vb10.gz,0.40625
input.NLPR03vb25.gz,0.40625
input.NLPR03vb50.gz,0.40625
input.NLPR03w16.gz,0.3875
input.NLPR03w49.gz,0.3875
input.UIUC03Rd1.gz,0.38125
input.UIUC03Rd2.gz,0.38625
input.UIUC03Rd3.gz,0.39249999999999996
input.UIUC03Rt1.gz,0.36375
input.UIUC03Rtd1.gz,0.4362500000000001
