query,q0,docid,rank,score,system
303,Q0,LA041490-0064,1,13476.698750000001,borda
303,Q0,LA042590-0135,2,13464.103750000002,borda
303,Q0,LA033090-0082,3,13447.761250000005,borda
303,Q0,LA040190-0178,4,13446.872500000003,borda
303,Q0,LA041090-0148,5,13439.806250000001,borda
303,Q0,LA041990-0151,6,13409.712500000001,borda
303,Q0,FT934-5418,7,13384.298750000004,borda
303,Q0,LA042590-0152,8,13381.663750000002,borda
303,Q0,LA041690-0035,9,13363.600000000002,borda
303,Q0,LA071090-0047,10,13348.002500000004,borda
303,Q0,LA042290-0160,11,13344.71625,borda
303,Q0,LA070990-0052,12,13341.01125,borda
303,Q0,LA052890-0021,13,13293.42875,borda
303,Q0,LA041190-0003,14,13278.218750000002,borda
303,Q0,FT921-7107,15,13275.120000000006,borda
303,Q0,LA042790-0070,16,13248.84625,borda
303,Q0,LA071490-0091,17,13245.431250000001,borda
303,Q0,LA070890-0154,18,13219.850000000004,borda
303,Q0,LA040590-0220,19,13213.107500000004,borda
303,Q0,LA050390-0109,20,13202.14125,borda
303,Q0,LA041590-0161,21,13199.017499999998,borda
303,Q0,LA042390-0060,22,13176.663750000002,borda
303,Q0,LA081090-0078,23,13163.625000000004,borda
303,Q0,LA062990-0180,24,13154.582500000002,borda
303,Q0,FT934-2516,25,13148.78375,borda
303,Q0,LA012090-0105,26,13148.683750000002,borda
303,Q0,LA032790-0023,27,13146.635,borda
303,Q0,LA051389-0037,28,13138.841250000001,borda
303,Q0,LA051590-0074,29,13090.553750000005,borda
303,Q0,LA042390-0041,30,13080.575,borda
303,Q0,LA011990-0173,31,13075.93625,borda
303,Q0,LA110590-0076,32,13023.351250000005,borda
303,Q0,LA080990-0222,33,13013.470000000001,borda
303,Q0,FBIS4-46650,34,12992.42625,borda
303,Q0,LA070590-0031,35,12990.436250000002,borda
303,Q0,LA072590-0006,36,12990.425000000005,borda
303,Q0,LA070390-0084,37,12975.79,borda
303,Q0,FBIS3-42547,38,12974.982500000006,borda
303,Q0,FT944-128,39,12972.35125,borda
303,Q0,LA053090-0037,40,12966.938750000001,borda
303,Q0,LA070790-0083,41,12952.827500000001,borda
303,Q0,LA063090-0004,42,12920.42375,borda
303,Q0,LA081090-0079,43,12917.231249999999,borda
303,Q0,LA070590-0036,44,12900.901250000004,borda
303,Q0,LA102290-0066,45,12894.31375,borda
303,Q0,LA112190-0043,46,12889.78625,borda
303,Q0,LA072890-0078,47,12886.240000000002,borda
303,Q0,LA042690-0141,48,12874.366250000003,borda
303,Q0,LA122990-0029,49,12872.178750000003,borda
303,Q0,LA051490-0110,50,12840.78875,borda
303,Q0,LA072690-0133,51,12830.955000000004,borda
303,Q0,LA070590-0033,52,12818.157500000001,borda
303,Q0,FT934-4132,53,12816.27625,borda
303,Q0,LA080990-0242,54,12782.73,borda
303,Q0,FT924-286,55,12774.35625,borda
303,Q0,FT934-3766,56,12772.485000000002,borda
303,Q0,FT931-6554,57,12762.108750000001,borda
303,Q0,LA010689-0016,58,12759.312500000002,borda
303,Q0,FT941-15661,59,12729.521250000002,borda
303,Q0,FT934-3191,60,12728.575000000003,borda
303,Q0,LA072590-0005,61,12725.8075,borda
303,Q0,LA031490-0065,62,12696.914999999999,borda
303,Q0,LA051290-0079,63,12685.698750000003,borda
303,Q0,FT934-4015,64,12636.616250000001,borda
303,Q0,LA043090-0018,65,12627.14125,borda
303,Q0,LA060890-0124,66,12625.873750000002,borda
303,Q0,LA071390-0122,67,12590.21,borda
303,Q0,FT921-3432,68,12572.710000000003,borda
303,Q0,LA050589-0092,69,12428.16875,borda
303,Q0,FT933-6678,70,12420.642499999998,borda
303,Q0,LA071690-0048,71,12416.983750000005,borda
303,Q0,LA090790-0049,72,12411.779999999999,borda
303,Q0,FT933-3699,73,12408.117500000002,borda
303,Q0,LA121190-0089,74,12405.66625,borda
303,Q0,LA090690-0100,75,12402.52625,borda
303,Q0,LA031989-0181,76,12398.271250000003,borda
303,Q0,LA090489-0037,77,12397.928750000003,borda
303,Q0,LA050589-0090,78,12382.885,borda
303,Q0,FT941-17652,79,12382.585000000003,borda
303,Q0,LA092690-0092,80,12381.080000000004,borda
303,Q0,LA061589-0050,81,12371.800000000001,borda
303,Q0,LA090390-0035,82,12369.720000000003,borda
303,Q0,LA060290-0131,83,12358.0025,borda
303,Q0,LA120390-0065,84,12336.478750000002,borda
303,Q0,LA121190-0079,85,12324.938750000005,borda
303,Q0,LA121190-0160,86,12303.813750000001,borda
303,Q0,LA120390-0126,87,12235.211250000006,borda
303,Q0,LA050889-0068,88,12232.815,borda
303,Q0,LA053090-0104,89,12177.4225,borda
303,Q0,LA101790-0151,90,12164.87625,borda
303,Q0,LA052390-0127,91,12155.5725,borda
303,Q0,LA120590-0110,92,12144.23125,borda
303,Q0,LA081290-0215,93,12135.492499999998,borda
303,Q0,LA101290-0125,94,12131.5575,borda
303,Q0,FT933-678,95,12102.216250000003,borda
303,Q0,LA020989-0012,96,12096.658750000002,borda
303,Q0,LA120990-0163,97,12091.57125,borda
303,Q0,FBIS3-61020,98,12086.315,borda
303,Q0,LA091890-0053,99,12084.312500000002,borda
303,Q0,LA120890-0048,100,12078.5825,borda
303,Q0,LA070989-0062,101,12050.472500000002,borda
303,Q0,FBIS3-21026,102,12023.165000000003,borda
303,Q0,LA082890-0147,103,12017.885000000006,borda
303,Q0,FBIS3-40348,104,11999.895000000002,borda
303,Q0,FT934-4583,105,11997.496250000002,borda
303,Q0,FBIS4-68332,106,11995.83875,borda
303,Q0,FT934-2685,107,11972.348750000001,borda
303,Q0,LA051290-0077,108,11956.990000000002,borda
303,Q0,LA111789-0042,109,11890.046250000003,borda
303,Q0,LA051390-0223,110,11876.6475,borda
303,Q0,LA042290-0096,111,11862.585000000003,borda
303,Q0,FT933-6946,112,11847.443750000004,borda
303,Q0,FT933-6323,113,11831.661249999997,borda
303,Q0,FBIS3-21007,114,11819.565,borda
303,Q0,FT933-2180,115,11816.380000000001,borda
303,Q0,FBIS4-44743,116,11798.340000000002,borda
303,Q0,LA030990-0068,117,11786.27,borda
303,Q0,LA072190-0065,118,11781.753750000002,borda
303,Q0,FT941-3758,119,11775.636250000003,borda
303,Q0,FBIS4-57001,120,11768.275000000001,borda
303,Q0,LA122589-0068,121,11747.692500000001,borda
303,Q0,FBIS3-40363,122,11732.913750000002,borda
303,Q0,LA012790-0042,123,11650.9575,borda
303,Q0,LA071990-0250,124,11634.508750000005,borda
303,Q0,FT933-10324,125,11634.013750000004,borda
303,Q0,LA051090-0070,126,11594.625,borda
303,Q0,LA050190-0067,127,11462.890000000001,borda
303,Q0,FBIS4-44695,128,11458.763750000002,borda
303,Q0,LA061490-0072,129,11456.367500000002,borda
303,Q0,LA081790-0164,130,11427.2275,borda
303,Q0,FBIS3-40388,131,11407.017500000004,borda
303,Q0,LA080989-0058,132,11401.428750000003,borda
303,Q0,FBIS4-47495,133,11393.585000000001,borda
303,Q0,LA082490-0075,134,11380.142500000002,borda
303,Q0,LA072690-0124,135,11379.65125,borda
303,Q0,FT944-9936,136,11347.695,borda
303,Q0,FBIS4-68334,137,11310.78875,borda
303,Q0,FT922-13455,138,11283.510000000004,borda
303,Q0,FT934-3325,139,11281.18,borda
303,Q0,FT943-11292,140,11278.095,borda
303,Q0,LA010889-0081,141,11271.095000000005,borda
303,Q0,LA072390-0058,142,11222.072499999998,borda
303,Q0,FT941-5396,143,11209.4775,borda
303,Q0,LA080990-0232,144,11200.322500000004,borda
303,Q0,LA011590-0098,145,11186.443750000002,borda
303,Q0,FBIS4-44662,146,11183.4375,borda
303,Q0,FBIS4-46660,147,11161.750000000002,borda
303,Q0,FBIS4-47297,148,11097.328750000002,borda
303,Q0,FBIS4-47302,149,11078.950000000003,borda
303,Q0,LA032990-0152,150,11043.431250000001,borda
303,Q0,LA112690-0067,151,11003.4025,borda
