query,q0,docid,rank,score,system
303,Q0,LA041490-0064,1,224881.555,borda
303,Q0,LA040190-0178,2,224445.55374999996,borda
303,Q0,LA033090-0082,3,224381.82374999998,borda
303,Q0,LA042590-0135,4,224241.23500000002,borda
303,Q0,LA041090-0148,5,224133.85625,borda
303,Q0,LA041990-0151,6,223596.04375,borda
303,Q0,LA041690-0035,7,223319.15000000002,borda
303,Q0,LA042590-0152,8,223244.90125,borda
303,Q0,LA042290-0160,9,223171.02874999997,borda
303,Q0,FT934-5418,10,222878.28624999998,borda
303,Q0,LA071090-0047,11,222306.57750000004,borda
303,Q0,LA070990-0052,12,222262.66125,borda
303,Q0,LA041190-0003,13,222107.55624999997,borda
303,Q0,LA052890-0021,14,221051.94125000003,borda
303,Q0,LA071490-0091,15,221040.86875000002,borda
303,Q0,LA041590-0161,16,220911.37374999994,borda
303,Q0,LA070890-0154,17,220904.51249999998,borda
303,Q0,FT921-7107,18,220673.61375,borda
303,Q0,LA040590-0220,19,220583.90750000006,borda
303,Q0,LA042790-0070,20,220333.47749999998,borda
303,Q0,LA042390-0060,21,220298.22000000003,borda
303,Q0,LA032790-0023,22,220175.87874999997,borda
303,Q0,LA051389-0037,23,219964.99749999997,borda
303,Q0,LA050390-0109,24,219705.20375000002,borda
303,Q0,LA062990-0180,25,219583.79499999995,borda
303,Q0,LA012090-0105,26,219264.03375,borda
303,Q0,LA042390-0041,27,219140.53749999995,borda
303,Q0,LA081090-0078,28,218900.49375,borda
303,Q0,FT934-2516,29,218673.33374999996,borda
303,Q0,LA051590-0074,30,217950.45375,borda
303,Q0,LA080990-0222,31,217734.90125,borda
303,Q0,LA011990-0173,32,217649.66749999995,borda
303,Q0,LA070590-0031,33,216973.36750000005,borda
303,Q0,LA072590-0006,34,216650.26249999995,borda
303,Q0,LA070390-0084,35,216543.31499999997,borda
303,Q0,LA053090-0037,36,216497.53875,borda
303,Q0,LA070790-0083,37,216335.72750000004,borda
303,Q0,LA110590-0076,38,216240.08875,borda
303,Q0,LA081090-0079,39,216235.51249999995,borda
303,Q0,LA063090-0004,40,215777.14249999996,borda
303,Q0,FBIS4-46650,41,215581.43875,borda
303,Q0,FBIS3-42547,42,215213.2075,borda
303,Q0,LA072890-0078,43,215189.08375000002,borda
303,Q0,FT944-128,44,215044.41374999998,borda
303,Q0,LA070590-0036,45,215000.6575,borda
303,Q0,LA102290-0066,46,214994.06999999998,borda
303,Q0,LA112190-0043,47,214924.92375000002,borda
303,Q0,LA072690-0133,48,214709.16124999998,borda
303,Q0,LA122990-0029,49,214556.52875000003,borda
303,Q0,LA051490-0110,50,213851.2575,borda
303,Q0,LA070590-0033,51,213699.38874999995,borda
303,Q0,LA042690-0141,52,213644.8225,borda
303,Q0,LA080990-0242,53,213294.71125,borda
303,Q0,FT934-4132,54,213152.86375000002,borda
303,Q0,FT934-3766,55,212259.79750000002,borda
303,Q0,LA010689-0016,56,212089.69374999998,borda
303,Q0,FT924-286,57,212058.58125000002,borda
303,Q0,FT931-6554,58,211797.08999999994,borda
303,Q0,FT941-15661,59,211792.19624999992,borda
303,Q0,FT934-3191,60,211782.01875000002,borda
303,Q0,LA060890-0124,61,211725.47374999998,borda
303,Q0,LA072590-0005,62,211585.39500000002,borda
303,Q0,LA051290-0079,63,211129.88,borda
303,Q0,LA061589-0050,64,210843.67500000005,borda
303,Q0,LA092690-0092,65,210742.18000000002,borda
303,Q0,LA031490-0065,66,210513.37125,borda
303,Q0,FT934-4015,67,210489.99750000003,borda
303,Q0,LA043090-0018,68,210406.6725,borda
303,Q0,FT921-3432,69,210370.70375,borda
303,Q0,LA090690-0100,70,209102.00125,borda
303,Q0,LA090790-0049,71,209046.63625000004,borda
303,Q0,LA071390-0122,72,208495.7975,borda
303,Q0,LA121190-0089,73,208375.8725,borda
303,Q0,LA050589-0092,74,208278.36875,borda
303,Q0,LA031989-0181,75,208119.23374999998,borda
303,Q0,LA050589-0090,76,207633.05375000005,borda
303,Q0,LA071690-0048,77,207602.53375,borda
303,Q0,FT933-3699,78,207492.12374999997,borda
303,Q0,FT933-6678,79,207412.33625,borda
303,Q0,LA060290-0131,80,206205.02125000002,borda
303,Q0,LA090489-0037,81,205968.01000000004,borda
303,Q0,LA090390-0035,82,205302.845,borda
303,Q0,FT941-17652,83,205011.07875,borda
303,Q0,LA050889-0068,84,204962.8525,borda
303,Q0,LA120390-0065,85,204531.10374999998,borda
303,Q0,LA121190-0079,86,204418.02000000002,borda
303,Q0,FBIS3-61020,87,204410.17750000005,borda
303,Q0,LA121190-0160,88,204129.18874999997,borda
303,Q0,LA081290-0215,89,204080.87375,borda
303,Q0,LA101790-0151,90,204064.10125,borda
303,Q0,FT934-4583,91,203785.94625,borda
303,Q0,LA120390-0126,92,203765.18625000003,borda
303,Q0,LA101290-0125,93,203310.745,borda
303,Q0,FT933-678,94,203244.47874999998,borda
303,Q0,LA052390-0127,95,203150.135,borda
303,Q0,LA053090-0104,96,203015.05375000002,borda
303,Q0,FBIS3-21026,97,202953.10874999996,borda
303,Q0,LA091890-0053,98,202571.15625,borda
303,Q0,LA082890-0147,99,202486.26625,borda
303,Q0,FT933-6946,100,202241.975,borda
303,Q0,LA070989-0062,101,201300.32874999996,borda
303,Q0,FT934-2685,102,200769.87375,borda
303,Q0,LA120590-0110,103,200720.20624999996,borda
303,Q0,LA020989-0012,104,200626.4775,borda
303,Q0,LA051290-0077,105,200302.18375000005,borda
303,Q0,FT933-6323,106,199946.07374999998,borda
303,Q0,LA120990-0163,107,199744.42124999998,borda
303,Q0,FBIS3-40348,108,199541.97,borda
303,Q0,LA120890-0048,109,199380.64499999996,borda
303,Q0,FBIS4-68332,110,198402.47000000003,borda
303,Q0,LA051390-0223,111,198190.96625000003,borda
303,Q0,FT941-3758,112,198154.57374999998,borda
303,Q0,FBIS4-57001,113,197131.775,borda
303,Q0,LA111789-0042,114,196662.74625000003,borda
303,Q0,LA051090-0070,115,196367.32499999998,borda
303,Q0,FT933-2180,116,196210.59875,borda
303,Q0,LA042290-0096,117,196044.485,borda
303,Q0,FBIS3-21007,118,195816.84000000003,borda
303,Q0,LA072690-0124,119,195709.25124999997,borda
303,Q0,LA030990-0068,120,194758.87624999997,borda
303,Q0,LA072190-0065,121,194578.96625000003,borda
303,Q0,FBIS3-40363,122,194576.28249999997,borda
303,Q0,FBIS4-44743,123,194364.77124999996,borda
303,Q0,LA071990-0250,124,193683.99,borda
303,Q0,LA050190-0067,125,193078.50249999997,borda
303,Q0,LA012790-0042,126,192952.7075,borda
303,Q0,LA122589-0068,127,192827.8925,borda
303,Q0,FT933-10324,128,192363.42625,borda
303,Q0,FT934-3325,129,191475.17999999996,borda
303,Q0,LA081790-0164,130,190144.22749999998,borda
303,Q0,LA080989-0058,131,190035.3475,borda
303,Q0,FBIS4-44695,132,189935.75124999997,borda
303,Q0,FBIS4-68334,133,189677.00125000003,borda
303,Q0,LA061490-0072,134,188557.89875000005,borda
303,Q0,FBIS4-47495,135,188264.335,borda
303,Q0,FT941-5396,136,187858.6775,borda
303,Q0,LA082490-0075,137,187853.94874999995,borda
303,Q0,FBIS3-40388,138,187456.18625000003,borda
303,Q0,LA091690-0166,139,187268.48625,borda
303,Q0,FT944-9936,140,186722.9825,borda
303,Q0,FT943-11292,141,186514.91374999998,borda
303,Q0,FBIS4-44662,142,186087.93125,borda
303,Q0,LA010889-0081,143,186037.12000000002,borda
303,Q0,FT922-13455,144,185421.81000000003,borda
303,Q0,LA080990-0232,145,185246.30999999997,borda
303,Q0,FT943-11617,146,185041.51,borda
303,Q0,FT941-793,147,184836.89375,borda
303,Q0,LA072390-0058,148,184003.37875,borda
303,Q0,LA011590-0098,149,183303.1,borda
303,Q0,FBIS4-46660,150,182761.45625,borda
303,Q0,FBIS4-47297,151,182687.80374999996,borda
303,Q0,FBIS4-47302,152,182567.88125,borda
303,Q0,FBIS4-44691,153,181926.65875,borda
303,Q0,LA073089-0149,154,181177.525,borda
303,Q0,LA032990-0152,155,180990.74375,borda
303,Q0,LA021890-0051,156,180381.7325,borda
303,Q0,LA011789-0014,157,180340.3375,borda
303,Q0,FT923-3530,158,179961.1325,borda
303,Q0,FBIS4-28354,159,179856.035,borda
303,Q0,FBIS4-61865,160,179109.21499999997,borda
303,Q0,LA090890-0054,161,179047.46750000003,borda
303,Q0,LA070490-0001,162,178343.56875,borda
303,Q0,LA070190-0119,163,177919.15499999997,borda
303,Q0,FBIS3-23682,164,177771.34124999997,borda
303,Q0,LA070489-0096,165,176826.06374999997,borda
303,Q0,LA112690-0067,166,176658.18375000003,borda
303,Q0,LA051390-0161,167,175447.63375000004,borda
303,Q0,LA122090-0004,168,175110.1925,borda
303,Q0,FBIS4-44683,169,174983.74500000002,borda
303,Q0,FBIS3-59884,170,171328.05874999997,borda
303,Q0,FT943-10128,171,171190.3175,borda
303,Q0,LA030289-0123,172,170241.16999999998,borda
303,Q0,LA053190-0194,173,169761.85375,borda
303,Q0,LA080489-0048,174,169555.75375,borda
303,Q0,LA121790-0086,175,168954.93124999997,borda
303,Q0,LA012789-0131,176,167388.025,borda
303,Q0,LA080790-0036,177,164809.00999999998,borda
303,Q0,FBIS4-68333,178,164540.37374999997,borda
