query,q0,docid,rank,score,system
303,Q0,LA041490-0064,1,22901.0,borda
303,Q0,LA040190-0178,2,22857.0,borda
303,Q0,LA033090-0082,3,22850.0,borda
303,Q0,LA042590-0135,4,22833.0,borda
303,Q0,LA041090-0148,5,22824.0,borda
303,Q0,LA041990-0151,6,22769.0,borda
303,Q0,LA041690-0035,7,22744.0,borda
303,Q0,LA042590-0152,8,22734.0,borda
303,Q0,LA042290-0160,9,22730.0,borda
303,Q0,FT934-5418,10,22694.0,borda
303,Q0,LA071090-0047,11,22636.0,borda
303,Q0,LA070990-0052,12,22632.0,borda
303,Q0,LA041190-0003,13,22622.0,borda
303,Q0,LA071490-0091,14,22510.0,borda
303,Q0,LA052890-0021,15,22506.0,borda
303,Q0,LA041590-0161,16,22501.0,borda
303,Q0,LA070890-0154,17,22498.0,borda
303,Q0,FT921-7107,18,22467.0,borda
303,Q0,LA040590-0220,19,22464.0,borda
303,Q0,LA042390-0060,20,22437.0,borda
303,Q0,LA042790-0070,21,22433.0,borda
303,Q0,LA032790-0023,22,22427.0,borda
303,Q0,LA051389-0037,23,22405.0,borda
303,Q0,LA050390-0109,24,22370.0,borda
303,Q0,LA062990-0180,25,22362.0,borda
303,Q0,LA012090-0105,26,22328.0,borda
303,Q0,LA042390-0041,27,22322.0,borda
303,Q0,LA081090-0078,28,22287.0,borda
303,Q0,FT934-2516,29,22264.0,borda
303,Q0,LA051590-0074,30,22192.0,borda
303,Q0,LA080990-0222,31,22177.0,borda
303,Q0,LA011990-0173,32,22161.0,borda
303,Q0,LA070590-0031,33,22097.0,borda
303,Q0,LA072590-0006,34,22062.0,borda
303,Q0,LA070390-0084,35,22052.0,borda
303,Q0,LA053090-0037,36,22048.0,borda
303,Q0,LA070790-0083,37,22032.0,borda
303,Q0,LA081090-0079,38,22025.0,borda
303,Q0,LA110590-0076,39,22014.0,borda
303,Q0,LA063090-0004,40,21975.0,borda
303,Q0,FBIS4-46650,41,21946.0,borda
303,Q0,LA072890-0078,42,21915.0,borda
303,Q0,FBIS3-42547,43,21908.0,borda
303,Q0,LA070590-0036,44,21893.0,borda
303,Q0,LA102290-0066,45,21893.0,borda
303,Q0,FT944-128,46,21890.0,borda
303,Q0,LA112190-0043,47,21886.0,borda
303,Q0,LA072690-0133,48,21869.0,borda
303,Q0,LA122990-0029,49,21848.0,borda
303,Q0,LA051490-0110,50,21775.0,borda
303,Q0,LA070590-0033,51,21761.0,borda
303,Q0,LA042690-0141,52,21749.0,borda
303,Q0,LA080990-0242,53,21721.0,borda
303,Q0,FT934-4132,54,21702.0,borda
303,Q0,FT934-3766,55,21610.0,borda
303,Q0,LA010689-0016,56,21593.0,borda
303,Q0,FT924-286,57,21588.0,borda
303,Q0,LA060890-0124,58,21568.0,borda
