query,q0,docid,rank,score,system
322,Q0,LA062090-0082,1,0.29656370667912585,reciprocal_rank_fusion_k=60
322,Q0,LA062590-0055,2,0.28591227592764773,reciprocal_rank_fusion_k=60
322,Q0,LA031790-0074,3,0.2677502986665294,reciprocal_rank_fusion_k=60
322,Q0,LA012889-0030,4,0.25356163678042776,reciprocal_rank_fusion_k=60
322,Q0,LA110890-0210,5,0.24683022894152096,reciprocal_rank_fusion_k=60
322,Q0,LA020889-0083,6,0.24571441225586516,reciprocal_rank_fusion_k=60
322,Q0,LA022189-0085,7,0.24509138192007254,reciprocal_rank_fusion_k=60
322,Q0,LA061790-0168,8,0.23108125703167906,reciprocal_rank_fusion_k=60
322,Q0,LA040490-0004,9,0.22039581569155395,reciprocal_rank_fusion_k=60
322,Q0,FT931-11799,10,0.2134852563242303,reciprocal_rank_fusion_k=60
322,Q0,FT942-6116,11,0.21058654097191282,reciprocal_rank_fusion_k=60
322,Q0,LA022089-0058,12,0.2071383540025959,reciprocal_rank_fusion_k=60
322,Q0,LA062990-0012,13,0.20468395093387887,reciprocal_rank_fusion_k=60
322,Q0,LA101190-0226,14,0.20282843037212353,reciprocal_rank_fusion_k=60
322,Q0,LA011190-0195,15,0.20149156297270876,reciprocal_rank_fusion_k=60
322,Q0,LA010690-0077,16,0.1998175153833561,reciprocal_rank_fusion_k=60
322,Q0,LA041789-0046,17,0.19433700193077963,reciprocal_rank_fusion_k=60
322,Q0,LA011190-0215,18,0.1935743888570629,reciprocal_rank_fusion_k=60
322,Q0,LA080990-0008,19,0.1901627412464008,reciprocal_rank_fusion_k=60
322,Q0,LA042790-0079,20,0.18864235666068271,reciprocal_rank_fusion_k=60
322,Q0,LA090689-0045,21,0.18819171561290945,reciprocal_rank_fusion_k=60
322,Q0,LA080390-0101,22,0.185555731876091,reciprocal_rank_fusion_k=60
322,Q0,FBIS4-1628,23,0.18309830349015432,reciprocal_rank_fusion_k=60
322,Q0,FT943-4171,24,0.1818158508321267,reciprocal_rank_fusion_k=60
322,Q0,LA111690-0066,25,0.18088481625816447,reciprocal_rank_fusion_k=60
322,Q0,LA091490-0129,26,0.1796045635088807,reciprocal_rank_fusion_k=60
322,Q0,LA011189-0021,27,0.17741052432039725,reciprocal_rank_fusion_k=60
322,Q0,LA082590-0081,28,0.17731277150666275,reciprocal_rank_fusion_k=60
322,Q0,FT934-7661,29,0.17720641364216902,reciprocal_rank_fusion_k=60
322,Q0,LA090889-0063,30,0.17382346126078402,reciprocal_rank_fusion_k=60
322,Q0,LA063090-0101,31,0.17281099657461463,reciprocal_rank_fusion_k=60
322,Q0,FBIS3-46875,32,0.17255646614466175,reciprocal_rank_fusion_k=60
322,Q0,FT911-576,33,0.17099348051107194,reciprocal_rank_fusion_k=60
322,Q0,LA060490-0052,34,0.17098824088468775,reciprocal_rank_fusion_k=60
322,Q0,LA112790-0133,35,0.16844045856294484,reciprocal_rank_fusion_k=60
