query,q0,docid,rank,score,system
322,Q0,LA062090-0082,1,2.3228883132923484,minmaxnorm
322,Q0,LA062590-0055,2,2.2984032248100106,minmaxnorm
322,Q0,LA031790-0074,3,2.176817854061087,minmaxnorm
322,Q0,LA040490-0004,4,2.0470788034477785,minmaxnorm
322,Q0,LA020889-0083,5,1.9548037921037966,minmaxnorm
322,Q0,LA022189-0085,6,1.9521562814512112,minmaxnorm
322,Q0,LA012889-0030,7,1.8897266307439406,minmaxnorm
322,Q0,LA110890-0210,8,1.7981111854833782,minmaxnorm
322,Q0,LA042790-0079,9,1.75858160049512,minmaxnorm
322,Q0,FT942-6116,10,1.7582619943713,minmaxnorm
322,Q0,FBIS4-1628,11,1.7280350754640925,minmaxnorm
322,Q0,LA061790-0168,12,1.7187572282028878,minmaxnorm
322,Q0,FT931-11799,13,1.7139070312607867,minmaxnorm
322,Q0,LA041789-0046,14,1.7005995374996665,minmaxnorm
322,Q0,LA022089-0058,15,1.695010746735738,minmaxnorm
322,Q0,LA011190-0195,16,1.6749000376056082,minmaxnorm
322,Q0,LA101190-0226,17,1.6711352293463122,minmaxnorm
322,Q0,LA080990-0008,18,1.6655597439687833,minmaxnorm
322,Q0,LA010690-0077,19,1.6213783201712324,minmaxnorm
322,Q0,LA090689-0045,20,1.6003262747321472,minmaxnorm
322,Q0,LA062990-0012,21,1.6000786249956618,minmaxnorm
322,Q0,LA011190-0215,22,1.5925921279172284,minmaxnorm
322,Q0,LA112790-0133,23,1.5901380833334338,minmaxnorm
322,Q0,LA080390-0101,24,1.587469566186862,minmaxnorm
322,Q0,FBIS3-24145,25,1.5822173609870422,minmaxnorm
322,Q0,LA062590-0134,26,1.5781558090678574,minmaxnorm
322,Q0,LA011189-0021,27,1.5634851422491025,minmaxnorm
322,Q0,FT943-4171,28,1.5420323860535936,minmaxnorm
322,Q0,FBIS4-25161,29,1.537379961994118,minmaxnorm
322,Q0,FBIS4-1842,30,1.5307828016642455,minmaxnorm
322,Q0,FT934-7661,31,1.516771021968175,minmaxnorm
322,Q0,LA111690-0066,32,1.5161639646603242,minmaxnorm
322,Q0,LA060190-0041,33,1.513800308024409,minmaxnorm
322,Q0,FBIS3-2517,34,1.5102930524931393,minmaxnorm
322,Q0,LA063090-0114,35,1.5029677691752974,minmaxnorm
322,Q0,FBIS3-55037,36,1.5023581372952595,minmaxnorm
322,Q0,LA061289-0064,37,1.4965896347590124,minmaxnorm
322,Q0,LA020789-0004,38,1.4953118341730836,minmaxnorm
322,Q0,LA060490-0052,39,1.4908483424487446,minmaxnorm
322,Q0,LA090889-0063,40,1.4860718996678668,minmaxnorm
322,Q0,FT911-576,41,1.4829181695048825,minmaxnorm
322,Q0,FBIS4-2649,42,1.4770930021250555,minmaxnorm
322,Q0,LA091490-0129,43,1.4732939037690655,minmaxnorm
322,Q0,LA060689-0037,44,1.4719238892063748,minmaxnorm
322,Q0,LA042589-0050,45,1.4672288288715012,minmaxnorm
322,Q0,FBIS3-3020,46,1.465209579479086,minmaxnorm
322,Q0,FBIS4-46846,47,1.4642111650942375,minmaxnorm
322,Q0,FBIS3-27392,48,1.46019243259133,minmaxnorm
322,Q0,FBIS3-50351,49,1.4563583571121188,minmaxnorm
322,Q0,LA042990-0110,50,1.4555468517220493,minmaxnorm
322,Q0,LA063090-0101,51,1.4541660403104126,minmaxnorm
322,Q0,FBIS3-25902,52,1.4514376812675032,minmaxnorm
322,Q0,FT922-13527,53,1.4488560951046967,minmaxnorm
322,Q0,LA121989-0065,54,1.4479798390186198,minmaxnorm
322,Q0,FBIS4-50097,55,1.4454033361980265,minmaxnorm
322,Q0,LA121190-0126,56,1.4388371198405925,minmaxnorm
322,Q0,LA013089-0010,57,1.436970656303102,minmaxnorm
322,Q0,LA020390-0104,58,1.4309391659083603,minmaxnorm
322,Q0,FT943-15058,59,1.4181530084023481,minmaxnorm
322,Q0,FBIS3-3018,60,1.4163856402138593,minmaxnorm
322,Q0,FT943-12175,61,1.4063755305048753,minmaxnorm
322,Q0,FBIS4-66756,62,1.40170416245569,minmaxnorm
322,Q0,FT933-3178,63,1.3985444649842804,minmaxnorm
322,Q0,LA011189-0097,64,1.3919387616413745,minmaxnorm
322,Q0,FBIS3-20106,65,1.3857952738313684,minmaxnorm
322,Q0,FBIS3-20131,66,1.385626971955335,minmaxnorm
322,Q0,LA031789-0004,67,1.3850452112236673,minmaxnorm
322,Q0,LA092989-0086,68,1.3825479096769153,minmaxnorm
322,Q0,LA032190-0140,69,1.3759049156440373,minmaxnorm
322,Q0,LA120489-0077,70,1.3758793896559018,minmaxnorm
322,Q0,LA061789-0098,71,1.3716605527150887,minmaxnorm
322,Q0,FT942-6596,72,1.3703545870652563,minmaxnorm
322,Q0,LA110190-0213,73,1.3693063304831656,minmaxnorm
322,Q0,FBIS4-1549,74,1.368569908644439,minmaxnorm
322,Q0,FBIS3-46875,75,1.3683913773443754,minmaxnorm
322,Q0,FBIS4-68746,76,1.3657722519126232,minmaxnorm
322,Q0,FBIS3-61238,77,1.3540016658196947,minmaxnorm
322,Q0,LA120689-0039,78,1.3538296858717955,minmaxnorm
322,Q0,FBIS4-56394,79,1.3421415301102084,minmaxnorm
322,Q0,FBIS3-14961,80,1.3403850397806782,minmaxnorm
322,Q0,FT942-17082,81,1.3348649762859865,minmaxnorm
322,Q0,FBIS3-59338,82,1.3242665536784495,minmaxnorm
322,Q0,FT921-13985,83,1.322740267179887,minmaxnorm
322,Q0,FBIS3-50321,84,1.3199143185272126,minmaxnorm
322,Q0,LA071190-0099,85,1.3035585341120284,minmaxnorm
322,Q0,FT941-7580,86,1.2969669027175204,minmaxnorm
322,Q0,FT943-2229,87,1.2926105984746128,minmaxnorm
322,Q0,FT943-4431,88,1.2893346459631858,minmaxnorm
322,Q0,LA042989-0068,89,1.2883137525239299,minmaxnorm
322,Q0,LA102789-0118,90,1.2882622862477096,minmaxnorm
322,Q0,FT933-753,91,1.2846564634299038,minmaxnorm
322,Q0,FT942-3981,92,1.2832446265177835,minmaxnorm
322,Q0,LA082590-0081,93,1.2801719513845387,minmaxnorm
322,Q0,FT934-11646,94,1.274611697881892,minmaxnorm
322,Q0,LA062690-0089,95,1.2698087123101394,minmaxnorm
322,Q0,FT923-9438,96,1.2696693727549053,minmaxnorm
322,Q0,LA070290-0116,97,1.2658357696681724,minmaxnorm
322,Q0,FT944-16063,98,1.2609360867766126,minmaxnorm
322,Q0,LA051589-0064,99,1.2577294818259814,minmaxnorm
322,Q0,LA040689-0115,100,1.2566540051779476,minmaxnorm
322,Q0,LA120590-0029,101,1.2543126801324684,minmaxnorm
322,Q0,LA061889-0151,102,1.2534400354112207,minmaxnorm
322,Q0,LA052789-0041,103,1.2496465436619855,minmaxnorm
322,Q0,LA091390-0229,104,1.2468111612880275,minmaxnorm
322,Q0,LA103090-0082,105,1.2429495384811768,minmaxnorm
322,Q0,FT942-5307,106,1.2417499311092999,minmaxnorm
322,Q0,FT941-16108,107,1.2387078517614019,minmaxnorm
322,Q0,FT931-5287,108,1.238075798659247,minmaxnorm
322,Q0,LA122889-0037,109,1.2369391617023169,minmaxnorm
322,Q0,FT942-6604,110,1.236437547236693,minmaxnorm
322,Q0,FBIS4-21249,111,1.2343212908141854,minmaxnorm
322,Q0,LA121190-0142,112,1.2307170399200136,minmaxnorm
322,Q0,FBIS4-50898,113,1.230354194782064,minmaxnorm
322,Q0,LA041290-0157,114,1.228964257315077,minmaxnorm
322,Q0,LA032990-0052,115,1.2284029187944117,minmaxnorm
322,Q0,LA071090-0045,116,1.2254287649426459,minmaxnorm
322,Q0,LA102889-0092,117,1.2226618846020194,minmaxnorm
322,Q0,LA071090-0030,118,1.2199266355646627,minmaxnorm
322,Q0,FT943-2817,119,1.215554378750877,minmaxnorm
322,Q0,FT921-406,120,1.2143772457572903,minmaxnorm
322,Q0,FBIS4-4063,121,1.2124274245060702,minmaxnorm
322,Q0,LA112290-0144,122,1.211077228962601,minmaxnorm
322,Q0,FT931-14539,123,1.2099426885311846,minmaxnorm
322,Q0,FT942-1212,124,1.206081705508181,minmaxnorm
322,Q0,LA012390-0041,125,1.2041846281699329,minmaxnorm
322,Q0,FBIS3-23986,126,1.2001596078837313,minmaxnorm
322,Q0,FT933-9536,127,1.1926086978066546,minmaxnorm
322,Q0,LA081490-0094,128,1.1908852139785602,minmaxnorm
322,Q0,FBIS4-66990,129,1.1904330437216442,minmaxnorm
322,Q0,FBIS4-25509,130,1.1867709863710338,minmaxnorm
322,Q0,FT924-15853,131,1.1839302239285991,minmaxnorm
322,Q0,FR940204-0-00005,132,1.1804240330579698,minmaxnorm
322,Q0,LA053090-0020,133,1.1802443618431175,minmaxnorm
322,Q0,LA092289-0123,134,1.1798657800481853,minmaxnorm
322,Q0,LA011089-0111,135,1.1769056978426935,minmaxnorm
322,Q0,FBIS4-26335,136,1.1767700575006699,minmaxnorm
322,Q0,FBIS3-25901,137,1.1767259013898395,minmaxnorm
322,Q0,LA062490-0111,138,1.1759248753841998,minmaxnorm
322,Q0,LA070190-0102,139,1.1737590923156596,minmaxnorm
322,Q0,LA101189-0042,140,1.171598155612939,minmaxnorm
322,Q0,LA012089-0004,141,1.1703424611526014,minmaxnorm
322,Q0,FBIS4-2721,142,1.1650020107854697,minmaxnorm
322,Q0,LA062290-0062,143,1.163882206902716,minmaxnorm
322,Q0,FR940902-0-00099,144,1.1624466265007405,minmaxnorm
322,Q0,FT932-18,145,1.1578570269552912,minmaxnorm
322,Q0,FBIS3-20341,146,1.1568257752931685,minmaxnorm
322,Q0,FBIS3-25951,147,1.152306717815254,minmaxnorm
322,Q0,FT944-12975,148,1.1517562190699944,minmaxnorm
322,Q0,FT944-1539,149,1.1466448952579862,minmaxnorm
322,Q0,FBIS3-28139,150,1.145760715936115,minmaxnorm
322,Q0,LA092690-0115,151,1.1399231309508342,minmaxnorm
322,Q0,FT941-15074,152,1.1366596963169744,minmaxnorm
322,Q0,FT942-4749,153,1.1257330082745365,minmaxnorm
322,Q0,FT944-10893,154,1.124070659712645,minmaxnorm
322,Q0,FT944-12276,155,1.1236641863977093,minmaxnorm
322,Q0,LA042389-0111,156,1.1206546571356404,minmaxnorm
322,Q0,FR940627-2-00065,157,1.1200615449662954,minmaxnorm
322,Q0,FR940318-2-00101,158,1.1180435416746035,minmaxnorm
322,Q0,FR940505-2-00057,159,1.11790757466199,minmaxnorm
322,Q0,FR940324-2-00175,160,1.1176438811277285,minmaxnorm
322,Q0,FR940711-2-00081,161,1.1174815877256605,minmaxnorm
322,Q0,FT941-1960,162,1.116789270130482,minmaxnorm
322,Q0,FR940707-2-00108,163,1.115717908284209,minmaxnorm
322,Q0,FR940406-2-00091,164,1.115516648088038,minmaxnorm
322,Q0,FR940407-2-00169,165,1.1153401916986307,minmaxnorm
322,Q0,FR940325-2-00096,166,1.1151767295314223,minmaxnorm
322,Q0,FT931-3348,167,1.1130298109430303,minmaxnorm
322,Q0,FBIS3-53481,168,1.1107011735503907,minmaxnorm
322,Q0,FR940318-2-00088,169,1.1103531731715885,minmaxnorm
322,Q0,FT942-17475,170,1.110348672094758,minmaxnorm
322,Q0,LA112389-0103,171,1.102486776263611,minmaxnorm
322,Q0,FBIS4-9779,172,1.1018042593442527,minmaxnorm
322,Q0,FBIS3-17900,173,1.100717954401469,minmaxnorm
322,Q0,LA050190-0063,174,1.100308725301286,minmaxnorm
322,Q0,FBIS3-2138,175,1.0991839150994842,minmaxnorm
322,Q0,FT923-12627,176,1.0985812728430455,minmaxnorm
322,Q0,LA062690-0019,177,1.0976817219457338,minmaxnorm
322,Q0,FT921-9588,178,1.09317290063156,minmaxnorm
322,Q0,FR940419-2-00068,179,1.0905442618273669,minmaxnorm
322,Q0,FT921-7207,180,1.0896456748393344,minmaxnorm
322,Q0,FT944-15445,181,1.0838908665502545,minmaxnorm
322,Q0,FBIS3-26913,182,1.0834867579232619,minmaxnorm
322,Q0,LA080889-0105,183,1.082526959367155,minmaxnorm
322,Q0,LA040290-0078,184,1.0824995608218093,minmaxnorm
322,Q0,FT933-12219,185,1.0812829377512656,minmaxnorm
322,Q0,LA121489-0237,186,1.0786164981360142,minmaxnorm
