query,q0,docid,rank,score,system
314,Q0,LA122589-0092,1,11.451133870177879,minmaxnorm
314,Q0,LA122589-0091,2,10.298422186358172,minmaxnorm
314,Q0,LA122090-0024,3,8.356037464309363,minmaxnorm
314,Q0,FR940511-0-00055,4,8.227610474680683,minmaxnorm
314,Q0,LA122890-0068,5,8.131203732999339,minmaxnorm
314,Q0,LA022389-0086,6,7.989586797598989,minmaxnorm
314,Q0,LA122790-0066,7,6.370681566009589,minmaxnorm
314,Q0,LA031289-0204,8,6.2380993049135585,minmaxnorm
314,Q0,FT943-1589,9,6.193407518418894,minmaxnorm
314,Q0,FR940511-0-00053,10,5.918586685048,minmaxnorm
314,Q0,LA031689-0170,11,5.914178342782066,minmaxnorm
314,Q0,LA120389-0149,12,5.85498698184697,minmaxnorm
314,Q0,LA070290-0020,13,5.5973121621221,minmaxnorm
314,Q0,LA121089-0231,14,5.32899171966886,minmaxnorm
314,Q0,FR940202-1-00040,15,4.873617297416062,minmaxnorm
314,Q0,LA111989-0016,16,4.853389286353348,minmaxnorm
314,Q0,LA082189-0047,17,4.728356101961926,minmaxnorm
314,Q0,FR940127-1-00030,18,4.684486692805082,minmaxnorm
314,Q0,FR940203-2-00015,19,4.523890275735895,minmaxnorm
314,Q0,LA040789-0040,20,4.460409272508235,minmaxnorm
314,Q0,LA121089-0230,21,4.4300452482685895,minmaxnorm
314,Q0,FBIS4-54035,22,4.383659484952831,minmaxnorm
314,Q0,LA112790-0070,23,4.282258298981167,minmaxnorm
314,Q0,LA021990-0093,24,4.147303092263242,minmaxnorm
314,Q0,FT943-8480,25,4.146690528082889,minmaxnorm
314,Q0,LA040590-0003,26,3.930438448088797,minmaxnorm
314,Q0,LA063090-0073,27,3.921081728296274,minmaxnorm
314,Q0,FR940602-0-00005,28,3.8150686763410784,minmaxnorm
314,Q0,FT941-12089,29,3.761255836312439,minmaxnorm
314,Q0,FBIS4-45709,30,3.756357666962936,minmaxnorm
314,Q0,LA050689-0135,31,3.7172141123951237,minmaxnorm
314,Q0,LA050690-0009,32,3.700790116135803,minmaxnorm
314,Q0,LA030290-0108,33,3.6263423265209047,minmaxnorm
314,Q0,FR940511-0-00073,34,3.5623125929785617,minmaxnorm
314,Q0,LA121189-0111,35,3.5224659403782708,minmaxnorm
314,Q0,FR940104-2-00003,36,3.5168881748470873,minmaxnorm
314,Q0,LA020889-0065,37,3.513161690752105,minmaxnorm
314,Q0,LA033189-0109,38,3.4975208582583277,minmaxnorm
314,Q0,LA112990-0023,39,3.479587746550361,minmaxnorm
314,Q0,FR940511-0-00063,40,3.4096819808881644,minmaxnorm
314,Q0,LA120790-0080,41,3.4070127552750735,minmaxnorm
314,Q0,FT941-16616,42,3.3868781913830874,minmaxnorm
314,Q0,LA083189-0067,43,3.357301368025508,minmaxnorm
314,Q0,LA091090-0100,44,3.3496105014955213,minmaxnorm
314,Q0,FR940511-0-00064,45,3.3297254812607786,minmaxnorm
314,Q0,FT933-2952,46,3.299240423597339,minmaxnorm
314,Q0,FR940617-0-00103,47,3.296852723569491,minmaxnorm
314,Q0,LA052790-0017,48,3.291964213823886,minmaxnorm
314,Q0,FR940511-0-00069,49,3.2764836161998883,minmaxnorm
314,Q0,FT942-3897,50,3.2640638883313073,minmaxnorm
314,Q0,LA030990-0080,51,3.2584997306752697,minmaxnorm
314,Q0,LA061189-0073,52,3.2152283823780867,minmaxnorm
314,Q0,FT941-255,53,3.1388902639029723,minmaxnorm
314,Q0,FT933-10,54,3.1190277302750484,minmaxnorm
314,Q0,FBIS3-42467,55,3.111671422858256,minmaxnorm
314,Q0,LA051790-0193,56,3.100396623213067,minmaxnorm
314,Q0,LA110990-0024,57,3.100376593832915,minmaxnorm
314,Q0,FR940511-0-00068,58,3.100152555129783,minmaxnorm
314,Q0,LA092189-0130,59,3.0872968682492266,minmaxnorm
314,Q0,LA091390-0175,60,3.0591959863464373,minmaxnorm
314,Q0,LA011990-0161,61,3.0339566486841534,minmaxnorm
314,Q0,LA030990-0098,62,3.0305084500617676,minmaxnorm
314,Q0,LA102989-0204,63,3.0226014098223697,minmaxnorm
314,Q0,FR940128-1-00013,64,3.0122625075293534,minmaxnorm
314,Q0,LA070889-0116,65,3.0052103519238345,minmaxnorm
314,Q0,LA052090-0063,66,2.9932724108774456,minmaxnorm
314,Q0,LA102789-0116,67,2.962665258471848,minmaxnorm
314,Q0,LA121490-0123,68,2.9575012794430022,minmaxnorm
314,Q0,FBIS4-26977,69,2.9421281877801992,minmaxnorm
314,Q0,FT934-7755,70,2.94209734839155,minmaxnorm
314,Q0,FR941227-2-00088,71,2.936252970719506,minmaxnorm
314,Q0,FT911-2807,72,2.9316582276454324,minmaxnorm
314,Q0,LA092790-0231,73,2.930092702980784,minmaxnorm
314,Q0,FR941222-0-00114,74,2.9084545922461302,minmaxnorm
314,Q0,LA102089-0151,75,2.9062650533853374,minmaxnorm
314,Q0,LA052890-0100,76,2.8961937038481085,minmaxnorm
314,Q0,LA072789-0155,77,2.886367445977159,minmaxnorm
314,Q0,FR940613-0-00040,78,2.8278743231872427,minmaxnorm
314,Q0,LA011989-0027,79,2.8220768988311833,minmaxnorm
314,Q0,LA072690-0096,80,2.7940513998571412,minmaxnorm
314,Q0,LA071090-0051,81,2.7864962805271936,minmaxnorm
314,Q0,FBIS3-41666,82,2.782687788296556,minmaxnorm
314,Q0,LA020589-0121,83,2.772449699856955,minmaxnorm
314,Q0,LA030990-0130,84,2.734204645742684,minmaxnorm
314,Q0,FT941-11108,85,2.7310385286961636,minmaxnorm
314,Q0,FR940407-0-00013,86,2.698381859069951,minmaxnorm
314,Q0,FT943-1264,87,2.698055420149035,minmaxnorm
314,Q0,FT922-15301,88,2.6909059885522595,minmaxnorm
314,Q0,FR940128-1-00099,89,2.6893867340692434,minmaxnorm
314,Q0,FT941-15271,90,2.6715739002375853,minmaxnorm
314,Q0,LA062990-0077,91,2.6714224956965875,minmaxnorm
314,Q0,FT923-3386,92,2.67105384366482,minmaxnorm
314,Q0,LA042690-0180,93,2.668871874853043,minmaxnorm
314,Q0,FR940202-1-00036,94,2.6674120873305283,minmaxnorm
314,Q0,LA100489-0090,95,2.6663273294631566,minmaxnorm
314,Q0,FT931-31,96,2.6524558183879328,minmaxnorm
314,Q0,LA091590-0018,97,2.640802193940263,minmaxnorm
314,Q0,FR941104-1-00033,98,2.6383578084018025,minmaxnorm
314,Q0,FR940525-0-00016,99,2.5637129637367373,minmaxnorm
314,Q0,FR941207-0-00116,100,2.5608358562294447,minmaxnorm
314,Q0,FR941213-2-00081,101,2.534441128658981,minmaxnorm
314,Q0,LA012989-0038,102,2.525424408787729,minmaxnorm
314,Q0,LA110989-0087,103,2.5107892042447557,minmaxnorm
314,Q0,LA011990-0058,104,2.49443887001147,minmaxnorm
314,Q0,FR941128-2-00005,105,2.4748741306342272,minmaxnorm
314,Q0,FT932-7835,106,2.443283133284938,minmaxnorm
314,Q0,FR941116-0-00156,107,2.4387830844677536,minmaxnorm
314,Q0,LA030190-0067,108,2.395848085198439,minmaxnorm
314,Q0,FT942-4019,109,2.3828945480686485,minmaxnorm
314,Q0,LA050390-0021,110,2.3753550951247777,minmaxnorm
314,Q0,FR940928-1-00032,111,2.3485245101405567,minmaxnorm
314,Q0,LA061490-0024,112,2.3448060812658174,minmaxnorm
314,Q0,FBIS3-60392,113,2.3179853988185797,minmaxnorm
314,Q0,FR940720-0-00107,114,2.3061524039368315,minmaxnorm
314,Q0,FR940630-0-00075,115,2.29978278503195,minmaxnorm
