query,q0,docid,rank,score,system
314,Q0,LA122589-0092,1,191.73971938516965,minmaxnorm
314,Q0,LA122589-0091,2,186.14396302644423,minmaxnorm
314,Q0,FR940511-0-00055,3,151.4041214207112,minmaxnorm
314,Q0,LA122090-0024,4,151.32791105333476,minmaxnorm
314,Q0,LA122890-0068,5,140.3450464589446,minmaxnorm
314,Q0,LA022389-0086,6,136.31966454633175,minmaxnorm
314,Q0,LA031289-0204,7,119.07127578059144,minmaxnorm
314,Q0,LA031689-0170,8,113.33621104120989,minmaxnorm
314,Q0,LA122790-0066,9,112.18401159423752,minmaxnorm
314,Q0,FR940511-0-00053,10,104.96162183931581,minmaxnorm
314,Q0,LA070290-0020,11,101.29256065658718,minmaxnorm
314,Q0,FT943-1589,12,100.37242519253562,minmaxnorm
314,Q0,LA120389-0149,13,96.54393535450383,minmaxnorm
314,Q0,LA111989-0016,14,92.76776936697898,minmaxnorm
314,Q0,LA121089-0231,15,87.61803929115946,minmaxnorm
314,Q0,LA121089-0230,16,83.79658182283028,minmaxnorm
314,Q0,FR940202-1-00040,17,83.53825395280174,minmaxnorm
314,Q0,LA040789-0040,18,83.34078236539408,minmaxnorm
314,Q0,FR940203-2-00015,19,81.21447424376326,minmaxnorm
314,Q0,LA082189-0047,20,78.67846026775284,minmaxnorm
314,Q0,LA063090-0073,21,75.45159919444447,minmaxnorm
314,Q0,FR940127-1-00030,22,73.96552233249884,minmaxnorm
314,Q0,LA112790-0070,23,73.64133633021225,minmaxnorm
314,Q0,LA030290-0108,24,72.95439380783284,minmaxnorm
314,Q0,LA021990-0093,25,72.43581794506754,minmaxnorm
314,Q0,FBIS4-54035,26,71.35626891106277,minmaxnorm
314,Q0,FT943-8480,27,69.99935508856841,minmaxnorm
314,Q0,FT941-12089,28,69.42299607222041,minmaxnorm
314,Q0,LA040590-0003,29,68.06637687170077,minmaxnorm
314,Q0,FBIS4-45709,30,67.31784977394867,minmaxnorm
314,Q0,LA091090-0100,31,65.4404052662128,minmaxnorm
314,Q0,LA020889-0065,32,64.71847674274588,minmaxnorm
314,Q0,LA050690-0009,33,64.6149635762197,minmaxnorm
314,Q0,FR940511-0-00063,34,64.01942212651822,minmaxnorm
314,Q0,LA121189-0111,35,63.7591964177675,minmaxnorm
314,Q0,LA050689-0135,36,63.56185407442082,minmaxnorm
314,Q0,LA033189-0109,37,63.07214850528547,minmaxnorm
314,Q0,FBIS3-42467,38,62.37201794278889,minmaxnorm
314,Q0,FR940511-0-00069,39,62.043307312673356,minmaxnorm
314,Q0,LA083189-0067,40,61.98016319808238,minmaxnorm
314,Q0,FR940511-0-00073,41,61.76305150181863,minmaxnorm
314,Q0,LA110990-0024,42,61.725311729151144,minmaxnorm
314,Q0,FR940104-2-00003,43,60.81867061366496,minmaxnorm
314,Q0,FR940602-0-00005,44,60.71489368422766,minmaxnorm
314,Q0,FT941-16616,45,60.65459605288764,minmaxnorm
314,Q0,LA091390-0175,46,59.369751174380596,minmaxnorm
314,Q0,FT933-2952,47,59.30961802523214,minmaxnorm
314,Q0,LA051790-0193,48,58.46666091120589,minmaxnorm
314,Q0,FR940511-0-00068,49,58.288111169882534,minmaxnorm
314,Q0,FT942-3897,50,58.15638646433953,minmaxnorm
314,Q0,LA052090-0063,51,58.149187196516635,minmaxnorm
314,Q0,FBIS4-26977,52,57.63168387875454,minmaxnorm
314,Q0,LA052790-0017,53,57.483977735553836,minmaxnorm
314,Q0,FR940511-0-00064,54,56.86443191907939,minmaxnorm
314,Q0,LA030990-0080,55,55.968541472929566,minmaxnorm
314,Q0,FR940617-0-00103,56,55.72586382837554,minmaxnorm
314,Q0,LA112990-0023,57,55.480110583847996,minmaxnorm
314,Q0,LA120790-0080,58,55.23229547363058,minmaxnorm
314,Q0,LA102989-0204,59,54.9099757454533,minmaxnorm
314,Q0,LA061189-0073,60,54.79169184923109,minmaxnorm
314,Q0,LA102789-0116,61,54.196109982016544,minmaxnorm
314,Q0,LA092189-0130,62,54.11591423916031,minmaxnorm
314,Q0,LA011990-0161,63,54.013227613505116,minmaxnorm
314,Q0,FT941-11108,64,53.38894253525773,minmaxnorm
314,Q0,LA030990-0098,65,53.307949915326624,minmaxnorm
314,Q0,FT911-2807,66,52.726908304872445,minmaxnorm
314,Q0,LA092790-0231,67,52.268176089318146,minmaxnorm
314,Q0,FR940128-1-00013,68,52.111778131627865,minmaxnorm
314,Q0,FR941222-0-00114,69,52.073113759748274,minmaxnorm
314,Q0,FT941-255,70,52.021824795009636,minmaxnorm
314,Q0,LA072789-0155,71,51.9477110011904,minmaxnorm
314,Q0,LA062990-0077,72,51.81090064499428,minmaxnorm
314,Q0,LA052890-0100,73,51.798500301308785,minmaxnorm
314,Q0,LA070889-0116,74,51.64780251235149,minmaxnorm
314,Q0,LA100489-0090,75,51.47083369760923,minmaxnorm
