query,q0,docid,rank,score,system
314,Q0,LA122589-0092,1,3.3471124231647424,reciprocal_rank_fusion_k=60
314,Q0,LA122589-0091,2,3.2532692509479655,reciprocal_rank_fusion_k=60
314,Q0,LA122890-0068,3,3.1689785272025146,reciprocal_rank_fusion_k=60
314,Q0,LA022389-0086,4,3.1418692617490223,reciprocal_rank_fusion_k=60
314,Q0,FR940511-0-00055,5,3.1370306506580796,reciprocal_rank_fusion_k=60
314,Q0,LA122090-0024,6,3.0519891846106484,reciprocal_rank_fusion_k=60
314,Q0,LA031289-0204,7,2.8776957415182642,reciprocal_rank_fusion_k=60
314,Q0,LA122790-0066,8,2.871514306452542,reciprocal_rank_fusion_k=60
314,Q0,LA120389-0149,9,2.823556901560954,reciprocal_rank_fusion_k=60
314,Q0,FR940511-0-00053,10,2.802785184297922,reciprocal_rank_fusion_k=60
314,Q0,LA031689-0170,11,2.780324759846882,reciprocal_rank_fusion_k=60
314,Q0,LA070290-0020,12,2.7673840916371826,reciprocal_rank_fusion_k=60
314,Q0,FT943-1589,13,2.639730167588441,reciprocal_rank_fusion_k=60
314,Q0,LA111989-0016,14,2.5954957254813715,reciprocal_rank_fusion_k=60
314,Q0,LA121089-0231,15,2.5308330137073343,reciprocal_rank_fusion_k=60
314,Q0,LA121089-0230,16,2.406152469584407,reciprocal_rank_fusion_k=60
314,Q0,LA082189-0047,17,2.363283403969707,reciprocal_rank_fusion_k=60
314,Q0,LA040789-0040,18,2.3569119954641033,reciprocal_rank_fusion_k=60
314,Q0,FR940202-1-00040,19,2.3563832528080635,reciprocal_rank_fusion_k=60
314,Q0,FR940203-2-00015,20,2.353859741188979,reciprocal_rank_fusion_k=60
314,Q0,LA112790-0070,21,2.211831877764685,reciprocal_rank_fusion_k=60
314,Q0,LA063090-0073,22,2.1455842501370714,reciprocal_rank_fusion_k=60
314,Q0,LA021990-0093,23,2.066432463996986,reciprocal_rank_fusion_k=60
314,Q0,FT941-12089,24,2.049364669299152,reciprocal_rank_fusion_k=60
314,Q0,FBIS4-54035,25,2.033822718377451,reciprocal_rank_fusion_k=60
314,Q0,FT943-8480,26,2.0302025086078017,reciprocal_rank_fusion_k=60
314,Q0,FBIS4-45709,27,2.008336596060577,reciprocal_rank_fusion_k=60
314,Q0,FR940127-1-00030,28,2.0065825480510675,reciprocal_rank_fusion_k=60
314,Q0,LA030290-0108,29,1.9975618075386556,reciprocal_rank_fusion_k=60
314,Q0,LA091090-0100,30,1.9378647792391526,reciprocal_rank_fusion_k=60
314,Q0,LA040590-0003,31,1.8605534140159539,reciprocal_rank_fusion_k=60
314,Q0,LA050690-0009,32,1.8550866787720035,reciprocal_rank_fusion_k=60
314,Q0,FBIS3-42467,33,1.8440975926166288,reciprocal_rank_fusion_k=60
314,Q0,FR940511-0-00063,34,1.7774027195826767,reciprocal_rank_fusion_k=60
314,Q0,LA121189-0111,35,1.776949243214586,reciprocal_rank_fusion_k=60
314,Q0,LA020889-0065,36,1.7544924849301855,reciprocal_rank_fusion_k=60
314,Q0,LA110990-0024,37,1.709074180468824,reciprocal_rank_fusion_k=60
314,Q0,LA033189-0109,38,1.7077839812518074,reciprocal_rank_fusion_k=60
314,Q0,FT941-16616,39,1.7064890366668983,reciprocal_rank_fusion_k=60
314,Q0,LA050689-0135,40,1.6912279778554218,reciprocal_rank_fusion_k=60
314,Q0,FBIS4-26977,41,1.6861340862472018,reciprocal_rank_fusion_k=60
