query,q0,docid,rank,score,system
399,Q0,FT934-7286,1,9022.92875,borda
399,Q0,FR940916-0-00045,2,8999.1725,borda
399,Q0,FR940217-1-00140,3,8997.455,borda
399,Q0,FR940916-0-00044,4,8986.658749999997,borda
399,Q0,FT944-6974,5,8870.974999999999,borda
399,Q0,FT924-3602,6,8795.64125,borda
399,Q0,FR940805-0-00042,7,8790.7175,borda
399,Q0,LA032289-0033,8,8767.7525,borda
399,Q0,FR940811-0-00045,9,8672.815,borda
399,Q0,FT931-11446,10,8648.998749999999,borda
399,Q0,LA050490-0044,11,8616.93875,borda
399,Q0,FBIS4-45777,12,8597.7725,borda
399,Q0,FBIS3-61053,13,8538.73,borda
399,Q0,FR940404-2-00157,14,8491.503749999998,borda
399,Q0,FR940404-2-00152,15,8332.148750000002,borda
399,Q0,FR940505-1-00169,16,8330.5225,borda
399,Q0,LA081390-0044,17,8310.87375,borda
399,Q0,FR940805-0-00067,18,8213.8925,borda
399,Q0,FR940106-2-00123,19,8210.1375,borda
399,Q0,FR940817-2-00284,20,8198.01125,borda
399,Q0,FR940805-0-00065,21,8130.615000000002,borda
399,Q0,FR940810-1-00017,22,8062.28375,borda
399,Q0,FR940511-0-00049,23,7933.32125,borda
399,Q0,FBIS3-2333,24,7924.852500000001,borda
399,Q0,FR940217-1-00037,25,7896.5199999999995,borda
399,Q0,FR940913-1-00044,26,7877.425,borda
399,Q0,FR940506-1-00050,27,7793.782499999999,borda
399,Q0,FR940325-1-00028,28,7783.009999999999,borda
399,Q0,FR940325-1-00024,29,7773.5962500000005,borda
399,Q0,FR941028-1-00032,30,7765.757500000001,borda
399,Q0,FR940810-1-00018,31,7762.5825,borda
399,Q0,FR940805-0-00066,32,7760.1137499999995,borda
399,Q0,FR940913-0-00041,33,7727.325000000002,borda
399,Q0,FR940810-1-00016,34,7712.74,borda
399,Q0,FBIS4-54321,35,7706.2775,borda
399,Q0,FR940302-2-00097,36,7698.69875,borda
399,Q0,FR940325-1-00029,37,7693.322500000001,borda
399,Q0,FR940805-0-00064,38,7669.6075,borda
399,Q0,FR941028-1-00031,39,7657.566250000001,borda
399,Q0,FR940603-0-00059,40,7650.526249999999,borda
399,Q0,FR940217-1-00143,41,7642.039999999998,borda
399,Q0,FR940217-1-00139,42,7636.472500000002,borda
399,Q0,FR940119-0-00066,43,7531.1075,borda
399,Q0,FR940810-0-00235,44,7510.5975,borda
399,Q0,FR940906-0-00069,45,7507.24,borda
399,Q0,LA090190-0044,46,7485.866249999999,borda
399,Q0,FBIS4-66382,47,7482.465,borda
399,Q0,FBIS4-22989,48,7465.4712500000005,borda
399,Q0,FBIS4-49902,49,7459.415,borda
399,Q0,FR940325-1-00018,50,7417.8987499999985,borda
399,Q0,FR940513-1-00065,51,7409.0650000000005,borda
399,Q0,FR940913-1-00043,52,7385.422500000001,borda
399,Q0,FR941026-0-00048,53,7369.932499999999,borda
399,Q0,FR940916-0-00058,54,7361.815,borda
399,Q0,FR940804-0-00008,55,7360.13,borda
399,Q0,LA062290-0052,56,7358.539999999999,borda
399,Q0,FR940712-0-00029,57,7338.2074999999995,borda
399,Q0,FR940810-1-00019,58,7336.776250000001,borda
399,Q0,FR940617-0-00103,59,7293.162500000001,borda
399,Q0,LA102990-0070,60,7285.453749999999,borda
399,Q0,FR940606-1-00075,61,7246.941250000001,borda
399,Q0,FR940325-1-00025,62,7245.921250000001,borda
399,Q0,FR941026-0-00047,63,7231.683749999999,borda
399,Q0,FR940325-1-00023,64,7213.872499999999,borda
399,Q0,FR940602-1-00023,65,7187.793749999999,borda
399,Q0,FR940916-0-00060,66,7184.1825,borda
399,Q0,FBIS3-6833,67,7178.392499999999,borda
399,Q0,FR940511-0-00050,68,7169.094999999999,borda
399,Q0,FR940505-1-00106,69,7155.366250000001,borda
399,Q0,FT943-4886,70,7155.009999999998,borda
399,Q0,FR940916-0-00042,71,7145.082500000001,borda
399,Q0,FR940325-1-00032,72,7126.582500000001,borda
399,Q0,FR940325-1-00031,73,7122.865,borda
399,Q0,FBIS4-22197,74,7100.1224999999995,borda
399,Q0,FR940913-1-00037,75,7095.577499999999,borda
399,Q0,FBIS4-45781,76,7089.92625,borda
399,Q0,FR940830-1-00085,77,7072.858750000001,borda
399,Q0,FR940110-2-00084,78,7042.994999999999,borda
399,Q0,FR940325-1-00020,79,7028.62,borda
399,Q0,FBIS3-61055,80,7017.599999999999,borda
399,Q0,FR940603-1-00021,81,7011.5912499999995,borda
399,Q0,FR940217-1-00141,82,7003.29,borda
399,Q0,FR940819-0-00082,83,6997.002499999999,borda
399,Q0,FBIS4-21350,84,6991.95625,borda
399,Q0,FR940819-0-00077,85,6986.946250000001,borda
399,Q0,FBIS3-45593,86,6942.392499999999,borda
399,Q0,FR940325-1-00021,87,6927.548749999999,borda
399,Q0,FBIS4-21536,88,6923.035000000002,borda
399,Q0,FR940610-0-00026,89,6914.3825,borda
399,Q0,FR941216-0-00023,90,6886.1925,borda
399,Q0,FR940617-0-00106,91,6858.794999999999,borda
399,Q0,FR941020-2-00150,92,6807.404999999999,borda
399,Q0,FR940810-1-00020,93,6804.063750000001,borda
399,Q0,FR941028-1-00036,94,6789.668750000001,borda
399,Q0,FR940602-1-00035,95,6788.807499999998,borda
399,Q0,FBIS3-33324,96,6786.213749999999,borda
399,Q0,LA090790-0008,97,6757.878750000002,borda
399,Q0,FBIS3-40388,98,6742.509999999998,borda
399,Q0,FR941021-0-00140,99,6740.431250000001,borda
399,Q0,FR940819-0-00080,100,6734.8575,borda
399,Q0,FR940811-0-00042,101,6728.24125,borda
399,Q0,FR941004-1-00037,102,6698.477499999999,borda
399,Q0,FR940224-2-00136,103,6688.325,borda
399,Q0,FR941012-0-00024,104,6675.513749999999,borda
399,Q0,FR940817-2-00280,105,6643.73625,borda
399,Q0,FR940505-1-00258,106,6638.5725,borda
399,Q0,FBIS4-30673,107,6621.748750000001,borda
399,Q0,FR940830-1-00096,108,6616.702499999999,borda
399,Q0,FBIS4-7509,109,6615.937499999999,borda
399,Q0,FR940606-1-00081,110,6615.595,borda
399,Q0,FR940810-2-00135,111,6613.9625,borda
399,Q0,FR940407-0-00047,112,6579.511249999999,borda
399,Q0,FR940511-0-00051,113,6579.2525,borda
