query,q0,docid,rank,score,system
399,Q0,FT934-7286,1,0.14695714098084706,minmaxnorm
399,Q0,FT924-3602,2,0.11646073719138024,minmaxnorm
399,Q0,FBIS4-45777,3,0.11508454168889681,minmaxnorm
399,Q0,LA081390-0044,4,0.10944857927506949,minmaxnorm
399,Q0,FR940217-1-00140,5,0.10883976688857909,minmaxnorm
399,Q0,FR940916-0-00045,6,0.10873045893763962,minmaxnorm
399,Q0,FR940916-0-00044,7,0.10596539440212221,minmaxnorm
399,Q0,FR940404-2-00152,8,0.10506690154464648,minmaxnorm
399,Q0,FR940811-0-00045,9,0.09885982034064077,minmaxnorm
399,Q0,FT944-6974,10,0.09856987289409014,minmaxnorm
399,Q0,FBIS4-21350,11,0.09820991920200771,minmaxnorm
399,Q0,FBIS4-21536,12,0.0981323640287155,minmaxnorm
399,Q0,FBIS3-6833,13,0.09719026852324586,minmaxnorm
399,Q0,FR940404-2-00157,14,0.09676408891702265,minmaxnorm
399,Q0,FBIS3-61053,15,0.09650816183449926,minmaxnorm
399,Q0,LA032289-0033,16,0.09547843328112268,minmaxnorm
399,Q0,FR940805-0-00042,17,0.09103718765240398,minmaxnorm
399,Q0,LA102990-0070,18,0.0902200170715927,minmaxnorm
399,Q0,LA050490-0044,19,0.08999683788974822,minmaxnorm
399,Q0,FBIS4-2524,20,0.08956097532449012,minmaxnorm
399,Q0,FT931-11446,21,0.08812092493989988,minmaxnorm
399,Q0,LA090190-0044,22,0.08794105038168483,minmaxnorm
399,Q0,LA062290-0052,23,0.08738074092450318,minmaxnorm
399,Q0,FBIS4-66382,24,0.08648391199905861,minmaxnorm
399,Q0,FR940505-1-00169,25,0.08346859523451924,minmaxnorm
399,Q0,FR940810-1-00017,26,0.08340779256520295,minmaxnorm
399,Q0,FR940217-1-00037,27,0.08309205764641596,minmaxnorm
399,Q0,FBIS3-2333,28,0.08225975224495603,minmaxnorm
399,Q0,FR940610-0-00026,29,0.08216913082926054,minmaxnorm
399,Q0,FBIS3-61055,30,0.08195430622946105,minmaxnorm
399,Q0,FR940817-2-00284,31,0.08195312233079491,minmaxnorm
