query,q0,docid,rank,score,system
307,Q0,FR940804-2-00061,1,0.20008163106134372,reciprocal_rank_fusion_k=60
307,Q0,FR940512-2-00030,2,0.19802929087074575,reciprocal_rank_fusion_k=60
307,Q0,FR940303-2-00030,3,0.19306819135431275,reciprocal_rank_fusion_k=60
307,Q0,FR940617-2-00070,4,0.19294822157828767,reciprocal_rank_fusion_k=60
307,Q0,FR940930-2-00024,5,0.17966550951826643,reciprocal_rank_fusion_k=60
307,Q0,FR940414-2-00020,6,0.17781114424210553,reciprocal_rank_fusion_k=60
307,Q0,FR940204-2-00051,7,0.1774543943639349,reciprocal_rank_fusion_k=60
307,Q0,FR940303-2-00027,8,0.17403171343885648,reciprocal_rank_fusion_k=60
307,Q0,FR940916-2-00027,9,0.16441962521409142,reciprocal_rank_fusion_k=60
307,Q0,FR940916-2-00026,10,0.1611667157026778,reciprocal_rank_fusion_k=60
307,Q0,FR940512-2-00029,11,0.15619350094232254,reciprocal_rank_fusion_k=60
307,Q0,FR940405-2-00042,12,0.1560801934846503,reciprocal_rank_fusion_k=60
307,Q0,FR940418-2-00051,13,0.15533924848176517,reciprocal_rank_fusion_k=60
307,Q0,FR940804-2-00059,14,0.15317579837410406,reciprocal_rank_fusion_k=60
307,Q0,FR940418-2-00056,15,0.15276447841303228,reciprocal_rank_fusion_k=60
307,Q0,FR940114-2-00039,16,0.15208457260292504,reciprocal_rank_fusion_k=60
307,Q0,FR940414-2-00028,17,0.1515232879118327,reciprocal_rank_fusion_k=60
307,Q0,FR940114-2-00037,18,0.1515228227775593,reciprocal_rank_fusion_k=60
307,Q0,FR940607-2-00030,19,0.1511037500835025,reciprocal_rank_fusion_k=60
307,Q0,FR941216-2-00052,20,0.14978302440952246,reciprocal_rank_fusion_k=60
307,Q0,FR940617-2-00073,21,0.1497458772144173,reciprocal_rank_fusion_k=60
307,Q0,FR940418-2-00054,22,0.14890141748891228,reciprocal_rank_fusion_k=60
307,Q0,FR940204-2-00053,23,0.14767737173716566,reciprocal_rank_fusion_k=60
307,Q0,FR940303-2-00028,24,0.1468036293961229,reciprocal_rank_fusion_k=60
307,Q0,FR940930-2-00023,25,0.1446308361276422,reciprocal_rank_fusion_k=60
307,Q0,FR940705-2-00044,26,0.14187591801808688,reciprocal_rank_fusion_k=60
307,Q0,FR940617-2-00074,27,0.14078834304310844,reciprocal_rank_fusion_k=60
307,Q0,FR940405-2-00036,28,0.13823512197392582,reciprocal_rank_fusion_k=60
307,Q0,FR940203-1-00024,29,0.137669007531915,reciprocal_rank_fusion_k=60
307,Q0,FR940405-2-00039,30,0.1303933015881353,reciprocal_rank_fusion_k=60
307,Q0,FR940705-2-00043,31,0.12889590827197248,reciprocal_rank_fusion_k=60
307,Q0,FR940916-2-00028,32,0.12460881543083921,reciprocal_rank_fusion_k=60
307,Q0,FR940804-2-00063,33,0.12298406385693646,reciprocal_rank_fusion_k=60
307,Q0,FR941207-1-00024,34,0.12213662806994566,reciprocal_rank_fusion_k=60
307,Q0,FR940930-2-00025,35,0.12198155726072381,reciprocal_rank_fusion_k=60
307,Q0,FR940407-2-00043,36,0.12163119207752655,reciprocal_rank_fusion_k=60
307,Q0,FR940407-2-00040,37,0.12096412538999994,reciprocal_rank_fusion_k=60
307,Q0,FR940114-2-00040,38,0.11653399690745633,reciprocal_rank_fusion_k=60
307,Q0,FR940325-2-00042,39,0.11649352847180539,reciprocal_rank_fusion_k=60
307,Q0,FR941219-2-00088,40,0.11247404644601931,reciprocal_rank_fusion_k=60
307,Q0,FR940804-2-00062,41,0.10855313395705661,reciprocal_rank_fusion_k=60
307,Q0,FR940705-2-00041,42,0.10668718007538179,reciprocal_rank_fusion_k=60
307,Q0,FR940414-2-00026,43,0.10597261433331662,reciprocal_rank_fusion_k=60
307,Q0,FR940414-2-00025,44,0.10216165821629918,reciprocal_rank_fusion_k=60
307,Q0,FR940418-2-00053,45,0.10121651634654218,reciprocal_rank_fusion_k=60
307,Q0,FR940922-2-00045,46,0.09969506220803662,reciprocal_rank_fusion_k=60
307,Q0,FR940414-2-00023,47,0.09754739711468438,reciprocal_rank_fusion_k=60
307,Q0,FR940607-2-00031,48,0.09717533062646871,reciprocal_rank_fusion_k=60
307,Q0,FR940721-2-00032,49,0.09640278778076407,reciprocal_rank_fusion_k=60
307,Q0,FR940112-2-00018,50,0.09621939461915824,reciprocal_rank_fusion_k=60
307,Q0,FR940414-2-00022,51,0.09510449649567392,reciprocal_rank_fusion_k=60
307,Q0,FR940916-2-00029,52,0.09478115697043309,reciprocal_rank_fusion_k=60
307,Q0,FR940204-2-00052,53,0.09454757714386972,reciprocal_rank_fusion_k=60
307,Q0,FR940526-2-00014,54,0.0931697992516513,reciprocal_rank_fusion_k=60
307,Q0,FBIS4-21356,55,0.0911671194514364,reciprocal_rank_fusion_k=60
307,Q0,FR941121-2-00029,56,0.09102799492315924,reciprocal_rank_fusion_k=60
307,Q0,FR940414-2-00027,57,0.09085656944869228,reciprocal_rank_fusion_k=60
307,Q0,FR940414-2-00024,58,0.09056091709045645,reciprocal_rank_fusion_k=60
307,Q0,FR940407-2-00042,59,0.08951033794758034,reciprocal_rank_fusion_k=60
