query,q0,docid,rank,score,system
307,Q0,FR940512-2-00030,1,0.09091600633275726,minmaxnorm
307,Q0,FR940804-2-00061,2,0.08901616808022812,minmaxnorm
307,Q0,FR940303-2-00030,3,0.08814794759078852,minmaxnorm
307,Q0,FR940617-2-00070,4,0.08814045555080276,minmaxnorm
307,Q0,FR940405-2-00042,5,0.08495281979525812,minmaxnorm
307,Q0,FR940204-2-00051,6,0.0807990885888494,minmaxnorm
307,Q0,FR940414-2-00020,7,0.08042064710855289,minmaxnorm
307,Q0,FR940930-2-00024,8,0.07792674019205738,minmaxnorm
307,Q0,FR940114-2-00039,9,0.07736280571569838,minmaxnorm
307,Q0,FR940916-2-00027,10,0.07636959046661597,minmaxnorm
307,Q0,FR940418-2-00056,11,0.07602584710441915,minmaxnorm
307,Q0,FR940930-2-00023,12,0.07564296485499125,minmaxnorm
307,Q0,FR940617-2-00073,13,0.07524546671350714,minmaxnorm
307,Q0,FR940607-2-00030,14,0.0750514884347051,minmaxnorm
307,Q0,FR940303-2-00028,15,0.0748872498403611,minmaxnorm
307,Q0,FR940512-2-00029,16,0.074821551183567,minmaxnorm
307,Q0,FR940204-2-00053,17,0.0738734448689077,minmaxnorm
307,Q0,FR940705-2-00044,18,0.07294449607654367,minmaxnorm
307,Q0,FR940303-2-00027,19,0.07281846101935957,minmaxnorm
307,Q0,FR940705-2-00043,20,0.07123633198606627,minmaxnorm
307,Q0,FR940916-2-00026,21,0.07121062844215514,minmaxnorm
307,Q0,FR940405-2-00039,22,0.07061170455902853,minmaxnorm
307,Q0,FR940418-2-00054,23,0.07010387966524088,minmaxnorm
307,Q0,FR940617-2-00074,24,0.07000786027478614,minmaxnorm
307,Q0,FR940114-2-00040,25,0.0693609853913814,minmaxnorm
307,Q0,FR940405-2-00036,26,0.06934538946789032,minmaxnorm
307,Q0,FR940414-2-00028,27,0.06810143466343864,minmaxnorm
307,Q0,FR940418-2-00051,28,0.06783405741682405,minmaxnorm
307,Q0,FR940916-2-00028,29,0.06778485556647453,minmaxnorm
307,Q0,FR940414-2-00025,30,0.06740497618651799,minmaxnorm
307,Q0,FR940804-2-00059,31,0.06707552965463857,minmaxnorm
307,Q0,FR940114-2-00037,32,0.06641833398130594,minmaxnorm
307,Q0,FR940607-2-00031,33,0.06407977356265393,minmaxnorm
307,Q0,FR941216-2-00052,34,0.06393774624376242,minmaxnorm
307,Q0,FR940930-2-00025,35,0.06221088874464145,minmaxnorm
307,Q0,FR940930-2-00021,36,0.05904726668588492,minmaxnorm
307,Q0,FR940203-1-00024,37,0.05805218631803755,minmaxnorm
307,Q0,FR940325-2-00042,38,0.05788104959719133,minmaxnorm
307,Q0,FR940407-2-00043,39,0.05787616489372989,minmaxnorm
307,Q0,FR940414-2-00026,40,0.05772757880142931,minmaxnorm
307,Q0,FR940804-2-00062,41,0.057265497288588166,minmaxnorm
307,Q0,FR940804-2-00063,42,0.05702826967930458,minmaxnorm
307,Q0,FR940407-2-00039,43,0.05626754138995881,minmaxnorm
307,Q0,FR940705-2-00041,44,0.056135499242402666,minmaxnorm
307,Q0,FR940407-2-00040,45,0.055747153232514834,minmaxnorm
307,Q0,FR940204-2-00052,46,0.05469964175401776,minmaxnorm
307,Q0,FR940405-2-00041,47,0.054670652720180936,minmaxnorm
307,Q0,FR940526-2-00014,48,0.054559319907229155,minmaxnorm
307,Q0,FR940414-2-00022,49,0.05451193533702134,minmaxnorm
307,Q0,FR940418-2-00053,50,0.05445762711384227,minmaxnorm
307,Q0,FR940414-2-00027,51,0.05413304006664523,minmaxnorm
307,Q0,FR940414-2-00023,52,0.05410005577139906,minmaxnorm
307,Q0,FR940916-2-00029,53,0.05388991470783867,minmaxnorm
307,Q0,FR940407-2-00041,54,0.053743918648055194,minmaxnorm
307,Q0,FR940407-2-00045,55,0.05367171936674449,minmaxnorm
307,Q0,FR940418-2-00057,56,0.0532737950698271,minmaxnorm
