r1,r2,score
input.aplrob03a.gz,input.aplrob03b.gz,0.30805511965038257
input.aplrob03b.gz,input.aplrob03a.gz,0.30805511965038257
input.aplrob03a.gz,input.aplrob03c.gz,0.3048615388173721
input.aplrob03c.gz,input.aplrob03a.gz,0.3048615388173721
input.aplrob03a.gz,input.aplrob03d.gz,0.3045408621507554
input.aplrob03d.gz,input.aplrob03a.gz,0.3045408621507554
input.aplrob03a.gz,input.aplrob03e.gz,0.30793579133985044
input.aplrob03e.gz,input.aplrob03a.gz,0.30793579133985044
input.aplrob03a.gz,input.fub03IeOLKe3.gz,0.29809749290720067
input.fub03IeOLKe3.gz,input.aplrob03a.gz,0.29809749290720067
input.aplrob03a.gz,input.fub03InB2e3.gz,0.30653347135722225
input.fub03InB2e3.gz,input.aplrob03a.gz,0.30653347135722225
input.aplrob03a.gz,input.fub03IneOBu3.gz,0.2930055913070328
input.fub03IneOBu3.gz,input.aplrob03a.gz,0.2930055913070328
input.aplrob03a.gz,input.fub03IneOLe3.gz,0.2998033562716614
input.fub03IneOLe3.gz,input.aplrob03a.gz,0.2998033562716614
input.aplrob03a.gz,input.fub03InOLe3.gz,0.30385283188277085
input.fub03InOLe3.gz,input.aplrob03a.gz,0.30385283188277085
input.aplrob03a.gz,input.humR03d.gz,0.2911272978226513
input.humR03d.gz,input.aplrob03a.gz,0.2911272978226513
input.aplrob03a.gz,input.humR03dc.gz,0.3041296465848787
input.humR03dc.gz,input.aplrob03a.gz,0.3041296465848787
input.aplrob03a.gz,input.humR03de.gz,0.29948870757757867
input.humR03de.gz,input.aplrob03a.gz,0.29948870757757867
input.aplrob03b.gz,input.aplrob03c.gz,0.25642092364011043
input.aplrob03c.gz,input.aplrob03b.gz,0.25642092364011043
input.aplrob03b.gz,input.aplrob03d.gz,0.26750414475903717
input.aplrob03d.gz,input.aplrob03b.gz,0.26750414475903717
input.aplrob03b.gz,input.aplrob03e.gz,0.25849706144213425
input.aplrob03e.gz,input.aplrob03b.gz,0.25849706144213425
input.aplrob03b.gz,input.fub03IeOLKe3.gz,0.26731072328681765
input.fub03IeOLKe3.gz,input.aplrob03b.gz,0.26731072328681765
input.aplrob03b.gz,input.fub03InB2e3.gz,0.2636332932211993
input.fub03InB2e3.gz,input.aplrob03b.gz,0.2636332932211993
input.aplrob03b.gz,input.fub03IneOBu3.gz,0.2569347388810949
input.fub03IneOBu3.gz,input.aplrob03b.gz,0.2569347388810949
input.aplrob03b.gz,input.fub03IneOLe3.gz,0.26396921081138897
input.fub03IneOLe3.gz,input.aplrob03b.gz,0.26396921081138897
input.aplrob03b.gz,input.fub03InOLe3.gz,0.2690755517367579
input.fub03InOLe3.gz,input.aplrob03b.gz,0.2690755517367579
input.aplrob03b.gz,input.humR03d.gz,0.26131494437833347
input.humR03d.gz,input.aplrob03b.gz,0.26131494437833347
input.aplrob03b.gz,input.humR03dc.gz,0.24685449093370243
input.humR03dc.gz,input.aplrob03b.gz,0.24685449093370243
input.aplrob03b.gz,input.humR03de.gz,0.2750875705689851
input.humR03de.gz,input.aplrob03b.gz,0.2750875705689851
input.aplrob03c.gz,input.aplrob03d.gz,0.26391102225378354
input.aplrob03d.gz,input.aplrob03c.gz,0.26391102225378354
input.aplrob03c.gz,input.aplrob03e.gz,0.2567003975356216
input.aplrob03e.gz,input.aplrob03c.gz,0.2567003975356216
input.aplrob03c.gz,input.fub03IeOLKe3.gz,0.2633712550281276
input.fub03IeOLKe3.gz,input.aplrob03c.gz,0.2633712550281276
input.aplrob03c.gz,input.fub03InB2e3.gz,0.2705647760544995
input.fub03InB2e3.gz,input.aplrob03c.gz,0.2705647760544995
input.aplrob03c.gz,input.fub03IneOBu3.gz,0.2500327132030602
input.fub03IneOBu3.gz,input.aplrob03c.gz,0.2500327132030602
input.aplrob03c.gz,input.fub03IneOLe3.gz,0.26596023163786686
input.fub03IneOLe3.gz,input.aplrob03c.gz,0.26596023163786686
input.aplrob03c.gz,input.fub03InOLe3.gz,0.26776726631048337
input.fub03InOLe3.gz,input.aplrob03c.gz,0.26776726631048337
input.aplrob03c.gz,input.humR03d.gz,0.242501394883802
input.humR03d.gz,input.aplrob03c.gz,0.242501394883802
input.aplrob03c.gz,input.humR03dc.gz,0.2455310179395754
input.humR03dc.gz,input.aplrob03c.gz,0.2455310179395754
input.aplrob03c.gz,input.humR03de.gz,0.2534317890975352
input.humR03de.gz,input.aplrob03c.gz,0.2534317890975352
input.aplrob03d.gz,input.aplrob03e.gz,0.2676238886150886
input.aplrob03e.gz,input.aplrob03d.gz,0.2676238886150886
input.aplrob03d.gz,input.fub03IeOLKe3.gz,0.26806148930170465
input.fub03IeOLKe3.gz,input.aplrob03d.gz,0.26806148930170465
input.aplrob03d.gz,input.fub03InB2e3.gz,0.27631519357981643
input.fub03InB2e3.gz,input.aplrob03d.gz,0.27631519357981643
input.aplrob03d.gz,input.fub03IneOBu3.gz,0.25844542799146
input.fub03IneOBu3.gz,input.aplrob03d.gz,0.25844542799146
input.aplrob03d.gz,input.fub03IneOLe3.gz,0.2695765462666948
input.fub03IneOLe3.gz,input.aplrob03d.gz,0.2695765462666948
input.aplrob03d.gz,input.fub03InOLe3.gz,0.27365644628609165
input.fub03InOLe3.gz,input.aplrob03d.gz,0.27365644628609165
input.aplrob03d.gz,input.humR03d.gz,0.2536702036689256
input.humR03d.gz,input.aplrob03d.gz,0.2536702036689256
input.aplrob03d.gz,input.humR03dc.gz,0.2625494890105906
input.humR03dc.gz,input.aplrob03d.gz,0.2625494890105906
input.aplrob03d.gz,input.humR03de.gz,0.26241784829002174
input.humR03de.gz,input.aplrob03d.gz,0.26241784829002174
input.aplrob03e.gz,input.fub03IeOLKe3.gz,0.267738452081164
input.fub03IeOLKe3.gz,input.aplrob03e.gz,0.267738452081164
input.aplrob03e.gz,input.fub03InB2e3.gz,0.2639128480217803
input.fub03InB2e3.gz,input.aplrob03e.gz,0.2639128480217803
input.aplrob03e.gz,input.fub03IneOBu3.gz,0.25728369161648973
input.fub03IneOBu3.gz,input.aplrob03e.gz,0.25728369161648973
input.aplrob03e.gz,input.fub03IneOLe3.gz,0.265165717795317
input.fub03IneOLe3.gz,input.aplrob03e.gz,0.265165717795317
input.aplrob03e.gz,input.fub03InOLe3.gz,0.26925621978635117
input.fub03InOLe3.gz,input.aplrob03e.gz,0.26925621978635117
input.aplrob03e.gz,input.humR03d.gz,0.2619812426493864
input.humR03d.gz,input.aplrob03e.gz,0.2619812426493864
input.aplrob03e.gz,input.humR03dc.gz,0.24439752949408464
input.humR03dc.gz,input.aplrob03e.gz,0.24439752949408464
