r1,r2,score
input.aplrob03a.gz,input.aplrob03b.gz,0.44875
input.aplrob03b.gz,input.aplrob03a.gz,0.44875
input.aplrob03a.gz,input.aplrob03c.gz,0.46125
input.aplrob03c.gz,input.aplrob03a.gz,0.46125
input.aplrob03a.gz,input.aplrob03d.gz,0.4525
input.aplrob03d.gz,input.aplrob03a.gz,0.4525
input.aplrob03a.gz,input.aplrob03e.gz,0.4625
input.aplrob03e.gz,input.aplrob03a.gz,0.4625
input.aplrob03a.gz,input.fub03IeOLKe3.gz,0.46749999999999997
input.fub03IeOLKe3.gz,input.aplrob03a.gz,0.46749999999999997
input.aplrob03a.gz,input.fub03InB2e3.gz,0.4625
input.fub03InB2e3.gz,input.aplrob03a.gz,0.4625
input.aplrob03a.gz,input.fub03IneOBu3.gz,0.4574999999999999
input.fub03IneOBu3.gz,input.aplrob03a.gz,0.4574999999999999
input.aplrob03a.gz,input.fub03IneOLe3.gz,0.45875000000000005
input.fub03IneOLe3.gz,input.aplrob03a.gz,0.45875000000000005
input.aplrob03a.gz,input.fub03InOLe3.gz,0.46875
input.fub03InOLe3.gz,input.aplrob03a.gz,0.46875
input.aplrob03a.gz,input.humR03d.gz,0.44625000000000004
input.humR03d.gz,input.aplrob03a.gz,0.44625000000000004
input.aplrob03a.gz,input.humR03dc.gz,0.4175
input.humR03dc.gz,input.aplrob03a.gz,0.4175
input.aplrob03a.gz,input.humR03de.gz,0.4725
input.humR03de.gz,input.aplrob03a.gz,0.4725
input.aplrob03b.gz,input.aplrob03c.gz,0.39875000000000005
input.aplrob03c.gz,input.aplrob03b.gz,0.39875000000000005
input.aplrob03b.gz,input.aplrob03d.gz,0.38875000000000004
input.aplrob03d.gz,input.aplrob03b.gz,0.38875000000000004
input.aplrob03b.gz,input.aplrob03e.gz,0.36375
input.aplrob03e.gz,input.aplrob03b.gz,0.36375
input.aplrob03b.gz,input.fub03IeOLKe3.gz,0.42750000000000005
input.fub03IeOLKe3.gz,input.aplrob03b.gz,0.42750000000000005
input.aplrob03b.gz,input.fub03InB2e3.gz,0.43
input.fub03InB2e3.gz,input.aplrob03b.gz,0.43
input.aplrob03b.gz,input.fub03IneOBu3.gz,0.41375
input.fub03IneOBu3.gz,input.aplrob03b.gz,0.41375
input.aplrob03b.gz,input.fub03IneOLe3.gz,0.42874999999999996
input.fub03IneOLe3.gz,input.aplrob03b.gz,0.42874999999999996
input.aplrob03b.gz,input.fub03InOLe3.gz,0.43375
input.fub03InOLe3.gz,input.aplrob03b.gz,0.43375
input.aplrob03b.gz,input.humR03d.gz,0.40750000000000003
input.humR03d.gz,input.aplrob03b.gz,0.40750000000000003
input.aplrob03b.gz,input.humR03dc.gz,0.36875
input.humR03dc.gz,input.aplrob03b.gz,0.36875
input.aplrob03b.gz,input.humR03de.gz,0.43125
input.humR03de.gz,input.aplrob03b.gz,0.43125
input.aplrob03c.gz,input.aplrob03d.gz,0.4050000000000001
input.aplrob03d.gz,input.aplrob03c.gz,0.4050000000000001
input.aplrob03c.gz,input.aplrob03e.gz,0.40125
input.aplrob03e.gz,input.aplrob03c.gz,0.40125
input.aplrob03c.gz,input.fub03IeOLKe3.gz,0.44000000000000006
input.fub03IeOLKe3.gz,input.aplrob03c.gz,0.44000000000000006
input.aplrob03c.gz,input.fub03InB2e3.gz,0.4425
input.fub03InB2e3.gz,input.aplrob03c.gz,0.4425
input.aplrob03c.gz,input.fub03IneOBu3.gz,0.43125
input.fub03IneOBu3.gz,input.aplrob03c.gz,0.43125
input.aplrob03c.gz,input.fub03IneOLe3.gz,0.43500000000000005
input.fub03IneOLe3.gz,input.aplrob03c.gz,0.43500000000000005
input.aplrob03c.gz,input.fub03InOLe3.gz,0.4425
input.fub03InOLe3.gz,input.aplrob03c.gz,0.4425
input.aplrob03c.gz,input.humR03d.gz,0.41125000000000006
input.humR03d.gz,input.aplrob03c.gz,0.41125000000000006
input.aplrob03c.gz,input.humR03dc.gz,0.375
input.humR03dc.gz,input.aplrob03c.gz,0.375
