r1,r2,score
input.aplrob03a.gz,input.aplrob03b.gz,0.3162008503261843
input.aplrob03b.gz,input.aplrob03a.gz,0.3162008503261843
input.aplrob03a.gz,input.aplrob03c.gz,0.31599956811622354
input.aplrob03c.gz,input.aplrob03a.gz,0.31599956811622354
input.aplrob03a.gz,input.aplrob03d.gz,0.31856948208286356
input.aplrob03d.gz,input.aplrob03a.gz,0.31856948208286356
input.aplrob03a.gz,input.aplrob03e.gz,0.31751665829893794
input.aplrob03e.gz,input.aplrob03a.gz,0.31751665829893794
input.aplrob03a.gz,input.fub03IeOLKe3.gz,0.3073464479288204
input.fub03IeOLKe3.gz,input.aplrob03a.gz,0.3073464479288204
input.aplrob03a.gz,input.fub03InB2e3.gz,0.30866190422267886
input.fub03InB2e3.gz,input.aplrob03a.gz,0.30866190422267886
input.aplrob03a.gz,input.fub03IneOBu3.gz,0.29955287811889986
input.fub03IneOBu3.gz,input.aplrob03a.gz,0.29955287811889986
input.aplrob03a.gz,input.fub03IneOLe3.gz,0.30854286878575693
input.fub03IneOLe3.gz,input.aplrob03a.gz,0.30854286878575693
input.aplrob03a.gz,input.fub03InOLe3.gz,0.3105540906895248
input.fub03InOLe3.gz,input.aplrob03a.gz,0.3105540906895248
input.aplrob03a.gz,input.humR03d.gz,0.3018938016566765
input.humR03d.gz,input.aplrob03a.gz,0.3018938016566765
input.aplrob03a.gz,input.humR03dc.gz,0.2955491055755898
input.humR03dc.gz,input.aplrob03a.gz,0.2955491055755898
input.aplrob03a.gz,input.humR03de.gz,0.3181468135677326
input.humR03de.gz,input.aplrob03a.gz,0.3181468135677326
input.aplrob03b.gz,input.aplrob03c.gz,0.27939110030276604
input.aplrob03c.gz,input.aplrob03b.gz,0.27939110030276604
input.aplrob03b.gz,input.aplrob03d.gz,0.28504222964413894
input.aplrob03d.gz,input.aplrob03b.gz,0.28504222964413894
input.aplrob03b.gz,input.aplrob03e.gz,0.2756905473020192
input.aplrob03e.gz,input.aplrob03b.gz,0.2756905473020192
input.aplrob03b.gz,input.fub03IeOLKe3.gz,0.28081831682797587
input.fub03IeOLKe3.gz,input.aplrob03b.gz,0.28081831682797587
input.aplrob03b.gz,input.fub03InB2e3.gz,0.2693682547535336
input.fub03InB2e3.gz,input.aplrob03b.gz,0.2693682547535336
input.aplrob03b.gz,input.fub03IneOBu3.gz,0.2684795042878715
input.fub03IneOBu3.gz,input.aplrob03b.gz,0.2684795042878715
input.aplrob03b.gz,input.fub03IneOLe3.gz,0.27816740194570244
input.fub03IneOLe3.gz,input.aplrob03b.gz,0.27816740194570244
input.aplrob03b.gz,input.fub03InOLe3.gz,0.2792887638561205
input.fub03InOLe3.gz,input.aplrob03b.gz,0.2792887638561205
input.aplrob03b.gz,input.humR03d.gz,0.2776966265217452
input.humR03d.gz,input.aplrob03b.gz,0.2776966265217452
input.aplrob03b.gz,input.humR03dc.gz,0.22254711475292904
input.humR03dc.gz,input.aplrob03b.gz,0.22254711475292904
input.aplrob03b.gz,input.humR03de.gz,0.29627274535491105
input.humR03de.gz,input.aplrob03b.gz,0.29627274535491105
input.aplrob03c.gz,input.aplrob03d.gz,0.27877803952460545
input.aplrob03d.gz,input.aplrob03c.gz,0.27877803952460545
input.aplrob03c.gz,input.aplrob03e.gz,0.2791422960953246
input.aplrob03e.gz,input.aplrob03c.gz,0.2791422960953246
input.aplrob03c.gz,input.fub03IeOLKe3.gz,0.2845494812624337
input.fub03IeOLKe3.gz,input.aplrob03c.gz,0.2845494812624337
input.aplrob03c.gz,input.fub03InB2e3.gz,0.27693458750937766
input.fub03InB2e3.gz,input.aplrob03c.gz,0.27693458750937766
input.aplrob03c.gz,input.fub03IneOBu3.gz,0.2664720254301659
input.fub03IneOBu3.gz,input.aplrob03c.gz,0.2664720254301659
input.aplrob03c.gz,input.fub03IneOLe3.gz,0.2820549369187237
input.fub03IneOLe3.gz,input.aplrob03c.gz,0.2820549369187237
input.aplrob03c.gz,input.fub03InOLe3.gz,0.2862670864575164
input.fub03InOLe3.gz,input.aplrob03c.gz,0.2862670864575164
input.aplrob03c.gz,input.humR03d.gz,0.2649862431163908
input.humR03d.gz,input.aplrob03c.gz,0.2649862431163908
input.aplrob03c.gz,input.humR03dc.gz,0.24316100578919153
input.humR03dc.gz,input.aplrob03c.gz,0.24316100578919153
input.aplrob03c.gz,input.humR03de.gz,0.28532181143288904
input.humR03de.gz,input.aplrob03c.gz,0.28532181143288904
input.aplrob03d.gz,input.aplrob03e.gz,0.2855762890353043
input.aplrob03e.gz,input.aplrob03d.gz,0.2855762890353043
input.aplrob03d.gz,input.fub03IeOLKe3.gz,0.28682719259242273
input.fub03IeOLKe3.gz,input.aplrob03d.gz,0.28682719259242273
input.aplrob03d.gz,input.fub03InB2e3.gz,0.2818658070161579
input.fub03InB2e3.gz,input.aplrob03d.gz,0.2818658070161579
input.aplrob03d.gz,input.fub03IneOBu3.gz,0.27369501068912605
input.fub03IneOBu3.gz,input.aplrob03d.gz,0.27369501068912605
input.aplrob03d.gz,input.fub03IneOLe3.gz,0.28674849247986284
input.fub03IneOLe3.gz,input.aplrob03d.gz,0.28674849247986284
input.aplrob03d.gz,input.fub03InOLe3.gz,0.28922247378327676
input.fub03InOLe3.gz,input.aplrob03d.gz,0.28922247378327676
input.aplrob03d.gz,input.humR03d.gz,0.2727222789570826
input.humR03d.gz,input.aplrob03d.gz,0.2727222789570826
input.aplrob03d.gz,input.humR03dc.gz,0.2593411368438311
input.humR03dc.gz,input.aplrob03d.gz,0.2593411368438311
input.aplrob03d.gz,input.humR03de.gz,0.2928472029392946
