r1,r2,score
input.aplrob03a.gz,input.aplrob03b.gz,0.2948054862405295
input.aplrob03b.gz,input.aplrob03a.gz,0.2948054862405295
input.aplrob03a.gz,input.aplrob03c.gz,0.2897793256789007
input.aplrob03c.gz,input.aplrob03a.gz,0.2897793256789007
input.aplrob03a.gz,input.aplrob03d.gz,0.29199099510178234
input.aplrob03d.gz,input.aplrob03a.gz,0.29199099510178234
input.aplrob03a.gz,input.aplrob03e.gz,0.29176509470303313
input.aplrob03e.gz,input.aplrob03a.gz,0.29176509470303313
input.aplrob03a.gz,input.fub03IeOLKe3.gz,0.2893089830377799
input.fub03IeOLKe3.gz,input.aplrob03a.gz,0.2893089830377799
input.aplrob03a.gz,input.fub03InB2e3.gz,0.2893720628626812
input.fub03InB2e3.gz,input.aplrob03a.gz,0.2893720628626812
input.aplrob03a.gz,input.fub03IneOBu3.gz,0.2846010868622418
input.fub03IneOBu3.gz,input.aplrob03a.gz,0.2846010868622418
input.aplrob03a.gz,input.fub03IneOLe3.gz,0.28714864358689446
input.fub03IneOLe3.gz,input.aplrob03a.gz,0.28714864358689446
input.aplrob03a.gz,input.fub03InOLe3.gz,0.29170417047498415
input.fub03InOLe3.gz,input.aplrob03a.gz,0.29170417047498415
input.aplrob03a.gz,input.humR03d.gz,0.28945282407166395
input.humR03d.gz,input.aplrob03a.gz,0.28945282407166395
input.aplrob03a.gz,input.humR03dc.gz,0.2806476806305405
input.humR03dc.gz,input.aplrob03a.gz,0.2806476806305405
input.aplrob03a.gz,input.humR03de.gz,0.29113348448625326
input.humR03de.gz,input.aplrob03a.gz,0.29113348448625326
input.aplrob03b.gz,input.aplrob03c.gz,0.263140716674448
input.aplrob03c.gz,input.aplrob03b.gz,0.263140716674448
input.aplrob03b.gz,input.aplrob03d.gz,0.2679212416690365
input.aplrob03d.gz,input.aplrob03b.gz,0.2679212416690365
input.aplrob03b.gz,input.aplrob03e.gz,0.2608890175668054
input.aplrob03e.gz,input.aplrob03b.gz,0.2608890175668054
input.aplrob03b.gz,input.fub03IeOLKe3.gz,0.2695498844412097
input.fub03IeOLKe3.gz,input.aplrob03b.gz,0.2695498844412097
input.aplrob03b.gz,input.fub03InB2e3.gz,0.26811272064576464
input.fub03InB2e3.gz,input.aplrob03b.gz,0.26811272064576464
input.aplrob03b.gz,input.fub03IneOBu3.gz,0.26101986288286666
input.fub03IneOBu3.gz,input.aplrob03b.gz,0.26101986288286666
input.aplrob03b.gz,input.fub03IneOLe3.gz,0.2660884793430832
input.fub03IneOLe3.gz,input.aplrob03b.gz,0.2660884793430832
input.aplrob03b.gz,input.fub03InOLe3.gz,0.2728178864976156
input.fub03InOLe3.gz,input.aplrob03b.gz,0.2728178864976156
input.aplrob03b.gz,input.humR03d.gz,0.26258956849470666
