r1,r2,score
input.aplrob03a.gz,input.aplrob03b.gz,0.2946752771043812
input.aplrob03b.gz,input.aplrob03a.gz,0.2946752771043812
input.aplrob03a.gz,input.aplrob03c.gz,0.29186385356854905
input.aplrob03c.gz,input.aplrob03a.gz,0.29186385356854905
input.aplrob03a.gz,input.aplrob03d.gz,0.2922001618606371
input.aplrob03d.gz,input.aplrob03a.gz,0.2922001618606371
input.aplrob03a.gz,input.aplrob03e.gz,0.29152047851419904
input.aplrob03e.gz,input.aplrob03a.gz,0.29152047851419904
input.aplrob03a.gz,input.fub03IeOLKe3.gz,0.2918351498117613
input.fub03IeOLKe3.gz,input.aplrob03a.gz,0.2918351498117613
input.aplrob03a.gz,input.fub03InB2e3.gz,0.29751433080029843
input.fub03InB2e3.gz,input.aplrob03a.gz,0.29751433080029843
input.aplrob03a.gz,input.fub03IneOBu3.gz,0.28927049601716986
input.fub03IneOBu3.gz,input.aplrob03a.gz,0.28927049601716986
input.aplrob03a.gz,input.fub03IneOLe3.gz,0.2912235539341256
input.fub03IneOLe3.gz,input.aplrob03a.gz,0.2912235539341256
input.aplrob03a.gz,input.fub03InOLe3.gz,0.2958908094491325
input.fub03InOLe3.gz,input.aplrob03a.gz,0.2958908094491325
input.aplrob03a.gz,input.humR03d.gz,0.29369341714400166
input.humR03d.gz,input.aplrob03a.gz,0.29369341714400166
input.aplrob03a.gz,input.humR03dc.gz,0.28868624376962754
input.humR03dc.gz,input.aplrob03a.gz,0.28868624376962754
input.aplrob03a.gz,input.humR03de.gz,0.29567945254946715
input.humR03de.gz,input.aplrob03a.gz,0.29567945254946715
input.aplrob03b.gz,input.aplrob03c.gz,0.2628132711104427
input.aplrob03c.gz,input.aplrob03b.gz,0.2628132711104427
input.aplrob03b.gz,input.aplrob03d.gz,0.26765478426940426
input.aplrob03d.gz,input.aplrob03b.gz,0.26765478426940426
input.aplrob03b.gz,input.aplrob03e.gz,0.26065096983425085
input.aplrob03e.gz,input.aplrob03b.gz,0.26065096983425085
input.aplrob03b.gz,input.fub03IeOLKe3.gz,0.27216198838496364
input.fub03IeOLKe3.gz,input.aplrob03b.gz,0.27216198838496364
input.aplrob03b.gz,input.fub03InB2e3.gz,0.2718740689876268
input.fub03InB2e3.gz,input.aplrob03b.gz,0.2718740689876268
input.aplrob03b.gz,input.fub03IneOBu3.gz,0.2648264724918031
input.fub03IneOBu3.gz,input.aplrob03b.gz,0.2648264724918031
input.aplrob03b.gz,input.fub03IneOLe3.gz,0.26896695667237125
input.fub03IneOLe3.gz,input.aplrob03b.gz,0.26896695667237125
input.aplrob03b.gz,input.fub03InOLe3.gz,0.2735390351275081
input.fub03InOLe3.gz,input.aplrob03b.gz,0.2735390351275081
input.aplrob03b.gz,input.humR03d.gz,0.26752102889918444
input.humR03d.gz,input.aplrob03b.gz,0.26752102889918444
input.aplrob03b.gz,input.humR03dc.gz,0.25421780117495796
input.humR03dc.gz,input.aplrob03b.gz,0.25421780117495796
input.aplrob03b.gz,input.humR03de.gz,0.27858678010510723
input.humR03de.gz,input.aplrob03b.gz,0.27858678010510723
input.aplrob03c.gz,input.aplrob03d.gz,0.26554351973166496
input.aplrob03d.gz,input.aplrob03c.gz,0.26554351973166496
input.aplrob03c.gz,input.aplrob03e.gz,0.26199081487845577
input.aplrob03e.gz,input.aplrob03c.gz,0.26199081487845577
input.aplrob03c.gz,input.fub03IeOLKe3.gz,0.2710415575166474
input.fub03IeOLKe3.gz,input.aplrob03c.gz,0.2710415575166474
input.aplrob03c.gz,input.fub03InB2e3.gz,0.2687928098034974
input.fub03InB2e3.gz,input.aplrob03c.gz,0.2687928098034974
input.aplrob03c.gz,input.fub03IneOBu3.gz,0.25956186420787264
input.fub03IneOBu3.gz,input.aplrob03c.gz,0.25956186420787264
input.aplrob03c.gz,input.fub03IneOLe3.gz,0.2669875445952862
input.fub03IneOLe3.gz,input.aplrob03c.gz,0.2669875445952862
input.aplrob03c.gz,input.fub03InOLe3.gz,0.27286579391016186
input.fub03InOLe3.gz,input.aplrob03c.gz,0.27286579391016186
input.aplrob03c.gz,input.humR03d.gz,0.2597998214634977
input.humR03d.gz,input.aplrob03c.gz,0.2597998214634977
input.aplrob03c.gz,input.humR03dc.gz,0.24442189387029475
input.humR03dc.gz,input.aplrob03c.gz,0.24442189387029475
input.aplrob03c.gz,input.humR03de.gz,0.27258525706220305
input.humR03de.gz,input.aplrob03c.gz,0.27258525706220305
input.aplrob03d.gz,input.aplrob03e.gz,0.26590752145925733
input.aplrob03e.gz,input.aplrob03d.gz,0.26590752145925733
input.aplrob03d.gz,input.fub03IeOLKe3.gz,0.27435846230773053
input.fub03IeOLKe3.gz,input.aplrob03d.gz,0.27435846230773053
input.aplrob03d.gz,input.fub03InB2e3.gz,0.2724768173078172
input.fub03InB2e3.gz,input.aplrob03d.gz,0.2724768173078172
input.aplrob03d.gz,input.fub03IneOBu3.gz,0.2674310135342999
input.fub03IneOBu3.gz,input.aplrob03d.gz,0.2674310135342999
input.aplrob03d.gz,input.fub03IneOLe3.gz,0.2724315387480401
input.fub03IneOLe3.gz,input.aplrob03d.gz,0.2724315387480401
input.aplrob03d.gz,input.fub03InOLe3.gz,0.27952647975367234
input.fub03InOLe3.gz,input.aplrob03d.gz,0.27952647975367234
input.aplrob03d.gz,input.humR03d.gz,0.2706242650293557
input.humR03d.gz,input.aplrob03d.gz,0.2706242650293557
input.aplrob03d.gz,input.humR03dc.gz,0.26020546584104853
input.humR03dc.gz,input.aplrob03d.gz,0.26020546584104853
input.aplrob03d.gz,input.humR03de.gz,0.28124787467269924
input.humR03de.gz,input.aplrob03d.gz,0.28124787467269924
input.aplrob03e.gz,input.fub03IeOLKe3.gz,0.2665295680969196
input.fub03IeOLKe3.gz,input.aplrob03e.gz,0.2665295680969196
input.aplrob03e.gz,input.fub03InB2e3.gz,0.2674586868024025
input.fub03InB2e3.gz,input.aplrob03e.gz,0.2674586868024025
input.aplrob03e.gz,input.fub03IneOBu3.gz,0.25931911942563957
input.fub03IneOBu3.gz,input.aplrob03e.gz,0.25931911942563957
input.aplrob03e.gz,input.fub03IneOLe3.gz,0.26649199496844805
