r1,r2,score
input.aplrob03a.gz,input.aplrob03b.gz,0.41875
input.aplrob03b.gz,input.aplrob03a.gz,0.41875
input.aplrob03a.gz,input.aplrob03c.gz,0.43000000000000005
input.aplrob03c.gz,input.aplrob03a.gz,0.43000000000000005
input.aplrob03a.gz,input.aplrob03d.gz,0.4287500000000001
input.aplrob03d.gz,input.aplrob03a.gz,0.4287500000000001
input.aplrob03a.gz,input.aplrob03e.gz,0.42125
input.aplrob03e.gz,input.aplrob03a.gz,0.42125
input.aplrob03a.gz,input.fub03IeOLKe3.gz,0.43624999999999997
input.fub03IeOLKe3.gz,input.aplrob03a.gz,0.43624999999999997
input.aplrob03a.gz,input.fub03InB2e3.gz,0.44499999999999995
input.fub03InB2e3.gz,input.aplrob03a.gz,0.44499999999999995
input.aplrob03a.gz,input.fub03IneOBu3.gz,0.44250000000000006
input.fub03IneOBu3.gz,input.aplrob03a.gz,0.44250000000000006
input.aplrob03a.gz,input.fub03IneOLe3.gz,0.4375
input.fub03IneOLe3.gz,input.aplrob03a.gz,0.4375
input.aplrob03a.gz,input.fub03InOLe3.gz,0.43624999999999997
input.fub03InOLe3.gz,input.aplrob03a.gz,0.43624999999999997
input.aplrob03a.gz,input.humR03d.gz,0.4375
input.humR03d.gz,input.aplrob03a.gz,0.4375
input.aplrob03a.gz,input.humR03de.gz,0.44000000000000006
input.humR03de.gz,input.aplrob03a.gz,0.44000000000000006
input.aplrob03b.gz,input.aplrob03c.gz,0.385
input.aplrob03c.gz,input.aplrob03b.gz,0.385
input.aplrob03b.gz,input.aplrob03d.gz,0.37625000000000003
input.aplrob03d.gz,input.aplrob03b.gz,0.37625000000000003
input.aplrob03b.gz,input.aplrob03e.gz,0.36124999999999996
input.aplrob03e.gz,input.aplrob03b.gz,0.36124999999999996
input.aplrob03b.gz,input.fub03IeOLKe3.gz,0.40125
input.fub03IeOLKe3.gz,input.aplrob03b.gz,0.40125
input.aplrob03b.gz,input.fub03InB2e3.gz,0.40750000000000003
input.fub03InB2e3.gz,input.aplrob03b.gz,0.40750000000000003
input.aplrob03b.gz,input.fub03IneOBu3.gz,0.4
input.fub03IneOBu3.gz,input.aplrob03b.gz,0.4
input.aplrob03b.gz,input.fub03IneOLe3.gz,0.39375000000000004
input.fub03IneOLe3.gz,input.aplrob03b.gz,0.39375000000000004
input.aplrob03b.gz,input.fub03InOLe3.gz,0.41
input.fub03InOLe3.gz,input.aplrob03b.gz,0.41
input.aplrob03b.gz,input.humR03d.gz,0.38
input.humR03d.gz,input.aplrob03b.gz,0.38
input.aplrob03b.gz,input.humR03de.gz,0.41375
input.humR03de.gz,input.aplrob03b.gz,0.41375
input.aplrob03c.gz,input.aplrob03d.gz,0.39
input.aplrob03d.gz,input.aplrob03c.gz,0.39
input.aplrob03c.gz,input.aplrob03e.gz,0.38500000000000006
input.aplrob03e.gz,input.aplrob03c.gz,0.38500000000000006
input.aplrob03c.gz,input.fub03IeOLKe3.gz,0.41374999999999995
input.fub03IeOLKe3.gz,input.aplrob03c.gz,0.41374999999999995
input.aplrob03c.gz,input.fub03InB2e3.gz,0.41875
input.fub03InB2e3.gz,input.aplrob03c.gz,0.41875
input.aplrob03c.gz,input.fub03IneOBu3.gz,0.39875
input.fub03IneOBu3.gz,input.aplrob03c.gz,0.39875
input.aplrob03c.gz,input.fub03IneOLe3.gz,0.40374999999999994
input.fub03IneOLe3.gz,input.aplrob03c.gz,0.40374999999999994
input.aplrob03c.gz,input.fub03InOLe3.gz,0.42750000000000005
input.fub03InOLe3.gz,input.aplrob03c.gz,0.42750000000000005
input.aplrob03c.gz,input.humR03d.gz,0.395
input.humR03d.gz,input.aplrob03c.gz,0.395
input.aplrob03c.gz,input.humR03de.gz,0.41
input.humR03de.gz,input.aplrob03c.gz,0.41
input.aplrob03d.gz,input.aplrob03e.gz,0.37875000000000003
input.aplrob03e.gz,input.aplrob03d.gz,0.37875000000000003
input.aplrob03d.gz,input.fub03IeOLKe3.gz,0.3925
input.fub03IeOLKe3.gz,input.aplrob03d.gz,0.3925
input.aplrob03d.gz,input.fub03InB2e3.gz,0.42125
input.fub03InB2e3.gz,input.aplrob03d.gz,0.42125
input.aplrob03d.gz,input.fub03IneOBu3.gz,0.39625000000000005
input.fub03IneOBu3.gz,input.aplrob03d.gz,0.39625000000000005
input.aplrob03d.gz,input.fub03IneOLe3.gz,0.39749999999999996
input.fub03IneOLe3.gz,input.aplrob03d.gz,0.39749999999999996
input.aplrob03d.gz,input.fub03InOLe3.gz,0.40499999999999997
input.fub03InOLe3.gz,input.aplrob03d.gz,0.40499999999999997
input.aplrob03d.gz,input.humR03d.gz,0.38500000000000006
input.humR03d.gz,input.aplrob03d.gz,0.38500000000000006
input.aplrob03d.gz,input.humR03de.gz,0.39625000000000005
input.humR03de.gz,input.aplrob03d.gz,0.39625000000000005
input.aplrob03e.gz,input.fub03IeOLKe3.gz,0.40499999999999997
input.fub03IeOLKe3.gz,input.aplrob03e.gz,0.40499999999999997
input.aplrob03e.gz,input.fub03InB2e3.gz,0.40875000000000006
input.fub03InB2e3.gz,input.aplrob03e.gz,0.40875000000000006
input.aplrob03e.gz,input.fub03IneOBu3.gz,0.39499999999999996
input.fub03IneOBu3.gz,input.aplrob03e.gz,0.39499999999999996
input.aplrob03e.gz,input.fub03IneOLe3.gz,0.39625000000000005
input.fub03IneOLe3.gz,input.aplrob03e.gz,0.39625000000000005
input.aplrob03e.gz,input.fub03InOLe3.gz,0.40874999999999995
input.fub03InOLe3.gz,input.aplrob03e.gz,0.40874999999999995
input.aplrob03e.gz,input.humR03d.gz,0.38125
input.humR03d.gz,input.aplrob03e.gz,0.38125
input.aplrob03e.gz,input.humR03de.gz,0.41500000000000004
input.humR03de.gz,input.aplrob03e.gz,0.41500000000000004
input.fub03IeOLKe3.gz,input.fub03InB2e3.gz,0.39875
input.fub03InB2e3.gz,input.fub03IeOLKe3.gz,0.39875
input.fub03IeOLKe3.gz,input.fub03IneOBu3.gz,0.39125
input.fub03IneOBu3.gz,input.fub03IeOLKe3.gz,0.39125
input.fub03IeOLKe3.gz,input.fub03IneOLe3.gz,0.38375
input.fub03IneOLe3.gz,input.fub03IeOLKe3.gz,0.38375
input.fub03IeOLKe3.gz,input.fub03InOLe3.gz,0.39125
input.fub03InOLe3.gz,input.fub03IeOLKe3.gz,0.39125
input.fub03IeOLKe3.gz,input.humR03d.gz,0.38875000000000004
input.humR03d.gz,input.fub03IeOLKe3.gz,0.38875000000000004
input.fub03IeOLKe3.gz,input.humR03de.gz,0.40374999999999994
input.humR03de.gz,input.fub03IeOLKe3.gz,0.40374999999999994
input.fub03InB2e3.gz,input.fub03IneOBu3.gz,0.40124999999999994
input.fub03IneOBu3.gz,input.fub03InB2e3.gz,0.40124999999999994
input.fub03InB2e3.gz,input.fub03IneOLe3.gz,0.39499999999999996
input.fub03IneOLe3.gz,input.fub03InB2e3.gz,0.39499999999999996
input.fub03InB2e3.gz,input.fub03InOLe3.gz,0.41375
input.fub03InOLe3.gz,input.fub03InB2e3.gz,0.41375
input.fub03InB2e3.gz,input.humR03d.gz,0.40750000000000003
input.humR03d.gz,input.fub03InB2e3.gz,0.40750000000000003
input.fub03InB2e3.gz,input.humR03de.gz,0.41625000000000006
input.humR03de.gz,input.fub03InB2e3.gz,0.41625000000000006
input.fub03IneOBu3.gz,input.fub03IneOLe3.gz,0.38125
input.fub03IneOLe3.gz,input.fub03IneOBu3.gz,0.38125
input.fub03IneOBu3.gz,input.humR03d.gz,0.385
input.humR03d.gz,input.fub03IneOBu3.gz,0.385
input.fub03IneOBu3.gz,input.humR03de.gz,0.3975
input.humR03de.gz,input.fub03IneOBu3.gz,0.3975
input.fub03IneOLe3.gz,input.humR03d.gz,0.38375
input.humR03d.gz,input.fub03IneOLe3.gz,0.38375
