r1,weight
input.InexpC2.gz,9.58875
input.InexpC2QE.gz,9.70125
input.MU03rob01.gz,9.48875
input.MU03rob02.gz,10.13125
input.MU03rob04.gz,10.5125
input.MU03rob05.gz,9.841249999999999
input.UIUC03Rd1.gz,9.565
input.UIUC03Rd2.gz,9.59
input.UIUC03Rd3.gz,9.72875
input.UIUC03Rt1.gz,9.625
input.UIUC03Rtd1.gz,10.059999999999999
input.aplrob03a.gz,10.575
input.aplrob03b.gz,9.62375
input.aplrob03c.gz,9.96125
input.aplrob03d.gz,9.726249999999999
input.aplrob03e.gz,9.73875
input.fub03IeOLKe3.gz,9.757499999999999
input.fub03InB2e3.gz,9.9575
input.fub03InOLe3.gz,9.907499999999999
input.fub03IneOBu3.gz,9.68
input.fub03IneOLe3.gz,9.68625
input.humR03d.gz,9.5275
input.humR03de.gz,9.897499999999999
