r1,weight
input.InexpC2.gz,9.235
input.InexpC2QE.gz,9.569999999999999
input.MU03rob01.gz,8.98625
input.MU03rob02.gz,9.993749999999999
input.MU03rob04.gz,10.036249999999999
input.MU03rob05.gz,9.34625
input.UIUC03Rd1.gz,6.80375
input.UIUC03Rd2.gz,6.86375
input.UIUC03Rd3.gz,6.781249999999999
input.UIUC03Rt1.gz,6.1049999999999995
input.UIUC03Rtd1.gz,6.196249999999999
input.aplrob03a.gz,10.8225
input.aplrob03b.gz,8.2275
input.aplrob03c.gz,9.591249999999999
input.aplrob03d.gz,9.39125
input.aplrob03e.gz,8.26375
input.fub03IeOLKe3.gz,9.7075
input.fub03InB2e3.gz,9.82125
input.fub03InOLe3.gz,9.83375
input.fub03IneOBu3.gz,9.35125
input.fub03IneOLe3.gz,9.63875
input.humR03d.gz,8.6825
input.humR03de.gz,9.6025
