r1,weight
input.InexpC2.gz,12.01375
input.InexpC2QE.gz,11.77375
input.MU03rob01.gz,11.735
input.MU03rob02.gz,12.42125
input.MU03rob03.gz,11.938749999999999
input.MU03rob04.gz,12.8575
input.MU03rob05.gz,11.8425
input.NLPR03vb10.gz,11.723749999999999
input.NLPR03vb25.gz,11.799999999999999
input.NLPR03vb50.gz,11.94375
input.NLPR03w16.gz,11.4225
input.NLPR03w49.gz,11.581249999999999
input.UIUC03Rd1.gz,12.215
input.UIUC03Rd2.gz,12.16
input.UIUC03Rd3.gz,12.32875
input.UIUC03Rt1.gz,11.72625
input.UIUC03Rtd1.gz,12.6725
input.aplrob03a.gz,13.556249999999999
input.aplrob03b.gz,11.86125
input.aplrob03c.gz,12.4825
input.aplrob03d.gz,12.3475
input.aplrob03e.gz,11.86125
input.fub03IeOLKe3.gz,12.27375
input.fub03InB2e3.gz,12.47875
input.fub03InOLe3.gz,12.32875
input.fub03IneOBu3.gz,12.202499999999999
input.fub03IneOLe3.gz,12.206249999999999
input.humR03d.gz,12.27125
input.humR03dc.gz,10.82
input.humR03de.gz,12.73625
