r1,weight
input.InexpC2.gz,9.237499999999999
input.InexpC2QE.gz,9.1175
input.MU03rob01.gz,9.10375
input.MU03rob02.gz,9.57625
input.MU03rob04.gz,9.983749999999999
input.MU03rob05.gz,9.31125
input.UIUC03Rd1.gz,9.379999999999999
input.UIUC03Rd2.gz,9.36875
input.UIUC03Rd3.gz,9.4775
input.UIUC03Rt1.gz,9.1275
input.UIUC03Rtd1.gz,9.6775
input.aplrob03a.gz,10.2975
input.aplrob03b.gz,9.309999999999999
input.aplrob03c.gz,9.598749999999999
input.aplrob03d.gz,9.42
input.aplrob03e.gz,9.34375
input.fub03IeOLKe3.gz,9.43
input.fub03InB2e3.gz,9.635
input.fub03InOLe3.gz,9.473749999999999
input.fub03IneOBu3.gz,9.32875
input.fub03IneOLe3.gz,9.3475
input.humR03d.gz,9.407499999999999
input.humR03de.gz,9.834999999999999
